,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-07,0 days 11:50:00,2411.0,2415.0,2411.0,2412.0,18758,130,0
1,2021-04-07,0 days 11:49:00,2409.0,2412.0,2407.0,2412.0,18392,198,0
2,2021-04-07,0 days 11:48:00,2410.0,2410.0,2407.0,2409.0,17965,76,0
3,2021-04-07,0 days 11:47:00,2410.0,2410.0,2409.0,2410.0,17846,29,0
4,2021-04-07,0 days 11:46:00,2410.0,2410.0,2410.0,2410.0,17769,6,0
5,2021-04-06,0 days 11:50:00,2421.0,2426.0,2421.0,2424.0,31185,321,0
6,2021-04-06,0 days 11:49:00,2430.0,2430.0,2422.0,2422.0,29979,598,0
7,2021-04-06,0 days 11:48:00,2428.0,2430.0,2427.0,2429.0,28737,52,0
8,2021-04-06,0 days 11:47:00,2425.0,2428.0,2425.0,2428.0,28597,175,0
9,2021-04-06,0 days 11:46:00,2423.0,2424.0,2423.0,2424.0,28135,31,0
10,2021-04-05,0 days 11:50:00,2335.0,2340.0,2332.0,2340.0,17228,654,0
11,2021-04-05,0 days 11:49:00,2337.0,2342.0,2333.0,2335.0,16366,812,0
12,2021-04-05,0 days 11:48:00,2342.0,2343.0,2337.0,2338.0,15229,117,0
13,2021-04-05,0 days 11:47:00,2345.0,2345.0,2342.0,2343.0,15036,68,0
14,2021-04-05,0 days 11:46:00,2344.0,2346.0,2343.0,2345.0,14254,77,0
15,2021-04-01,0 days 11:50:00,2392.0,2393.0,2390.0,2392.0,24651,619,0
16,2021-04-01,0 days 11:49:00,2395.0,2395.0,2390.0,2392.0,23665,507,0
17,2021-04-01,0 days 11:48:00,2396.0,2396.0,2393.0,2396.0,22860,68,0
18,2021-04-01,0 days 11:47:00,2396.0,2396.0,2395.0,2396.0,22673,38,0
19,2021-04-01,0 days 11:46:00,2397.0,2397.0,2396.0,2396.0,22597,67,0
20,2021-03-31,0 days 11:50:00,2349.0,2350.0,2345.0,2350.0,16068,637,0
21,2021-03-31,0 days 11:49:00,2353.0,2353.0,2348.0,2349.0,14955,551,0
