,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,0.7952,0.79525,0.795,0.7952,49127,1705,0
1,2021-04-06,0 days 14:59:00,0.7952,0.79525,0.7952,0.79525,47422,83,0
2,2021-04-06,0 days 14:58:00,0.79535,0.79535,0.7951,0.7952,47339,255,0
3,2021-04-06,0 days 14:57:00,0.79535,0.79535,0.79535,0.79535,47084,12,0
4,2021-04-06,0 days 14:56:00,0.79545,0.79545,0.79535,0.7954,47072,53,0
5,2021-04-05,0 days 15:00:00,0.79845,0.7986,0.79845,0.79855,43042,643,0
6,2021-04-05,0 days 14:59:00,0.79845,0.79845,0.7984,0.7984,42399,27,0
7,2021-04-05,0 days 14:58:00,0.7985,0.7985,0.79845,0.79845,42372,45,0
8,2021-04-05,0 days 14:57:00,0.79855,0.79855,0.7985,0.7985,42327,41,0
9,2021-04-05,0 days 14:56:00,0.79855,0.79855,0.79855,0.79855,42286,4,0
10,2021-04-01,0 days 15:00:00,0.797,0.79705,0.7969,0.79695,54003,600,0
11,2021-04-01,0 days 14:59:00,0.797,0.79705,0.79695,0.79695,53403,55,0
12,2021-04-01,0 days 14:58:00,0.797,0.79705,0.797,0.797,53348,70,0
13,2021-04-01,0 days 14:57:00,0.797,0.79705,0.797,0.797,53278,55,0
14,2021-04-01,0 days 14:56:00,0.7969,0.797,0.7969,0.797,53223,41,0
15,2021-03-31,0 days 15:00:00,0.796,0.796,0.7956,0.7956,72539,1211,0
16,2021-03-31,0 days 14:59:00,0.79595,0.796,0.79585,0.79595,71328,518,0
17,2021-03-31,0 days 14:58:00,0.79585,0.79595,0.7958,0.79595,70810,255,0
18,2021-03-31,0 days 14:57:00,0.79565,0.79585,0.79565,0.79585,70555,128,0
19,2021-03-31,0 days 14:56:00,0.7957,0.7958,0.79565,0.79565,70427,234,0
20,2021-03-30,0 days 15:00:00,0.79175,0.79185,0.79165,0.7917,56296,696,0
21,2021-03-30,0 days 14:59:00,0.7916,0.7918,0.7916,0.79175,55600,109,0
22,2021-03-30,0 days 14:58:00,0.79165,0.79165,0.7916,0.7916,55491,43,0
23,2021-03-30,0 days 14:57:00,0.7916,0.79165,0.7916,0.7916,55448,57,0
24,2021-03-30,0 days 14:56:00,0.7915,0.7916,0.7915,0.7916,55391,91,0
25,2021-03-29,0 days 15:00:00,0.79405,0.79405,0.79375,0.7939,47581,487,0
26,2021-03-29,0 days 14:59:00,0.79395,0.794,0.79395,0.794,47094,84,0
27,2021-03-29,0 days 14:58:00,0.794,0.794,0.79385,0.79395,47010,71,0
28,2021-03-29,0 days 14:57:00,0.7939,0.794,0.7939,0.79395,46939,83,0
