,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:15:00,79.46,79.46,79.12,79.24,21512,679,0
1,2021-04-06,0 days 14:14:00,79.8,79.92,79.41,79.41,19911,241,0
2,2021-04-06,0 days 14:13:00,79.83,79.83,79.75,79.8,19551,82,0
3,2021-04-06,0 days 14:12:00,79.91,79.93,79.85,79.87,19451,26,0
4,2021-04-06,0 days 14:11:00,79.95,79.99,79.89,79.91,19418,46,0
5,2021-04-05,0 days 14:15:00,78.1,78.11,77.79,77.81,10398,698,0
6,2021-04-05,0 days 14:14:00,78.17,78.25,78.08,78.11,9070,100,0
7,2021-04-05,0 days 14:13:00,78.16,78.19,78.12,78.15,8946,34,0
8,2021-04-05,0 days 14:12:00,78.18,78.19,78.14,78.16,8905,22,0
9,2021-04-05,0 days 14:11:00,78.17,78.17,78.16,78.17,8881,15,0
10,2021-04-01,0 days 14:15:00,78.21,78.21,77.75,77.78,21840,542,0
11,2021-04-01,0 days 14:14:00,78.1,78.19,78.04,78.19,20706,210,0
12,2021-04-01,0 days 14:13:00,78.16,78.16,78.08,78.13,20376,110,0
13,2021-04-01,0 days 14:12:00,78.11,78.17,78.11,78.16,20126,104,0
14,2021-04-01,0 days 14:11:00,78.07,78.14,78.06,78.06,19988,69,0
15,2021-03-31,0 days 14:15:00,80.86,81.03,80.8,80.81,20241,527,0
16,2021-03-31,0 days 14:14:00,80.87,81.12,80.84,80.84,19348,192,0
17,2021-03-31,0 days 14:13:00,80.77,80.86,80.74,80.86,19036,61,0
18,2021-03-31,0 days 14:12:00,80.85,80.87,80.7,80.75,18937,49,0
19,2021-03-31,0 days 14:11:00,80.78,80.99,80.78,80.79,18847,46,0
20,2021-03-30,0 days 14:15:00,80.5,80.75,80.49,80.73,10377,261,0
21,2021-03-30,0 days 14:14:00,80.51,80.51,80.5,80.5,9993,4,0
22,2021-03-30,0 days 14:13:00,80.53,80.54,80.49,80.49,9984,7,0
23,2021-03-30,0 days 14:12:00,80.5,80.5,80.49,80.49,9973,3,0
24,2021-03-30,0 days 14:11:00,80.55,80.55,80.48,80.48,9903,64,0
25,2021-03-29,0 days 14:15:00,80.49,80.54,80.44,80.52,11289,271,0
26,2021-03-29,0 days 14:14:00,80.47,80.52,80.42,80.5,10844,73,0
27,2021-03-29,0 days 14:13:00,80.47,80.5,80.45,80.46,10684,32,0
28,2021-03-29,0 days 14:12:00,80.56,80.56,80.51,80.52,10649,16,0
29,2021-03-29,0 days 14:11:00,80.46,80.55,80.45,80.55,10631,33,0
30,2021-03-26,0 days 14:15:00,80.15,80.64,80.15,80.64,21571,394,0
31,2021-03-26,0 days 14:14:00,80.16,80.28,80.16,80.17,20878,177,0
32,2021-03-26,0 days 14:13:00,80.31,80.31,80.15,80.15,20657,127,0
33,2021-03-26,0 days 14:12:00,80.33,80.38,80.31,80.31,20504,65,0
34,2021-03-26,0 days 14:11:00,80.52,80.53,80.35,80.35,20409,172,0
35,2021-03-25,0 days 14:15:00,78.44,78.44,78.44,78.44,30150,20,0
36,2021-03-25,0 days 14:13:00,78.44,78.44,78.44,78.44,30011,8,0
37,2021-03-25,0 days 14:11:00,78.44,78.44,78.44,78.44,29936,4,0
38,2021-03-24,0 days 14:15:00,82.44,82.48,82.42,82.45,14879,299,0
39,2021-03-24,0 days 14:14:00,82.48,82.48,82.4,82.43,14094,139,0
40,2021-03-24,0 days 14:13:00,82.48,82.5,82.45,82.47,13847,50,0
41,2021-03-24,0 days 14:12:00,82.5,82.51,82.44,82.48,13792,12,0
42,2021-03-24,0 days 14:11:00,82.53,82.53,82.49,82.49,13777,10,0
43,2021-03-23,0 days 14:15:00,83.44,83.59,83.43,83.56,9635,295,0
44,2021-03-23,0 days 14:14:00,83.51,83.55,83.43,83.45,9142,157,0
45,2021-03-23,0 days 14:13:00,83.52,83.55,83.49,83.53,8915,27,0
46,2021-03-23,0 days 14:12:00,83.57,83.58,83.52,83.52,8740,12,0
47,2021-03-23,0 days 14:11:00,83.55,83.6,83.54,83.54,8722,21,0
48,2021-03-22,0 days 14:15:00,84.46,84.66,84.46,84.65,7450,336,0
49,2021-03-22,0 days 14:14:00,84.52,84.52,84.43,84.49,6931,169,0
50,2021-03-22,0 days 14:13:00,84.36,84.52,84.36,84.5,6708,46,0
