,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,92.35,92.35,92.345,92.35,19138,61,0
1,2021-04-06,0 days 14:59:00,92.36,92.36,92.345,92.345,19077,127,0
2,2021-04-06,0 days 14:58:00,92.355,92.36,92.35,92.355,18950,135,0
3,2021-04-06,0 days 14:57:00,92.355,92.355,92.35,92.35,18815,12,0
4,2021-04-06,0 days 14:56:00,92.34,92.355,92.34,92.35,18803,28,0
5,2021-04-05,0 days 15:00:00,92.6,92.6,92.59,92.6,24207,1212,0
6,2021-04-05,0 days 14:59:00,92.605,92.605,92.6,92.6,22995,21,0
7,2021-04-05,0 days 14:58:00,92.61,92.61,92.6,92.605,22974,18,0
8,2021-04-05,0 days 14:57:00,92.615,92.615,92.61,92.61,22956,16,0
9,2021-04-05,0 days 14:56:00,92.61,92.61,92.61,92.61,22940,3,0
10,2021-04-01,0 days 15:00:00,92.95,92.95,92.945,92.95,21312,21,0
11,2021-04-01,0 days 14:59:00,92.94,92.95,92.94,92.95,21291,227,0
12,2021-04-01,0 days 14:58:00,92.94,92.945,92.935,92.94,21064,115,0
13,2021-04-01,0 days 14:57:00,92.935,92.935,92.93,92.935,20949,34,0
14,2021-04-01,0 days 14:56:00,92.94,92.94,92.935,92.935,20915,10,0
15,2021-03-31,0 days 15:00:00,93.24,93.255,93.23,93.245,19543,563,0
16,2021-03-31,0 days 14:59:00,93.22,93.24,93.22,93.24,18980,107,0
17,2021-03-31,0 days 14:58:00,93.215,93.22,93.215,93.215,18873,19,0
18,2021-03-31,0 days 14:57:00,93.215,93.215,93.205,93.21,18854,26,0
19,2021-03-31,0 days 14:56:00,93.21,93.21,93.21,93.21,18828,2,0
20,2021-03-30,0 days 15:00:00,93.32,93.325,93.32,93.325,16201,34,0
21,2021-03-30,0 days 14:59:00,93.325,93.33,93.32,93.325,16167,13,0
22,2021-03-30,0 days 14:58:00,93.33,93.33,93.325,93.325,16154,7,0
23,2021-03-30,0 days 14:57:00,93.325,93.33,93.325,93.33,16147,6,0
24,2021-03-30,0 days 14:56:00,93.33,93.33,93.33,93.33,16141,4,0
25,2021-03-29,0 days 15:00:00,92.945,92.965,92.945,92.96,19189,112,0
26,2021-03-29,0 days 14:59:00,92.95,92.95,92.94,92.95,19077,63,0
27,2021-03-29,0 days 14:58:00,92.95,92.955,92.95,92.95,19014,11,0
28,2021-03-29,0 days 14:56:00,92.955,92.955,92.95,92.95,19003,11,0
29,2021-03-26,0 days 15:00:00,92.77,92.785,92.77,92.78,17267,114,0
30,2021-03-26,0 days 14:59:00,92.77,92.775,92.77,92.77,17153,58,0
31,2021-03-26,0 days 14:58:00,92.775,92.785,92.775,92.785,17095,6,0
32,2021-03-26,0 days 14:57:00,92.78,92.785,92.78,92.78,17089,8,0
33,2021-03-26,0 days 14:56:00,92.78,92.78,92.775,92.775,17081,8,0
34,2021-03-25,0 days 15:00:00,92.83,92.835,92.82,92.82,21694,69,0
35,2021-03-25,0 days 14:59:00,92.835,92.835,92.82,92.825,21625,54,0
36,2021-03-25,0 days 14:58:00,92.83,92.835,92.825,92.835,21571,19,0
