,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,4062.0,4065.5,4061.0,4064.5,1190281,44000,0
1,2021-04-06,0 days 15:59:00,4062.0,4062.5,4060.5,4062.0,1146281,7456,0
2,2021-04-06,0 days 15:58:00,4062.0,4062.75,4061.0,4062.0,1138825,6773,0
3,2021-04-06,0 days 15:57:00,4060.25,4062.5,4060.0,4062.0,1132052,5820,0
4,2021-04-06,0 days 15:56:00,4059.25,4060.5,4058.5,4060.25,1126232,6136,0
5,2021-04-05,0 days 16:00:00,4066.5,4069.75,4066.0,4067.0,1148342,51433,0
6,2021-04-05,0 days 15:59:00,4070.5,4070.5,4066.25,4066.75,1096909,15525,0
7,2021-04-05,0 days 15:58:00,4070.75,4070.75,4070.0,4070.25,1081384,6475,0
8,2021-04-05,0 days 15:57:00,4071.0,4071.25,4070.0,4070.5,1074909,5294,0
9,2021-04-05,0 days 15:56:00,4071.25,4072.25,4070.0,4070.75,1069615,7631,0
10,2021-04-01,0 days 16:00:00,4009.75,4011.0,4009.0,4009.5,1110426,53566,0
11,2021-04-01,0 days 15:59:00,4008.25,4010.75,4008.0,4009.75,1056851,19324,0
12,2021-04-01,0 days 15:58:00,4007.0,4008.5,4006.75,4008.5,1037527,6874,0
13,2021-04-01,0 days 15:57:00,4005.75,4007.25,4005.5,4006.75,1030653,5055,0
14,2021-04-01,0 days 15:56:00,4006.75,4006.75,4005.5,4005.75,1025598,6323,0
15,2021-03-31,0 days 16:00:00,3972.0,3973.5,3965.0,3968.75,1444842,151402,0
16,2021-03-31,0 days 15:59:00,3970.0,3972.25,3968.25,3972.25,1293440,21996,0
17,2021-03-31,0 days 15:58:00,3970.25,3971.5,3968.75,3970.0,1271444,16361,0
18,2021-03-31,0 days 15:57:00,3968.25,3971.75,3967.75,3970.0,1255083,15435,0
19,2021-03-31,0 days 15:56:00,3971.25,3971.25,3966.75,3968.0,1239648,25377,0
20,2021-03-30,0 days 16:00:00,3941.5,3953.75,3941.0,3952.0,1511489,62603,0
21,2021-03-30,0 days 15:59:00,3939.75,3941.75,3938.25,3941.5,1448886,13035,0
22,2021-03-30,0 days 15:58:00,3940.5,3941.0,3939.5,3939.5,1435851,6697,0
