,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,1.18875,1.1888,1.1887,1.1888,161440,957,0
1,2021-04-06,0 days 14:59:00,1.18865,1.1888,1.18865,1.18875,160483,144,0
2,2021-04-06,0 days 14:58:00,1.1887,1.1887,1.1886,1.18865,160339,93,0
3,2021-04-06,0 days 14:57:00,1.1886,1.18865,1.1886,1.18865,160246,53,0
4,2021-04-06,0 days 14:56:00,1.1888,1.1888,1.1886,1.1886,160193,131,0
5,2021-04-05,0 days 15:00:00,1.1829,1.183,1.1828,1.1828,92444,1199,0
6,2021-04-05,0 days 14:59:00,1.1829,1.183,1.1829,1.18295,91245,179,0
7,2021-04-05,0 days 14:58:00,1.18285,1.1829,1.1828,1.1829,91066,54,0
8,2021-04-05,0 days 14:57:00,1.1828,1.18285,1.18275,1.18285,91012,99,0
9,2021-04-05,0 days 14:56:00,1.1828,1.1828,1.18275,1.18275,90913,68,0
10,2021-04-01,0 days 15:00:00,1.17875,1.1789,1.17875,1.17885,154985,420,0
11,2021-04-01,0 days 14:59:00,1.17885,1.17885,1.17875,1.17875,154563,139,0
12,2021-04-01,0 days 14:58:00,1.1788,1.1789,1.1788,1.17885,154424,252,0
13,2021-04-01,0 days 14:57:00,1.1789,1.1789,1.17885,1.17885,154172,111,0
14,2021-04-01,0 days 14:56:00,1.17875,1.1789,1.17875,1.1789,154061,227,0
15,2021-03-31,0 days 15:00:00,1.17435,1.17445,1.174,1.17425,169088,1669,0
16,2021-03-31,0 days 14:59:00,1.1746,1.1746,1.1743,1.17435,167419,383,0
17,2021-03-31,0 days 14:58:00,1.17475,1.17475,1.17455,1.1746,167036,161,0
18,2021-03-31,0 days 14:57:00,1.1747,1.17485,1.1747,1.1747,166875,141,0
19,2021-03-31,0 days 14:56:00,1.1748,1.17485,1.1747,1.1747,166734,126,0
20,2021-03-30,0 days 15:00:00,1.1736,1.1737,1.17355,1.17355,148327,812,0
21,2021-03-30,0 days 14:59:00,1.17355,1.17365,1.1735,1.17365,147515,85,0
22,2021-03-30,0 days 14:58:00,1.17355,1.17355,1.1735,1.17355,147430,73,0
23,2021-03-30,0 days 14:57:00,1.17355,1.17355,1.17355,1.17355,147357,35,0
24,2021-03-30,0 days 14:56:00,1.1735,1.1735,1.1735,1.1735,147322,100,0
