,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:00:00,151.7,151.85,151.675,151.85,4111,182,0
1,2021-04-06,0 days 13:59:00,151.625,151.725,151.6,151.65,3868,23,0
2,2021-04-06,0 days 13:58:00,151.75,151.75,151.525,151.6,3836,47,0
3,2021-04-06,0 days 13:57:00,151.675,151.775,151.675,151.75,3780,45,0
4,2021-04-06,0 days 13:56:00,151.65,151.7,151.625,151.675,3731,15,0
5,2021-04-05,0 days 14:00:00,151.75,151.9,151.55,151.775,3336,233,0
6,2021-04-05,0 days 13:59:00,151.725,151.725,151.625,151.675,3016,15,0
7,2021-04-05,0 days 13:58:00,151.85,151.85,151.725,151.8,2978,10,0
8,2021-04-05,0 days 13:57:00,152.025,152.025,151.725,151.85,2967,31,0
9,2021-04-05,0 days 13:56:00,151.925,152.075,151.925,152.075,2935,6,0
10,2021-04-01,0 days 14:00:00,149.05,149.45,148.875,149.175,4019,133,0
11,2021-04-01,0 days 13:59:00,149.275,149.275,149.1,149.15,3829,25,0
12,2021-04-01,0 days 13:58:00,149.25,149.35,149.25,149.275,3763,7,0
13,2021-04-01,0 days 13:57:00,149.3,149.375,149.225,149.325,3747,8,0
14,2021-04-01,0 days 13:56:00,149.35,149.425,149.3,149.3,3722,15,0
15,2021-03-31,0 days 14:00:00,150.875,151.15,148.85,149.775,8432,766,0
16,2021-03-31,0 days 13:59:00,151.0,151.0,150.875,150.875,7589,32,0
17,2021-03-31,0 days 13:58:00,150.95,150.975,150.75,150.975,7539,16,0
18,2021-03-31,0 days 13:57:00,150.85,150.95,150.75,150.95,7508,17,0
19,2021-03-31,0 days 13:56:00,150.95,150.95,150.75,150.75,7470,11,0
20,2021-03-30,0 days 14:00:00,152.225,152.325,152.1,152.2,5198,139,0
21,2021-03-30,0 days 13:59:00,152.25,152.275,152.15,152.2,4995,7,0
22,2021-03-30,0 days 13:58:00,152.05,152.175,152.05,152.175,4963,36,0
23,2021-03-30,0 days 13:57:00,152.4,152.4,152.05,152.05,4910,59,0
24,2021-03-30,0 days 13:56:00,152.425,152.425,152.275,152.4,4833,25,0
25,2021-03-29,0 days 14:00:00,152.225,152.35,152.075,152.2,5681,176,0
26,2021-03-29,0 days 13:59:00,152.225,152.25,152.125,152.15,5450,30,0
27,2021-03-29,0 days 13:58:00,152.2,152.4,152.15,152.225,5414,45,0
28,2021-03-29,0 days 13:57:00,152.225,152.275,152.225,152.225,5344,21,0
29,2021-03-29,0 days 13:56:00,152.15,152.225,152.125,152.175,5322,17,0
30,2021-03-26,0 days 14:00:00,149.825,149.925,149.8,149.875,3364,204,0
31,2021-03-26,0 days 13:59:00,149.725,149.775,149.725,149.75,3118,7,0
32,2021-03-26,0 days 13:58:00,149.725,149.85,149.725,149.75,3110,17,0
33,2021-03-26,0 days 13:57:00,149.775,149.775,149.725,149.75,3087,10,0
34,2021-03-26,0 days 13:56:00,149.75,149.75,149.75,149.75,3065,3,0
35,2021-03-25,0 days 14:00:00,148.825,149.225,148.825,149.225,4514,146,0
36,2021-03-25,0 days 13:59:00,148.875,148.975,148.875,148.9,4257,7,0
37,2021-03-25,0 days 13:58:00,148.825,148.925,148.775,148.925,4204,12,0
38,2021-03-25,0 days 13:57:00,148.875,148.975,148.8,148.85,4156,28,0
39,2021-03-25,0 days 13:56:00,148.975,149.0,148.9,148.925,4100,9,0
40,2021-03-24,0 days 14:00:00,147.5,147.6,147.225,147.3,4197,205,0
41,2021-03-24,0 days 13:59:00,147.625,147.625,147.475,147.525,3829,31,0
42,2021-03-24,0 days 13:58:00,147.7,147.725,147.625,147.7,3759,31,0
43,2021-03-24,0 days 13:57:00,147.675,147.7,147.65,147.7,3711,6,0
44,2021-03-24,0 days 13:56:00,147.7,147.75,147.675,147.7,3698,6,0
45,2021-03-23,0 days 14:00:00,145.45,145.55,145.4,145.5,2662,185,0
46,2021-03-23,0 days 13:58:00,145.5,145.575,145.5,145.5,2451,3,0
47,2021-03-23,0 days 13:57:00,145.475,145.525,145.475,145.5,2444,3,0
48,2021-03-23,0 days 13:56:00,145.55,145.55,145.475,145.525,2438,8,0
49,2021-03-22,0 days 14:00:00,145.325,145.375,144.975,145.275,4712,184,0
50,2021-03-22,0 days 13:59:00,145.4,145.4,145.25,145.25,4408,23,0
51,2021-03-22,0 days 13:58:00,145.4,145.425,145.275,145.275,4384,10,0
52,2021-03-22,0 days 13:57:00,145.425,145.475,145.4,145.475,4343,19,0
53,2021-03-22,0 days 13:56:00,145.325,145.375,145.325,145.375,4311,4,0
54,2021-03-19,0 days 14:00:00,144.9,144.925,144.55,144.65,5451,270,0
55,2021-03-19,0 days 13:59:00,144.55,144.9,144.55,144.9,5120,21,0
56,2021-03-19,0 days 13:58:00,144.65,144.65,144.55,144.575,5070,9,0
57,2021-03-19,0 days 13:57:00,144.45,144.65,144.45,144.65,5051,15,0
58,2021-03-19,0 days 13:56:00,144.6,144.6,144.5,144.5,5024,16,0
59,2021-03-18,0 days 14:00:00,146.725,146.8,146.575,146.65,5894,137,0
60,2021-03-18,0 days 13:59:00,146.675,146.675,146.65,146.65,5658,4,0
61,2021-03-18,0 days 13:58:00,146.725,146.775,146.725,146.775,5654,10,0
62,2021-03-18,0 days 13:57:00,146.625,146.7,146.625,146.7,5642,6,0
63,2021-03-18,0 days 13:56:00,146.7,146.7,146.7,146.7,5634,1,0
64,2021-03-17,0 days 14:00:00,144.625,144.725,144.55,144.65,2523,33,0
65,2021-03-17,0 days 13:59:00,144.725,144.775,144.625,144.625,2483,29,0
66,2021-03-17,0 days 13:58:00,144.7,144.7,144.65,144.7,2453,7,0
67,2021-03-17,0 days 13:57:00,144.725,144.75,144.65,144.7,2444,9,0
68,2021-03-17,0 days 13:56:00,144.625,144.625,144.625,144.625,2434,4,0
69,2021-03-16,0 days 14:00:00,143.325,143.375,143.25,143.325,2232,69,0
70,2021-03-16,0 days 13:59:00,143.325,143.325,143.3,143.3,2147,3,0
71,2021-03-16,0 days 13:58:00,143.3,143.325,143.3,143.325,2144,4,0
72,2021-03-16,0 days 13:57:00,143.3,143.35,143.3,143.325,2139,7,0
73,2021-03-16,0 days 13:56:00,143.25,143.275,143.25,143.275,2125,2,0
74,2021-03-15,0 days 14:00:00,143.775,144.05,143.7,144.025,4469,106,0
75,2021-03-15,0 days 13:59:00,143.75,143.8,143.75,143.775,4310,11,0
76,2021-03-15,0 days 13:58:00,143.8,143.8,143.725,143.725,4291,8,0
77,2021-03-15,0 days 13:57:00,143.825,143.9,143.8,143.8,4282,17,0
78,2021-03-15,0 days 13:56:00,143.775,143.85,143.775,143.85,4264,6,0
79,2021-03-12,0 days 14:00:00,143.075,143.275,143.075,143.225,4468,93,0
80,2021-03-12,0 days 13:59:00,143.075,143.1,143.05,143.1,4365,10,0
81,2021-03-12,0 days 13:58:00,143.15,143.15,143.05,143.075,4351,20,0
82,2021-03-12,0 days 13:57:00,143.15,143.175,143.125,143.125,4327,4,0
83,2021-03-12,0 days 13:56:00,143.025,143.1,143.025,143.1,4323,14,0
84,2021-03-11,0 days 14:00:00,141.325,141.325,141.175,141.275,4458,277,0
