,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:00:00,105.675,105.825,105.475,105.475,13410,562,0
1,2021-04-06,0 days 13:59:00,105.675,105.725,105.675,105.675,12194,53,0
2,2021-04-06,0 days 13:58:00,105.65,105.725,105.65,105.675,12120,56,0
3,2021-04-06,0 days 13:57:00,105.75,105.75,105.675,105.675,12059,40,0
4,2021-04-06,0 days 13:56:00,105.725,105.75,105.725,105.725,12014,33,0
5,2021-04-05,0 days 14:00:00,105.675,105.725,105.475,105.65,13537,581,0
6,2021-04-05,0 days 13:59:00,105.7,105.7,105.65,105.7,12778,23,0
7,2021-04-05,0 days 13:58:00,105.675,105.7,105.65,105.7,12746,25,0
8,2021-04-05,0 days 13:57:00,105.675,105.7,105.625,105.7,12719,61,0
9,2021-04-05,0 days 13:56:00,105.725,105.725,105.625,105.65,12636,13,0
10,2021-04-01,0 days 14:00:00,106.3,106.425,106.15,106.325,13558,780,0
11,2021-04-01,0 days 13:59:00,106.35,106.35,106.3,106.325,12538,61,0
12,2021-04-01,0 days 13:58:00,106.475,106.475,106.375,106.375,12427,12,0
13,2021-04-01,0 days 13:57:00,106.45,106.45,106.35,106.45,12404,45,0
14,2021-04-01,0 days 13:56:00,106.575,106.575,106.4,106.45,12349,62,0
15,2021-03-31,0 days 14:00:00,105.275,105.625,105.15,105.225,14195,1175,0
16,2021-03-31,0 days 13:59:00,105.3,105.4,105.2,105.25,12754,73,0
17,2021-03-31,0 days 13:58:00,105.2,105.3,105.125,105.3,12670,43,0
18,2021-03-31,0 days 13:57:00,105.175,105.2,105.175,105.2,12621,57,0
19,2021-03-31,0 days 13:56:00,105.125,105.175,105.05,105.175,12559,51,0
20,2021-03-30,0 days 14:00:00,106.0,106.125,105.95,105.95,11965,473,0
21,2021-03-30,0 days 13:59:00,106.05,106.05,105.975,106.025,11371,98,0
22,2021-03-30,0 days 13:58:00,106.025,106.025,106.0,106.0,11261,32,0
23,2021-03-30,0 days 13:57:00,106.0,106.025,105.975,106.0,11227,54,0
24,2021-03-30,0 days 13:56:00,106.05,106.05,105.975,106.0,11163,16,0
25,2021-03-29,0 days 14:00:00,105.125,105.25,105.125,105.25,13782,359,0
26,2021-03-29,0 days 13:59:00,105.15,105.15,105.1,105.15,13330,18,0
27,2021-03-29,0 days 13:58:00,105.1,105.15,105.1,105.15,13303,11,0
28,2021-03-29,0 days 13:57:00,105.125,105.125,105.1,105.1,13288,15,0
29,2021-03-29,0 days 13:56:00,105.15,105.175,105.15,105.175,13267,7,0
30,2021-03-26,0 days 14:00:00,105.55,105.675,105.525,105.575,14995,576,0
31,2021-03-26,0 days 13:59:00,105.65,105.65,105.55,105.55,14302,95,0
32,2021-03-26,0 days 13:58:00,105.7,105.7,105.65,105.65,14148,21,0
33,2021-03-26,0 days 13:57:00,105.675,105.7,105.65,105.675,14123,42,0
34,2021-03-26,0 days 13:56:00,105.675,105.7,105.65,105.675,14056,22,0
35,2021-03-25,0 days 14:00:00,103.4,103.5,103.25,103.275,14448,565,0
36,2021-03-25,0 days 13:59:00,103.4,103.425,103.35,103.4,13719,33,0
37,2021-03-25,0 days 13:58:00,103.35,103.4,103.325,103.375,13674,55,0
38,2021-03-25,0 days 13:57:00,103.325,103.35,103.3,103.35,13603,19,0
39,2021-03-25,0 days 13:56:00,103.325,103.325,103.275,103.325,13578,27,0
40,2021-03-24,0 days 14:00:00,101.95,102.125,101.95,102.075,13538,175,0
41,2021-03-24,0 days 13:59:00,101.95,101.975,101.95,101.975,13277,28,0
42,2021-03-24,0 days 13:58:00,101.875,101.95,101.85,101.925,13237,25,0
43,2021-03-24,0 days 13:57:00,101.9,101.9,101.825,101.875,13155,42,0
44,2021-03-24,0 days 13:56:00,101.875,101.9,101.875,101.9,13076,4,0
45,2021-03-23,0 days 14:00:00,96.575,96.6,96.45,96.5,7326,251,0
46,2021-03-23,0 days 13:59:00,96.55,96.575,96.55,96.55,6997,45,0
47,2021-03-23,0 days 13:58:00,96.5,96.55,96.5,96.55,6951,8,0
48,2021-03-23,0 days 13:57:00,96.575,96.6,96.575,96.6,6938,7,0
49,2021-03-23,0 days 13:56:00,96.525,96.6,96.525,96.575,6931,21,0
50,2021-03-22,0 days 14:00:00,95.0,95.075,94.95,95.075,6280,132,0
51,2021-03-22,0 days 13:59:00,95.025,95.025,95.0,95.025,6114,14,0
52,2021-03-22,0 days 13:58:00,95.025,95.05,95.025,95.05,6093,4,0
53,2021-03-22,0 days 13:57:00,95.025,95.025,95.025,95.025,6060,3,0
54,2021-03-22,0 days 13:56:00,95.05,95.1,95.025,95.05,6053,21,0
55,2021-03-19,0 days 14:00:00,94.375,94.375,94.2,94.275,7816,485,0
56,2021-03-19,0 days 13:59:00,94.4,94.4,94.35,94.375,7248,52,0
57,2021-03-19,0 days 13:58:00,94.375,94.45,94.375,94.4,7192,35,0
58,2021-03-19,0 days 13:57:00,94.4,94.45,94.4,94.45,7107,9,0
59,2021-03-19,0 days 13:56:00,94.45,94.5,94.4,94.4,7091,23,0
60,2021-03-18,0 days 14:00:00,94.375,94.5,94.2,94.25,14902,807,0
61,2021-03-18,0 days 13:59:00,94.25,94.35,94.25,94.35,13991,40,0
62,2021-03-18,0 days 13:58:00,94.275,94.325,94.15,94.275,13937,45,0
63,2021-03-18,0 days 13:57:00,94.45,94.525,94.3,94.3,13844,149,0
64,2021-03-18,0 days 13:56:00,94.375,94.45,94.325,94.425,13655,47,0
65,2021-03-17,0 days 14:00:00,93.75,93.75,93.625,93.7,13773,242,0
66,2021-03-17,0 days 13:59:00,93.725,93.775,93.7,93.75,13434,38,0
67,2021-03-17,0 days 13:58:00,93.625,93.75,93.6,93.75,13394,42,0
68,2021-03-17,0 days 13:57:00,93.7,93.7,93.55,93.6,13343,86,0
69,2021-03-17,0 days 13:56:00,93.825,93.85,93.65,93.65,13233,84,0
70,2021-03-16,0 days 14:00:00,92.875,92.95,92.85,92.925,13133,446,0
71,2021-03-16,0 days 13:59:00,92.875,92.875,92.85,92.85,12372,54,0
72,2021-03-16,0 days 13:58:00,92.85,92.875,92.825,92.825,12244,14,0
73,2021-03-16,0 days 13:57:00,92.85,92.85,92.8,92.825,12198,27,0
74,2021-03-16,0 days 13:56:00,92.85,92.875,92.85,92.875,12135,5,0
75,2021-03-15,0 days 14:00:00,90.6,90.625,90.5,90.5,14950,379,0
76,2021-03-15,0 days 13:59:00,90.55,90.6,90.5,90.6,14389,41,0
77,2021-03-15,0 days 13:58:00,90.575,90.575,90.5,90.575,14338,20,0
78,2021-03-15,0 days 13:57:00,90.45,90.575,90.425,90.575,14308,31,0
79,2021-03-15,0 days 13:56:00,90.475,90.5,90.475,90.475,14271,7,0
80,2021-03-12,0 days 14:00:00,91.375,91.45,91.35,91.375,13708,1055,0
81,2021-03-12,0 days 13:59:00,91.375,91.4,91.375,91.4,12460,28,0
