,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,0.009108,0.009109,0.009108,0.0091085,120342,461,0
1,2021-04-06,0 days 14:59:00,0.0091075,0.0091085,0.0091075,0.009108,119881,75,0
2,2021-04-06,0 days 14:58:00,0.0091075,0.0091075,0.009107,0.0091075,119806,65,0
3,2021-04-06,0 days 14:57:00,0.009108,0.0091085,0.0091075,0.009108,119741,26,0
4,2021-04-06,0 days 14:56:00,0.0091085,0.009109,0.0091085,0.0091085,119715,39,0
5,2021-04-05,0 days 15:00:00,0.009084,0.009084,0.0090825,0.0090825,69517,458,0
6,2021-04-05,0 days 14:59:00,0.009084,0.0090845,0.009083,0.0090835,69059,100,0
7,2021-04-05,0 days 14:58:00,0.0090825,0.009084,0.0090825,0.0090835,68959,153,0
8,2021-04-05,0 days 14:57:00,0.009083,0.009083,0.009083,0.009083,68806,13,0
9,2021-04-05,0 days 14:56:00,0.009083,0.009083,0.0090825,0.0090825,68793,5,0
10,2021-04-01,0 days 15:00:00,0.0090475,0.0090475,0.0090445,0.0090455,87564,729,0
11,2021-04-01,0 days 14:59:00,0.009047,0.009048,0.0090465,0.009047,86835,163,0
12,2021-04-01,0 days 14:58:00,0.0090475,0.009048,0.009047,0.009047,86672,94,0
13,2021-04-01,0 days 14:57:00,0.0090475,0.009048,0.009047,0.009047,86578,99,0
14,2021-04-01,0 days 14:56:00,0.009047,0.0090475,0.009047,0.0090475,86479,49,0
15,2021-03-31,0 days 15:00:00,0.0090345,0.0090365,0.0090345,0.009036,118871,946,0
16,2021-03-31,0 days 14:59:00,0.009036,0.009036,0.009034,0.0090345,117925,288,0
17,2021-03-31,0 days 14:58:00,0.009037,0.009037,0.009036,0.009036,117637,75,0
18,2021-03-31,0 days 14:57:00,0.009036,0.0090375,0.009036,0.0090365,117562,98,0
19,2021-03-31,0 days 14:56:00,0.0090365,0.0090365,0.009036,0.009036,117464,76,0
20,2021-03-30,0 days 15:00:00,0.009069,0.009069,0.009068,0.009069,91792,574,0
21,2021-03-30,0 days 14:59:00,0.009069,0.009069,0.009069,0.009069,91218,50,0
22,2021-03-30,0 days 14:58:00,0.0090685,0.009069,0.009068,0.009069,91168,93,0
23,2021-03-30,0 days 14:57:00,0.009069,0.0090695,0.009069,0.0090695,91075,61,0
24,2021-03-30,0 days 14:56:00,0.009069,0.0090695,0.0090685,0.0090685,91014,46,0
25,2021-03-29,0 days 15:00:00,0.009113,0.0091135,0.009112,0.0091125,79282,546,0
26,2021-03-29,0 days 14:59:00,0.0091115,0.009113,0.0091115,0.0091125,78736,114,0
27,2021-03-29,0 days 14:58:00,0.009112,0.0091125,0.0091115,0.009112,78622,67,0
28,2021-03-29,0 days 14:57:00,0.009112,0.009112,0.0091115,0.0091115,78555,20,0
29,2021-03-29,0 days 14:56:00,0.009112,0.009112,0.0091115,0.009112,78535,41,0
30,2021-03-26,0 days 15:00:00,0.0091255,0.0091255,0.009123,0.009123,96262,837,0
31,2021-03-26,0 days 14:59:00,0.0091245,0.0091255,0.0091245,0.009125,95425,150,0
32,2021-03-26,0 days 14:58:00,0.009125,0.009125,0.009124,0.009124,95275,75,0
33,2021-03-26,0 days 14:57:00,0.009124,0.009125,0.009124,0.0091245,95200,28,0
34,2021-03-26,0 days 14:56:00,0.0091245,0.0091245,0.0091235,0.0091245,95172,65,0
35,2021-03-25,0 days 15:00:00,0.009171,0.0091715,0.009169,0.0091715,82058,814,0
36,2021-03-25,0 days 14:59:00,0.00917,0.0091715,0.00917,0.0091715,81244,87,0
37,2021-03-25,0 days 14:58:00,0.009171,0.009171,0.00917,0.00917,81157,78,0
38,2021-03-25,0 days 14:57:00,0.009171,0.0091715,0.00917,0.00917,81079,95,0
39,2021-03-25,0 days 14:56:00,0.009172,0.0091725,0.0091715,0.0091715,80984,70,0
40,2021-03-24,0 days 15:00:00,0.0092075,0.009209,0.0092065,0.009207,83707,600,0
41,2021-03-24,0 days 14:59:00,0.0092075,0.009208,0.009207,0.0092075,83107,35,0
42,2021-03-24,0 days 14:58:00,0.009207,0.009208,0.0092065,0.0092075,83072,194,0
43,2021-03-24,0 days 14:57:00,0.009206,0.0092075,0.0092055,0.0092065,82878,266,0
44,2021-03-24,0 days 14:56:00,0.009206,0.009207,0.009206,0.0092065,82612,92,0
45,2021-03-23,0 days 15:00:00,0.009204,0.009204,0.0092025,0.009204,80812,777,0
46,2021-03-23,0 days 14:59:00,0.009204,0.009204,0.0092035,0.009204,80035,126,0
47,2021-03-23,0 days 14:58:00,0.0092055,0.0092055,0.009204,0.009204,79909,247,0
48,2021-03-23,0 days 14:57:00,0.009205,0.0092055,0.009205,0.0092055,79662,50,0
49,2021-03-23,0 days 14:56:00,0.0092055,0.0092055,0.009205,0.009205,79612,9,0
50,2021-03-22,0 days 15:00:00,0.0092,0.0092,0.0091985,0.0091985,73868,280,0
51,2021-03-22,0 days 14:59:00,0.009199,0.0092,0.009199,0.0092,73588,67,0
52,2021-03-22,0 days 14:58:00,0.0091985,0.0091995,0.0091985,0.0091995,73521,23,0
53,2021-03-22,0 days 14:57:00,0.0091995,0.0091995,0.0091985,0.009199,73498,31,0
54,2021-03-22,0 days 14:56:00,0.0091995,0.0091995,0.0091995,0.0091995,73467,4,0
55,2021-03-19,0 days 15:00:00,0.0091915,0.0091915,0.009191,0.0091915,108836,234,0
56,2021-03-19,0 days 14:59:00,0.0091905,0.0091915,0.0091905,0.009191,108602,86,0
57,2021-03-19,0 days 14:58:00,0.009191,0.009191,0.0091905,0.0091905,108516,67,0
58,2021-03-19,0 days 14:57:00,0.0091915,0.0091915,0.00919,0.0091905,108449,55,0
59,2021-03-19,0 days 14:56:00,0.009191,0.009191,0.009191,0.009191,108394,13,0
60,2021-03-18,0 days 15:00:00,0.009183,0.009183,0.009181,0.009182,123404,467,0
61,2021-03-18,0 days 14:59:00,0.0091835,0.0091835,0.009183,0.009183,122937,65,0
62,2021-03-18,0 days 14:58:00,0.0091835,0.0091835,0.009183,0.0091835,122872,92,0
63,2021-03-18,0 days 14:57:00,0.009183,0.009183,0.0091825,0.009183,122780,21,0
64,2021-03-18,0 days 14:56:00,0.009183,0.009183,0.0091825,0.009183,122759,60,0
65,2021-03-17,0 days 15:00:00,0.0091935,0.009196,0.0091935,0.009195,101489,599,0
66,2021-03-17,0 days 14:59:00,0.009193,0.0091945,0.0091925,0.009193,100890,227,0
67,2021-03-17,0 days 14:58:00,0.0091935,0.0091935,0.0091905,0.0091925,100663,77,0
68,2021-03-17,0 days 14:57:00,0.0091915,0.0091945,0.0091915,0.0091935,100586,210,0
69,2021-03-17,0 days 14:56:00,0.0091925,0.0091935,0.0091915,0.0091915,100376,179,0
70,2021-03-16,0 days 15:00:00,0.0091825,0.009184,0.0091825,0.0091825,80798,351,0
71,2021-03-16,0 days 14:59:00,0.009184,0.009184,0.0091825,0.0091825,80447,78,0
72,2021-03-16,0 days 14:58:00,0.009185,0.0091855,0.0091835,0.009184,80369,76,0
73,2021-03-16,0 days 14:57:00,0.009185,0.009186,0.0091845,0.009185,80293,145,0
74,2021-03-16,0 days 14:56:00,0.009185,0.009185,0.0091845,0.009185,80148,43,0
75,2021-03-15,0 days 15:00:00,0.009171,0.0091715,0.009169,0.00917,74484,610,0
76,2021-03-15,0 days 14:59:00,0.009171,0.0091715,0.009171,0.0091715,73874,103,0
77,2021-03-15,0 days 14:58:00,0.0091715,0.0091715,0.009171,0.009171,73771,59,0
78,2021-03-15,0 days 14:57:00,0.0091715,0.0091715,0.009171,0.009171,73712,19,0
79,2021-03-15,0 days 14:56:00,0.009172,0.009172,0.009171,0.0091715,73693,66,0
80,2021-03-12,0 days 15:00:00,0.009179,0.009179,0.009176,0.009177,120694,685,0
81,2021-03-12,0 days 14:59:00,0.0091775,0.009179,0.0091775,0.009179,120009,169,0
