,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-07,0 days 12:25:00,126.6,126.75,126.55,126.65,19992,189,0
1,2021-04-07,0 days 12:24:00,127.3,127.35,126.55,126.55,19478,226,0
2,2021-04-07,0 days 12:23:00,127.2,127.4,127.2,127.35,19184,45,0
3,2021-04-07,0 days 12:22:00,127.2,127.2,127.15,127.2,19074,47,0
4,2021-04-07,0 days 12:21:00,127.15,127.2,127.15,127.2,19012,9,0
5,2021-04-06,0 days 12:25:00,126.85,127.0,126.65,126.75,27749,881,0
6,2021-04-06,0 days 12:24:00,126.8,127.15,126.7,126.85,25453,788,0
7,2021-04-06,0 days 12:23:00,126.6,126.85,126.6,126.85,24552,87,0
8,2021-04-06,0 days 12:22:00,126.55,126.55,126.5,126.55,24459,23,0
9,2021-04-06,0 days 12:21:00,126.55,126.55,126.35,126.5,24431,24,0
10,2021-04-05,0 days 12:25:00,122.15,122.25,121.9,121.9,14498,326,0
11,2021-04-05,0 days 12:24:00,122.05,122.25,121.9,122.15,12874,228,0
12,2021-04-05,0 days 12:23:00,122.1,122.15,121.9,122.0,12312,66,0
13,2021-04-05,0 days 12:22:00,121.8,122.15,121.75,122.1,12242,63,0
14,2021-04-05,0 days 12:21:00,121.8,121.8,121.7,121.7,12177,11,0
15,2021-04-01,0 days 12:25:00,121.55,121.6,121.5,121.55,20231,337,0
16,2021-04-01,0 days 12:24:00,121.8,121.8,121.5,121.5,18927,259,0
17,2021-04-01,0 days 12:23:00,121.9,122.15,121.85,121.85,18597,48,0
18,2021-04-01,0 days 12:22:00,121.95,122.0,121.9,121.95,18525,8,0
19,2021-04-01,0 days 12:21:00,122.0,122.0,121.9,121.95,18517,18,0
20,2021-03-31,0 days 12:25:00,123.4,123.75,123.35,123.75,25765,575,0
21,2021-03-31,0 days 12:24:00,123.2,123.7,123.2,123.5,24837,401,0
22,2021-03-31,0 days 12:23:00,123.2,123.25,123.1,123.15,24202,34,0
23,2021-03-31,0 days 12:22:00,123.25,123.5,123.15,123.15,24109,77,0
24,2021-03-31,0 days 12:21:00,123.3,123.3,122.85,123.1,23301,90,0
25,2021-03-30,0 days 12:25:00,122.6,122.75,122.5,122.6,20328,453,0
26,2021-03-30,0 days 12:24:00,122.55,122.75,122.45,122.65,19537,377,0
27,2021-03-30,0 days 12:23:00,122.55,122.7,122.55,122.6,19045,62,0
28,2021-03-30,0 days 12:22:00,122.65,122.65,122.5,122.6,18838,15,0
29,2021-03-30,0 days 12:21:00,122.5,122.65,122.5,122.6,18705,42,0
30,2021-03-29,0 days 12:25:00,127.1,127.2,127.0,127.15,12237,167,0
31,2021-03-29,0 days 12:24:00,126.75,127.3,126.7,127.1,11767,264,0
32,2021-03-29,0 days 12:23:00,127.0,127.0,126.7,126.75,11370,29,0
33,2021-03-29,0 days 12:22:00,126.95,127.0,126.95,126.95,11314,4,0
34,2021-03-29,0 days 12:21:00,126.9,127.0,126.9,126.95,11304,29,0
