,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:15:00,556.5,556.5,555.25,555.5,26573,680,0
1,2021-04-06,0 days 14:14:00,555.75,557.0,555.75,556.25,25361,207,0
2,2021-04-06,0 days 14:13:00,555.5,555.75,555.25,555.75,24361,52,0
3,2021-04-06,0 days 14:12:00,555.0,555.5,555.0,555.25,24265,24,0
4,2021-04-06,0 days 14:11:00,554.5,555.0,554.5,555.0,24146,66,0
5,2021-04-05,0 days 14:15:00,563.5,563.5,562.5,563.25,12411,392,0
6,2021-04-05,0 days 14:14:00,564.5,564.5,563.75,563.75,11761,32,0
7,2021-04-05,0 days 14:13:00,564.75,565.0,564.5,564.5,11655,14,0
8,2021-04-05,0 days 14:12:00,564.75,564.75,564.5,564.75,11638,18,0
9,2021-04-05,0 days 14:11:00,565.25,565.25,564.75,564.75,11603,27,0
10,2021-04-01,0 days 14:15:00,565.25,565.75,564.0,564.25,23487,631,0
11,2021-04-01,0 days 14:14:00,566.0,566.0,565.5,565.5,22778,85,0
12,2021-04-01,0 days 14:13:00,565.75,566.0,565.5,566.0,22612,56,0
13,2021-04-01,0 days 14:12:00,565.75,566.0,565.75,566.0,22092,48,0
14,2021-04-01,0 days 14:11:00,566.0,566.25,566.0,566.0,21960,41,0
15,2021-03-31,0 days 14:15:00,577.5,577.75,574.0,575.0,30609,684,0
16,2021-03-31,0 days 14:14:00,576.25,578.0,575.25,577.75,29219,115,0
17,2021-03-31,0 days 14:13:00,575.25,576.25,574.75,576.25,29018,46,0
18,2021-03-31,0 days 14:12:00,575.5,576.25,575.25,575.75,28933,42,0
19,2021-03-31,0 days 14:11:00,576.5,576.5,575.5,575.75,28887,71,0
20,2021-03-30,0 days 14:15:00,559.25,559.75,558.0,558.5,11921,495,0
21,2021-03-30,0 days 14:14:00,560.0,560.0,559.0,559.0,10714,43,0
22,2021-03-30,0 days 14:13:00,560.75,560.75,560.25,560.25,10578,13,0
23,2021-03-30,0 days 14:12:00,561.0,561.0,560.75,560.75,10557,3,0
24,2021-03-30,0 days 14:11:00,561.0,561.25,561.0,561.25,10549,10,0
25,2021-03-29,0 days 14:15:00,569.0,570.25,568.75,570.0,18017,608,0
26,2021-03-29,0 days 14:14:00,569.75,569.75,569.0,569.25,16973,63,0
27,2021-03-29,0 days 14:13:00,569.5,569.75,569.25,569.5,16787,43,0
28,2021-03-29,0 days 14:12:00,569.25,569.5,569.0,569.5,16739,71,0
29,2021-03-29,0 days 14:11:00,568.25,569.0,568.25,569.0,16508,51,0
30,2021-03-26,0 days 14:15:00,569.0,569.0,568.0,568.25,12915,324,0
31,2021-03-26,0 days 14:14:00,568.5,569.25,568.5,569.0,12103,23,0
32,2021-03-26,0 days 14:13:00,568.75,568.75,568.5,568.75,11866,18,0
33,2021-03-26,0 days 14:12:00,568.75,568.75,568.0,568.5,11822,18,0
34,2021-03-26,0 days 14:11:00,569.75,569.75,568.5,568.5,11794,123,0
35,2021-03-25,0 days 14:15:00,567.5,567.75,566.0,566.75,16768,443,0
36,2021-03-25,0 days 14:14:00,567.75,568.0,567.75,567.75,15994,143,0
37,2021-03-25,0 days 14:13:00,567.0,567.5,567.0,567.5,15800,60,0
38,2021-03-25,0 days 14:12:00,566.75,566.75,566.75,566.75,15732,1,0
39,2021-03-25,0 days 14:11:00,567.25,567.25,567.0,567.0,15727,61,0
40,2021-03-24,0 days 14:15:00,576.0,576.75,575.75,576.25,14090,252,0
41,2021-03-24,0 days 14:14:00,575.75,576.75,575.75,576.25,13794,152,0
42,2021-03-24,0 days 14:13:00,576.0,576.0,575.75,576.0,13631,16,0
43,2021-03-24,0 days 14:12:00,575.75,576.0,575.75,575.75,13614,46,0
44,2021-03-24,0 days 14:11:00,576.0,576.0,576.0,576.0,13517,11,0
45,2021-03-23,0 days 14:15:00,581.25,583.0,581.0,581.75,27668,467,0
46,2021-03-23,0 days 14:14:00,580.5,581.5,580.5,581.25,26931,68,0
47,2021-03-23,0 days 14:13:00,581.5,581.5,580.75,580.75,26794,15,0
48,2021-03-23,0 days 14:12:00,581.5,581.5,581.25,581.25,26779,9,0
49,2021-03-23,0 days 14:11:00,581.25,581.75,580.5,581.5,26770,45,0
50,2021-03-22,0 days 14:15:00,577.25,579.25,577.25,579.25,20162,740,0
51,2021-03-22,0 days 14:14:00,577.25,577.25,577.0,577.25,19139,28,0
52,2021-03-22,0 days 14:13:00,577.5,577.5,577.25,577.25,19084,47,0
53,2021-03-22,0 days 14:12:00,577.5,577.5,577.25,577.25,19036,32,0
54,2021-03-22,0 days 14:11:00,577.25,577.5,577.25,577.25,19003,82,0
55,2021-03-19,0 days 14:15:00,585.5,586.25,585.0,585.0,21508,443,0
56,2021-03-19,0 days 14:14:00,585.75,586.0,585.5,585.5,20873,53,0
57,2021-03-19,0 days 14:13:00,585.75,586.0,585.5,585.75,20785,25,0
58,2021-03-19,0 days 14:12:00,586.25,586.5,585.75,586.0,20750,58,0
59,2021-03-19,0 days 14:11:00,586.0,586.25,585.75,586.25,20691,82,0
60,2021-03-18,0 days 14:15:00,588.25,588.5,585.75,586.0,17097,645,0
61,2021-03-18,0 days 14:14:00,588.75,589.25,588.25,588.25,16036,80,0
62,2021-03-18,0 days 14:13:00,588.5,588.75,588.5,588.75,15867,15,0
63,2021-03-18,0 days 14:12:00,588.25,588.5,588.25,588.5,15847,57,0
64,2021-03-18,0 days 14:11:00,588.5,588.5,588.0,588.25,15790,168,0
65,2021-03-17,0 days 14:15:00,602.0,602.0,600.25,600.5,10007,210,0
66,2021-03-17,0 days 14:14:00,602.0,602.0,601.5,601.75,9668,22,0
67,2021-03-17,0 days 14:13:00,601.5,602.0,601.25,602.0,9628,38,0
68,2021-03-17,0 days 14:12:00,601.5,601.75,601.25,601.75,9577,12,0
69,2021-03-17,0 days 14:11:00,601.0,601.5,601.0,601.5,9555,15,0
70,2021-03-16,0 days 14:15:00,607.5,609.0,607.5,608.25,24458,465,0
71,2021-03-16,0 days 14:14:00,607.25,607.5,606.75,607.5,23724,50,0
72,2021-03-16,0 days 14:13:00,607.5,607.5,607.25,607.25,23585,40,0
73,2021-03-16,0 days 14:12:00,607.5,607.75,607.5,607.5,23545,60,0
74,2021-03-16,0 days 14:11:00,607.25,607.5,607.25,607.5,23485,59,0
75,2021-03-15,0 days 14:15:00,608.25,608.25,605.5,605.75,18134,589,0
76,2021-03-15,0 days 14:14:00,608.25,608.75,607.5,608.5,17038,274,0
77,2021-03-15,0 days 14:13:00,608.5,608.5,607.75,608.0,16622,19,0
78,2021-03-15,0 days 14:12:00,608.25,608.75,608.0,608.25,16583,123,0
79,2021-03-15,0 days 14:11:00,607.75,608.0,607.5,608.0,16209,82,0
80,2021-03-12,0 days 14:15:00,603.75,604.25,603.0,604.25,13838,251,0
81,2021-03-12,0 days 14:14:00,603.5,603.75,603.5,603.75,12898,26,0
82,2021-03-12,0 days 14:13:00,603.5,603.75,603.25,603.5,12860,8,0
83,2021-03-12,0 days 14:12:00,603.25,603.75,603.25,603.5,12845,44,0
84,2021-03-12,0 days 14:11:00,603.0,603.5,603.0,603.25,12791,19,0
85,2021-03-11,0 days 14:15:00,604.75,604.75,603.75,604.5,25723,456,0
86,2021-03-11,0 days 14:14:00,604.75,605.0,604.25,604.75,24934,117,0
87,2021-03-11,0 days 14:13:00,605.0,605.0,604.75,604.75,24751,20,0
88,2021-03-11,0 days 14:12:00,605.0,605.25,605.0,605.0,24714,23,0
89,2021-03-11,0 days 14:11:00,604.75,605.25,604.5,605.0,24676,66,0
90,2021-03-10,0 days 14:15:00,617.0,617.25,615.75,616.25,17247,403,0
91,2021-03-10,0 days 14:14:00,616.75,617.5,616.75,617.0,16482,120,0
92,2021-03-10,0 days 14:13:00,617.0,617.25,616.75,616.75,16023,26,0
93,2021-03-10,0 days 14:12:00,616.75,617.25,616.75,617.25,15953,60,0
94,2021-03-10,0 days 14:11:00,617.0,617.0,616.5,616.75,15890,47,0
95,2021-03-09,0 days 14:15:00,625.75,627.25,625.5,626.5,18285,630,0
96,2021-03-09,0 days 14:14:00,626.0,626.0,625.75,625.75,17028,17,0
97,2021-03-09,0 days 14:13:00,626.25,626.25,626.0,626.0,16965,23,0
98,2021-03-09,0 days 14:12:00,625.25,626.25,625.25,626.25,16886,32,0
99,2021-03-09,0 days 14:11:00,625.0,625.5,625.0,625.5,16840,31,0
100,2021-03-08,0 days 14:15:00,622.75,623.0,621.0,621.5,23298,406,0
101,2021-03-08,0 days 14:14:00,623.5,623.75,623.0,623.0,22475,62,0
102,2021-03-08,0 days 14:13:00,623.0,623.5,623.0,623.25,22393,45,0
103,2021-03-08,0 days 14:12:00,622.25,623.0,622.25,622.75,22334,237,0
104,2021-03-08,0 days 14:11:00,622.75,622.75,622.5,622.5,22046,40,0
105,2021-03-05,0 days 14:15:00,627.75,628.0,624.5,625.5,16201,537,0
106,2021-03-05,0 days 14:14:00,628.5,628.5,627.5,627.75,15314,60,0
107,2021-03-05,0 days 14:13:00,628.25,628.25,628.0,628.25,15139,20,0
108,2021-03-05,0 days 14:12:00,628.25,628.25,628.0,628.0,15103,13,0
109,2021-03-05,0 days 14:11:00,628.0,628.25,627.75,628.0,15077,15,0
110,2021-03-04,0 days 14:15:00,621.25,621.5,620.75,621.0,16663,303,0
111,2021-03-04,0 days 14:14:00,622.5,622.5,621.25,621.5,16224,110,0
112,2021-03-04,0 days 14:13:00,622.0,622.5,621.75,622.5,16075,71,0
113,2021-03-04,0 days 14:12:00,622.5,622.5,622.0,622.25,15984,70,0
114,2021-03-04,0 days 14:11:00,622.5,622.75,622.25,622.25,15899,27,0
115,2021-03-03,0 days 14:15:00,627.0,627.5,625.25,626.25,16923,497,0
116,2021-03-03,0 days 14:14:00,627.75,628.0,627.0,627.25,15983,171,0
