,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:00:00,124.65,124.725,124.525,124.525,18504,559,0
1,2021-04-06,0 days 13:59:00,124.65,124.7,124.625,124.65,17197,43,0
2,2021-04-06,0 days 13:58:00,124.8,124.8,124.6,124.625,17119,127,0
3,2021-04-06,0 days 13:57:00,124.775,124.8,124.75,124.75,16969,42,0
4,2021-04-06,0 days 13:56:00,124.8,124.8,124.775,124.775,16896,32,0
5,2021-04-05,0 days 14:00:00,124.5,124.55,124.375,124.4,24163,573,0
6,2021-04-05,0 days 13:59:00,124.475,124.5,124.425,124.475,23346,121,0
7,2021-04-05,0 days 13:58:00,124.525,124.525,124.4,124.475,23220,118,0
8,2021-04-05,0 days 13:57:00,124.625,124.65,124.45,124.55,23083,176,0
9,2021-04-05,0 days 13:56:00,124.6,124.675,124.6,124.65,22891,86,0
10,2021-04-01,0 days 14:00:00,122.85,122.85,122.425,122.5,21580,1069,0
11,2021-04-01,0 days 13:59:00,122.85,122.875,122.825,122.85,20318,45,0
12,2021-04-01,0 days 13:58:00,122.85,122.925,122.825,122.825,20257,44,0
13,2021-04-01,0 days 13:57:00,122.9,122.9,122.85,122.875,20197,45,0
14,2021-04-01,0 days 13:56:00,122.9,122.925,122.9,122.9,20143,68,0
15,2021-03-31,0 days 14:00:00,123.0,123.1,122.75,122.75,21086,917,0
16,2021-03-31,0 days 13:59:00,123.025,123.075,122.975,122.975,20100,44,0
17,2021-03-31,0 days 13:58:00,122.975,123.075,122.975,123.025,20020,71,0
18,2021-03-31,0 days 13:57:00,122.9,122.95,122.875,122.95,19912,22,0
19,2021-03-31,0 days 13:56:00,122.875,122.9,122.875,122.9,19873,8,0
20,2021-03-30,0 days 14:00:00,122.15,122.3,122.125,122.175,16089,507,0
21,2021-03-30,0 days 13:59:00,122.075,122.15,122.05,122.125,15476,98,0
22,2021-03-30,0 days 13:58:00,122.1,122.1,122.05,122.075,15342,67,0
23,2021-03-30,0 days 13:57:00,122.125,122.15,122.075,122.1,15253,94,0
24,2021-03-30,0 days 13:56:00,122.125,122.15,122.075,122.125,15087,77,0
25,2021-03-29,0 days 14:00:00,122.575,122.7,122.5,122.675,23148,572,0
26,2021-03-29,0 days 13:59:00,122.625,122.625,122.55,122.575,22399,72,0
27,2021-03-29,0 days 13:58:00,122.625,122.7,122.6,122.65,22312,28,0
28,2021-03-29,0 days 13:57:00,122.625,122.65,122.6,122.625,22267,45,0
29,2021-03-29,0 days 13:56:00,122.6,122.625,122.575,122.625,22185,23,0
30,2021-03-26,0 days 14:00:00,121.675,121.85,121.675,121.825,13588,613,0
31,2021-03-26,0 days 13:59:00,121.625,121.7,121.625,121.675,12789,105,0
32,2021-03-26,0 days 13:58:00,121.65,121.675,121.625,121.625,12648,87,0
33,2021-03-26,0 days 13:57:00,121.65,121.675,121.625,121.675,12518,69,0
34,2021-03-26,0 days 13:56:00,121.65,121.675,121.65,121.65,12412,50,0
35,2021-03-25,0 days 14:00:00,121.05,121.125,121.025,121.05,22152,684,0
36,2021-03-25,0 days 13:59:00,121.1,121.1,121.05,121.05,21224,36,0
37,2021-03-25,0 days 13:58:00,121.075,121.1,121.05,121.1,21164,38,0
38,2021-03-25,0 days 13:57:00,121.075,121.125,121.0,121.05,21100,93,0
39,2021-03-25,0 days 13:56:00,121.0,121.075,121.0,121.05,20990,76,0
40,2021-03-24,0 days 14:00:00,120.4,120.45,120.225,120.225,16204,553,0
41,2021-03-24,0 days 13:59:00,120.45,120.475,120.425,120.425,15500,72,0
42,2021-03-24,0 days 13:58:00,120.4,120.475,120.4,120.45,15378,38,0
43,2021-03-24,0 days 13:57:00,120.375,120.4,120.35,120.4,15286,19,0
44,2021-03-24,0 days 13:56:00,120.4,120.4,120.375,120.4,15246,18,0
45,2021-03-23,0 days 14:00:00,120.05,120.075,119.95,120.075,15902,501,0
46,2021-03-23,0 days 13:59:00,120.05,120.05,120.025,120.025,15085,22,0
47,2021-03-23,0 days 13:58:00,120.025,120.075,120.025,120.075,15054,31,0
48,2021-03-23,0 days 13:57:00,120.05,120.05,120.0,120.025,15011,25,0
49,2021-03-23,0 days 13:56:00,119.975,120.05,119.975,120.05,14974,36,0
50,2021-03-22,0 days 14:00:00,118.975,119.025,118.9,118.9,13384,414,0
51,2021-03-22,0 days 13:59:00,118.925,118.95,118.925,118.925,12714,37,0
52,2021-03-22,0 days 13:58:00,119.0,119.0,118.9,118.925,12667,70,0
53,2021-03-22,0 days 13:57:00,118.975,119.0,118.975,118.975,12582,17,0
54,2021-03-22,0 days 13:56:00,118.95,119.0,118.95,118.95,12552,26,0
55,2021-03-19,0 days 14:00:00,118.85,118.85,118.6,118.6,22512,561,0
56,2021-03-19,0 days 13:59:00,118.775,118.825,118.75,118.825,21805,122,0
57,2021-03-19,0 days 13:58:00,118.75,118.775,118.725,118.775,21611,45,0
58,2021-03-19,0 days 13:57:00,118.8,118.8,118.7,118.75,21524,43,0
59,2021-03-19,0 days 13:56:00,118.85,118.85,118.8,118.8,21425,46,0
60,2021-03-18,0 days 14:00:00,119.775,119.8,119.575,119.725,31927,1019,0
61,2021-03-18,0 days 13:59:00,119.85,119.85,119.7,119.725,30570,133,0
62,2021-03-18,0 days 13:58:00,119.825,119.825,119.8,119.825,30257,63,0
63,2021-03-18,0 days 13:57:00,119.775,119.825,119.775,119.8,30147,57,0
64,2021-03-18,0 days 13:56:00,119.8,119.825,119.8,119.8,30055,25,0
65,2021-03-17,0 days 14:00:00,119.4,119.5,119.375,119.425,18699,351,0
66,2021-03-17,0 days 13:59:00,119.4,119.45,119.325,119.325,18109,41,0
67,2021-03-17,0 days 13:58:00,119.4,119.425,119.375,119.425,18058,14,0
68,2021-03-17,0 days 13:57:00,119.45,119.5,119.35,119.4,18038,59,0
69,2021-03-17,0 days 13:56:00,119.425,119.5,119.425,119.45,17957,25,0
70,2021-03-16,0 days 14:00:00,118.25,118.25,118.125,118.2,16808,723,0
71,2021-03-16,0 days 13:59:00,118.25,118.25,118.225,118.225,15647,17,0
72,2021-03-16,0 days 13:58:00,118.25,118.275,118.25,118.25,15616,74,0
73,2021-03-16,0 days 13:57:00,118.2,118.275,118.2,118.275,15508,135,0
74,2021-03-16,0 days 13:56:00,118.275,118.3,118.15,118.175,15340,168,0
75,2021-03-15,0 days 14:00:00,119.225,119.25,119.075,119.1,15387,566,0
76,2021-03-15,0 days 13:59:00,119.275,119.3,119.2,119.2,14625,77,0
77,2021-03-15,0 days 13:58:00,119.275,119.275,119.2,119.225,14521,38,0
78,2021-03-15,0 days 13:57:00,119.25,119.3,119.25,119.3,14469,25,0
79,2021-03-15,0 days 13:56:00,119.3,119.35,119.275,119.275,14416,11,0
80,2021-03-12,0 days 14:00:00,118.975,119.05,118.925,118.975,22303,711,0
81,2021-03-12,0 days 13:59:00,118.975,119.025,118.95,118.95,21248,68,0
82,2021-03-12,0 days 13:58:00,118.975,119.0,118.975,118.975,21135,58,0
83,2021-03-12,0 days 13:57:00,119.0,119.0,119.0,119.0,21053,7,0
84,2021-03-12,0 days 13:56:00,118.975,118.975,118.925,118.95,21041,28,0
85,2021-03-11,0 days 14:00:00,118.575,118.675,118.475,118.525,26297,1561,0
86,2021-03-11,0 days 13:59:00,118.675,118.7,118.575,118.575,23318,138,0
87,2021-03-11,0 days 13:58:00,118.65,118.7,118.625,118.7,23124,98,0
88,2021-03-11,0 days 13:57:00,118.7,118.725,118.625,118.65,22606,107,0
89,2021-03-11,0 days 13:56:00,118.7,118.725,118.65,118.7,22366,38,0
90,2021-03-10,0 days 14:00:00,118.8,118.85,118.7,118.725,28760,1342,0
91,2021-03-10,0 days 13:59:00,118.8,118.85,118.8,118.8,25228,92,0
92,2021-03-10,0 days 13:58:00,118.75,118.8,118.7,118.8,24957,90,0
93,2021-03-10,0 days 13:57:00,118.725,118.725,118.675,118.725,24366,135,0
94,2021-03-10,0 days 13:56:00,118.775,118.775,118.7,118.725,24069,145,0
95,2021-03-09,0 days 14:00:00,119.6,119.725,119.575,119.675,28501,1425,0
96,2021-03-09,0 days 13:59:00,119.65,119.675,119.6,119.6,24797,89,0
97,2021-03-09,0 days 13:58:00,119.65,119.7,119.625,119.625,24201,64,0
98,2021-03-09,0 days 13:57:00,119.675,119.7,119.625,119.65,23728,45,0
99,2021-03-09,0 days 13:56:00,119.725,119.725,119.625,119.675,23430,39,0
100,2021-03-08,0 days 14:00:00,119.425,119.475,119.275,119.325,26093,1554,0
101,2021-03-08,0 days 13:59:00,119.45,119.45,119.4,119.45,21545,66,0
102,2021-03-08,0 days 13:58:00,119.325,119.45,119.3,119.45,21215,28,0
103,2021-03-08,0 days 13:57:00,119.25,119.325,119.25,119.325,20881,24,0
104,2021-03-08,0 days 13:56:00,119.25,119.275,119.225,119.225,20689,40,0
105,2021-03-05,0 days 14:00:00,119.075,119.075,118.975,119.025,26048,1865,0
106,2021-03-05,0 days 13:59:00,119.1,119.125,119.075,119.075,20597,75,0
107,2021-03-05,0 days 13:58:00,119.1,119.1,119.075,119.1,20248,37,0
108,2021-03-05,0 days 13:57:00,119.15,119.15,119.075,119.075,20036,88,0
109,2021-03-05,0 days 13:56:00,119.125,119.175,119.125,119.15,19722,86,0
110,2021-03-04,0 days 14:00:00,118.625,118.625,118.5,118.6,22058,976,0
111,2021-03-04,0 days 13:59:00,118.675,118.675,118.6,118.625,20677,155,0
112,2021-03-04,0 days 13:58:00,118.7,118.725,118.625,118.65,20506,121,0
113,2021-03-04,0 days 13:57:00,118.675,118.7,118.65,118.7,20356,92,0
114,2021-03-04,0 days 13:56:00,118.675,118.675,118.6,118.675,20190,129,0
115,2021-03-03,0 days 14:00:00,119.4,119.475,119.35,119.35,20786,1043,0
116,2021-03-03,0 days 13:59:00,119.55,119.575,119.4,119.425,19222,195,0
117,2021-03-03,0 days 13:58:00,119.55,119.6,119.55,119.55,18981,102,0
118,2021-03-03,0 days 13:57:00,119.575,119.6,119.55,119.575,18861,39,0
119,2021-03-03,0 days 13:56:00,119.575,119.6,119.55,119.575,18808,152,0
120,2021-03-02,0 days 14:00:00,119.4,119.475,119.35,119.425,22907,976,0
121,2021-03-02,0 days 13:59:00,119.375,119.475,119.35,119.4,21238,129,0
122,2021-03-02,0 days 13:58:00,119.4,119.4,119.35,119.375,21067,125,0
123,2021-03-02,0 days 13:57:00,119.45,119.5,119.425,119.425,20916,61,0
124,2021-03-02,0 days 13:56:00,119.575,119.575,119.475,119.475,20831,36,0
125,2021-03-01,0 days 14:00:00,118.925,119.025,118.9,119.0,28002,1145,0
126,2021-03-01,0 days 13:59:00,118.85,118.9,118.825,118.9,26542,179,0
127,2021-03-01,0 days 13:58:00,118.95,118.95,118.85,118.875,26277,135,0
128,2021-03-01,0 days 13:57:00,118.975,118.975,118.925,118.925,26032,54,0
129,2021-03-01,0 days 13:56:00,119.0,119.025,118.975,119.0,25941,55,0
130,2021-02-26,0 days 14:00:00,119.975,120.125,119.9,119.95,28770,1817,0
131,2021-02-26,0 days 13:59:00,120.025,120.1,119.925,119.975,25731,343,0
132,2021-02-26,0 days 13:58:00,120.1,120.1,120.0,120.025,25306,195,0
133,2021-02-26,0 days 13:57:00,120.15,120.2,120.1,120.1,25074,116,0
