,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,2230.5,2231.8,2230.3,2230.8,24219,3293,0
1,2021-04-06,0 days 15:59:00,2230.7,2230.7,2230.2,2230.5,20926,249,0
2,2021-04-06,0 days 15:58:00,2230.0,2230.6,2229.9,2230.5,20677,102,0
3,2021-04-06,0 days 15:57:00,2228.8,2230.1,2228.8,2230.1,20575,88,0
4,2021-04-06,0 days 15:56:00,2228.1,2228.9,2228.1,2228.9,20487,107,0
5,2021-04-05,0 days 16:00:00,2255.7,2257.5,2255.7,2256.8,20904,3348,0
6,2021-04-05,0 days 15:59:00,2256.9,2256.9,2255.4,2255.7,17556,1063,0
7,2021-04-05,0 days 15:58:00,2257.4,2257.5,2256.2,2256.8,16493,428,0
8,2021-04-05,0 days 15:57:00,2257.3,2257.6,2257.0,2257.5,16065,161,0
9,2021-04-05,0 days 15:56:00,2257.5,2257.5,2256.4,2257.2,15904,248,0
10,2021-04-01,0 days 16:00:00,2223.4,2224.5,2219.6,2224.2,35909,7587,0
11,2021-04-01,0 days 15:59:00,2224.1,2224.9,2223.2,2223.4,28322,2595,0
12,2021-04-01,0 days 15:58:00,2222.6,2224.1,2222.5,2224.0,25727,1016,0
13,2021-04-01,0 days 15:57:00,2221.6,2222.9,2221.5,2222.6,24711,947,0
14,2021-04-01,0 days 15:56:00,2221.3,2221.7,2221.2,2221.5,23764,741,0
15,2021-03-31,0 days 16:00:00,2192.5,2193.0,2190.6,2192.1,60636,9360,0
16,2021-03-31,0 days 15:59:00,2193.0,2193.0,2191.8,2192.5,51276,3100,0
17,2021-03-31,0 days 15:58:00,2193.0,2193.5,2192.9,2193.0,48176,728,0
18,2021-03-31,0 days 15:57:00,2192.4,2193.3,2192.3,2193.1,47448,535,0
19,2021-03-31,0 days 15:56:00,2193.1,2193.5,2192.3,2192.4,46913,801,0
20,2021-03-30,0 days 16:00:00,2201.1,2204.7,2200.3,2204.1,33798,5095,0
