,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,1346.4,1347.5,1346.2,1347.4,81150,4464,0
1,2021-04-06,0 days 15:59:00,1347.2,1347.2,1346.2,1346.4,76686,490,0
2,2021-04-06,0 days 15:58:00,1347.1,1347.2,1346.9,1347.2,76196,275,0
3,2021-04-06,0 days 15:57:00,1346.8,1347.2,1346.8,1347.1,75921,219,0
4,2021-04-06,0 days 15:56:00,1346.7,1346.9,1346.5,1346.8,75702,174,0
5,2021-04-05,0 days 16:00:00,1339.7,1340.7,1339.5,1340.2,51184,2972,0
6,2021-04-05,0 days 15:59:00,1340.7,1340.7,1339.8,1339.8,48212,1279,0
7,2021-04-05,0 days 15:58:00,1340.6,1341.0,1340.6,1340.7,46933,320,0
8,2021-04-05,0 days 15:57:00,1340.8,1340.9,1340.4,1340.6,46613,415,0
9,2021-04-05,0 days 15:56:00,1340.5,1340.9,1340.2,1340.9,46198,618,0
10,2021-04-01,0 days 16:00:00,1337.3,1337.3,1334.3,1335.3,113441,11334,0
11,2021-04-01,0 days 15:59:00,1336.1,1337.6,1336.1,1337.3,102107,1913,0
12,2021-04-01,0 days 15:58:00,1335.7,1336.4,1335.5,1336.1,100194,1101,0
13,2021-04-01,0 days 15:57:00,1335.1,1335.9,1335.1,1335.7,99093,1295,0
14,2021-04-01,0 days 15:56:00,1334.2,1335.0,1334.0,1335.0,97798,1242,0
15,2021-03-31,0 days 16:00:00,1323.0,1323.8,1319.4,1319.4,163665,24374,0
16,2021-03-31,0 days 15:59:00,1322.8,1323.3,1322.6,1323.0,139291,5169,0
17,2021-03-31,0 days 15:58:00,1322.9,1323.4,1322.7,1322.8,134122,942,0
18,2021-03-31,0 days 15:57:00,1323.2,1323.8,1322.8,1323.0,133180,1828,0
19,2021-03-31,0 days 15:56:00,1324.2,1324.2,1323.0,1323.3,131352,1045,0
20,2021-03-30,0 days 16:00:00,1313.2,1315.1,1313.1,1315.0,87144,5252,0
21,2021-03-30,0 days 15:59:00,1313.2,1313.2,1312.8,1313.1,81892,1521,0
22,2021-03-30,0 days 15:58:00,1313.7,1313.7,1313.2,1313.3,80371,196,0
23,2021-03-30,0 days 15:57:00,1313.8,1313.8,1313.6,1313.7,80175,190,0
24,2021-03-30,0 days 15:56:00,1314.2,1314.2,1313.8,1313.8,79985,292,0
25,2021-03-29,0 days 16:00:00,1309.4,1310.7,1308.9,1310.3,93160,6500,0
26,2021-03-29,0 days 15:59:00,1309.8,1309.9,1309.5,1309.5,86660,1859,0
27,2021-03-29,0 days 15:58:00,1309.3,1310.0,1309.1,1309.8,84801,991,0
28,2021-03-29,0 days 15:57:00,1308.7,1309.5,1308.6,1309.3,83810,630,0
29,2021-03-29,0 days 15:56:00,1308.5,1308.9,1308.1,1308.7,83180,450,0
30,2021-03-26,0 days 16:00:00,1316.2,1317.4,1316.1,1317.3,109142,4854,0
31,2021-03-26,0 days 15:59:00,1315.6,1316.2,1315.1,1316.2,104288,742,0
32,2021-03-26,0 days 15:58:00,1315.4,1315.6,1315.2,1315.6,103546,205,0
33,2021-03-26,0 days 15:57:00,1314.3,1315.8,1314.3,1315.5,103341,552,0
34,2021-03-26,0 days 15:56:00,1312.2,1314.4,1312.2,1314.3,102789,560,0
35,2021-03-25,0 days 16:00:00,1284.8,1285.0,1284.0,1284.5,118183,4791,0
36,2021-03-25,0 days 15:59:00,1285.2,1285.3,1284.5,1284.8,113392,1028,0
37,2021-03-25,0 days 15:58:00,1285.4,1285.5,1285.2,1285.3,112364,336,0
38,2021-03-25,0 days 15:57:00,1285.4,1285.5,1285.1,1285.5,112028,150,0
39,2021-03-25,0 days 15:56:00,1285.4,1285.6,1285.0,1285.4,111878,349,0
40,2021-03-24,0 days 16:00:00,1280.0,1281.2,1279.6,1279.8,107278,6530,0
41,2021-03-24,0 days 15:59:00,1280.1,1280.2,1279.4,1280.0,100748,1690,0
42,2021-03-24,0 days 15:58:00,1280.3,1280.4,1279.9,1280.1,99058,899,0
43,2021-03-24,0 days 15:57:00,1280.1,1280.5,1279.8,1280.3,98159,1022,0
44,2021-03-24,0 days 15:56:00,1280.8,1280.9,1280.0,1280.1,97137,725,0
45,2021-03-23,0 days 16:00:00,1310.6,1311.1,1310.3,1310.6,100110,5766,0
46,2021-03-23,0 days 15:59:00,1310.7,1310.8,1310.5,1310.6,94344,479,0
