,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,13561.0,13574.25,13558.75,13571.5,444899,3805,0
1,2021-04-06,0 days 15:59:00,13560.5,13562.0,13555.5,13560.75,441094,1187,0
2,2021-04-06,0 days 15:58:00,13562.75,13564.75,13556.25,13560.5,439907,1510,0
3,2021-04-06,0 days 15:57:00,13552.25,13564.0,13551.5,13563.25,438397,1714,0
4,2021-04-06,0 days 15:56:00,13550.5,13555.0,13545.5,13552.25,436683,1566,0
5,2021-04-05,0 days 16:00:00,13579.75,13593.75,13579.25,13581.75,338452,4496,0
6,2021-04-05,0 days 15:59:00,13593.0,13593.25,13579.5,13580.25,333956,1929,0
7,2021-04-05,0 days 15:58:00,13590.25,13594.0,13588.5,13593.0,332027,1040,0
8,2021-04-05,0 days 15:57:00,13596.75,13597.25,13589.75,13590.0,330987,1101,0
9,2021-04-05,0 days 15:56:00,13600.5,13601.5,13591.0,13596.5,329886,1689,0
10,2021-04-01,0 days 16:00:00,13317.0,13319.75,13313.0,13314.75,410826,6460,0
11,2021-04-01,0 days 15:59:00,13312.5,13319.0,13310.5,13317.0,404365,2598,0
12,2021-04-01,0 days 15:58:00,13310.0,13313.5,13308.25,13312.75,401767,1386,0
13,2021-04-01,0 days 15:57:00,13309.5,13313.25,13308.25,13310.0,400381,1149,0
14,2021-04-01,0 days 15:56:00,13314.25,13314.75,13306.0,13309.5,399232,2026,0
15,2021-03-31,0 days 16:00:00,13099.0,13105.25,13082.75,13084.5,457156,9047,0
16,2021-03-31,0 days 15:59:00,13090.25,13099.5,13084.25,13099.25,448109,2765,0
17,2021-03-31,0 days 15:58:00,13090.5,13095.25,13085.0,13090.25,445344,2099,0
18,2021-03-31,0 days 15:57:00,13076.5,13096.0,13075.75,13091.25,443245,3025,0
19,2021-03-31,0 days 15:56:00,13093.0,13093.0,13070.0,13076.25,440219,5326,0
20,2021-03-30,0 days 16:00:00,12853.5,12900.5,12852.25,12894.75,500953,5688,0
21,2021-03-30,0 days 15:59:00,12844.0,12854.25,12841.5,12854.25,495265,1657,0
22,2021-03-30,0 days 15:58:00,12847.25,12851.25,12843.75,12844.5,493608,1105,0
23,2021-03-30,0 days 15:57:00,12842.5,12848.5,12839.75,12847.25,492503,1550,0
24,2021-03-30,0 days 15:56:00,12856.75,12859.0,12840.25,12842.25,490953,2611,0
25,2021-03-29,0 days 16:00:00,12947.0,12956.25,12931.0,12956.25,560512,3917,0
26,2021-03-29,0 days 15:59:00,12950.75,12953.25,12945.75,12947.5,556595,1080,0
27,2021-03-29,0 days 15:58:00,12944.25,12954.25,12941.5,12950.75,555515,1082,0
28,2021-03-29,0 days 15:57:00,12932.75,12948.25,12930.75,12944.25,554433,930,0
29,2021-03-29,0 days 15:56:00,12939.0,12940.5,12926.5,12933.0,553503,1342,0
30,2021-03-26,0 days 16:00:00,12941.5,12975.0,12941.5,12961.5,592623,6843,0
31,2021-03-26,0 days 15:59:00,12937.25,12942.75,12930.5,12941.75,585780,1673,0
32,2021-03-26,0 days 15:58:00,12933.25,12938.25,12928.25,12937.0,584107,1852,0
33,2021-03-26,0 days 15:57:00,12923.0,12937.0,12922.25,12932.75,582255,2613,0
34,2021-03-26,0 days 15:56:00,12902.25,12923.75,12899.5,12923.25,579642,3080,0
35,2021-03-25,0 days 16:00:00,12779.25,12784.75,12767.0,12772.5,726483,4328,0
36,2021-03-25,0 days 15:59:00,12777.75,12780.25,12772.75,12778.75,722155,1377,0
37,2021-03-25,0 days 15:58:00,12781.25,12781.75,12774.25,12777.75,720778,1448,0
38,2021-03-25,0 days 15:57:00,12788.25,12788.5,12774.5,12781.5,719330,1603,0
39,2021-03-25,0 days 15:56:00,12788.25,12789.25,12777.25,12788.5,717727,2796,0
40,2021-03-24,0 days 16:00:00,12796.0,12801.75,12788.25,12790.0,607549,5806,0
41,2021-03-24,0 days 15:59:00,12806.75,12806.75,12793.25,12796.0,601743,2107,0
42,2021-03-24,0 days 15:58:00,12803.5,12810.75,12799.25,12806.75,599635,2286,0
43,2021-03-24,0 days 15:57:00,12799.5,12803.5,12795.25,12803.5,597347,1935,0
44,2021-03-24,0 days 15:56:00,12806.25,12808.75,12793.25,12799.25,595412,3661,0
45,2021-03-23,0 days 16:00:00,12999.0,13011.25,12994.75,13005.0,586994,3844,0
46,2021-03-23,0 days 15:59:00,13000.0,13002.0,12989.0,12998.5,583150,1738,0
47,2021-03-23,0 days 15:58:00,13010.25,13012.75,12998.75,13000.25,581412,1397,0
