,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,0.04914,0.04915,0.04914,0.04915,36078,602,0
1,2021-04-06,0 days 14:59:00,0.04915,0.04916,0.04914,0.04915,35476,160,0
2,2021-04-06,0 days 14:58:00,0.04914,0.04915,0.04914,0.04915,35121,379,0
3,2021-04-06,0 days 14:57:00,0.04915,0.04915,0.04915,0.04915,34742,5,0
4,2021-04-06,0 days 14:56:00,0.04915,0.04915,0.04915,0.04915,34737,3,0
5,2021-04-05,0 days 15:00:00,0.04875,0.04876,0.04874,0.04875,24403,155,0
6,2021-04-05,0 days 14:59:00,0.04875,0.04875,0.04873,0.04875,24248,165,0
7,2021-04-05,0 days 14:58:00,0.04876,0.04877,0.04876,0.04876,24083,43,0
8,2021-04-05,0 days 14:57:00,0.04876,0.04876,0.04875,0.04876,24040,65,0
9,2021-04-05,0 days 14:56:00,0.04875,0.04876,0.04875,0.04876,23975,7,0
10,2021-04-01,0 days 15:00:00,0.04884,0.04886,0.04883,0.04883,27824,466,0
11,2021-04-01,0 days 14:59:00,0.04885,0.04885,0.04883,0.04883,27358,67,0
12,2021-04-01,0 days 14:58:00,0.04881,0.04885,0.04881,0.04885,27291,247,0
13,2021-04-01,0 days 14:57:00,0.04881,0.04882,0.04881,0.04882,27044,61,0
14,2021-04-01,0 days 14:56:00,0.0488,0.04881,0.0488,0.0488,26983,12,0
15,2021-03-31,0 days 15:00:00,0.04854,0.04856,0.04853,0.04854,25858,658,0
16,2021-03-31,0 days 14:59:00,0.04853,0.04854,0.04853,0.04854,25200,125,0
17,2021-03-31,0 days 14:58:00,0.04853,0.04855,0.04853,0.04854,25075,132,0
18,2021-03-31,0 days 14:57:00,0.04853,0.04854,0.04853,0.04854,24943,17,0
19,2021-03-31,0 days 14:56:00,0.04852,0.04853,0.04852,0.04852,24926,37,0
20,2021-03-30,0 days 15:00:00,0.04825,0.04825,0.04821,0.04822,39910,795,0
21,2021-03-30,0 days 14:59:00,0.04826,0.04827,0.04824,0.04826,39115,309,0
22,2021-03-30,0 days 14:58:00,0.04825,0.04826,0.04824,0.04826,38806,137,0
23,2021-03-30,0 days 14:57:00,0.04826,0.04826,0.04824,0.04825,38669,90,0
24,2021-03-30,0 days 14:56:00,0.04824,0.04826,0.04824,0.04825,38579,109,0
25,2021-03-29,0 days 15:00:00,0.04804,0.04805,0.04803,0.04805,31230,279,0
26,2021-03-29,0 days 14:59:00,0.04804,0.04805,0.04802,0.04804,30951,157,0
27,2021-03-29,0 days 14:58:00,0.04805,0.04805,0.04803,0.04804,30794,227,0
28,2021-03-29,0 days 14:57:00,0.04804,0.04806,0.04804,0.04805,30567,168,0
29,2021-03-29,0 days 14:56:00,0.04803,0.04804,0.04802,0.04804,30399,193,0
30,2021-03-26,0 days 15:00:00,0.04817,0.0482,0.04816,0.04819,36813,543,0
31,2021-03-26,0 days 14:59:00,0.04816,0.04817,0.04815,0.04815,36270,69,0
32,2021-03-26,0 days 14:58:00,0.04814,0.04817,0.04814,0.04816,36201,72,0
33,2021-03-26,0 days 14:57:00,0.04814,0.04815,0.04813,0.04813,36129,41,0
34,2021-03-26,0 days 14:56:00,0.04815,0.04816,0.04814,0.04814,36088,84,0
35,2021-03-25,0 days 15:00:00,0.04786,0.04789,0.04784,0.04787,45177,746,0
36,2021-03-25,0 days 14:59:00,0.04784,0.04786,0.04784,0.04785,44431,143,0
37,2021-03-25,0 days 14:58:00,0.04784,0.04786,0.04784,0.04784,44288,52,0
38,2021-03-25,0 days 14:57:00,0.04785,0.04785,0.04783,0.04783,44236,82,0
39,2021-03-25,0 days 14:56:00,0.04786,0.04786,0.04784,0.04784,44154,41,0
40,2021-03-24,0 days 15:00:00,0.04749,0.04749,0.04745,0.04745,41064,611,0
41,2021-03-24,0 days 14:59:00,0.04746,0.0475,0.04745,0.04748,40453,122,0
42,2021-03-24,0 days 14:58:00,0.04744,0.04746,0.04744,0.04746,40331,75,0
43,2021-03-24,0 days 14:57:00,0.04744,0.04746,0.04744,0.04745,40256,53,0
44,2021-03-24,0 days 14:56:00,0.04745,0.04745,0.04744,0.04745,40203,76,0
45,2021-03-23,0 days 15:00:00,0.04773,0.04777,0.04772,0.04772,49938,856,0
46,2021-03-23,0 days 14:59:00,0.04776,0.04776,0.04774,0.04774,49082,85,0
47,2021-03-23,0 days 14:58:00,0.04775,0.04776,0.04775,0.04775,48997,37,0
48,2021-03-23,0 days 14:57:00,0.04776,0.04776,0.04775,0.04776,48960,27,0
49,2021-03-23,0 days 14:56:00,0.04777,0.04777,0.04775,0.04775,48933,183,0
50,2021-03-22,0 days 15:00:00,0.04824,0.04824,0.04821,0.04822,52974,255,0
51,2021-03-22,0 days 14:59:00,0.04823,0.04823,0.04823,0.04823,52719,2,0
52,2021-03-22,0 days 14:58:00,0.04822,0.04824,0.04822,0.04824,52717,19,0
53,2021-03-22,0 days 14:57:00,0.04821,0.04822,0.04821,0.04822,52698,59,0
54,2021-03-22,0 days 14:56:00,0.04821,0.04821,0.04821,0.04821,52639,56,0
55,2021-03-19,0 days 15:00:00,0.04833,0.04834,0.04831,0.04831,51719,244,0
56,2021-03-19,0 days 14:59:00,0.04832,0.04833,0.04832,0.04833,51475,16,0
57,2021-03-19,0 days 14:58:00,0.04832,0.04832,0.04832,0.04832,51459,6,0
58,2021-03-19,0 days 14:57:00,0.04833,0.04833,0.04832,0.04832,51453,13,0
59,2021-03-19,0 days 14:56:00,0.04833,0.04833,0.04833,0.04833,51440,33,0
60,2021-03-18,0 days 15:00:00,0.04841,0.04842,0.0484,0.04841,63900,382,0
61,2021-03-18,0 days 14:59:00,0.04844,0.04844,0.04841,0.04841,63518,268,0
62,2021-03-18,0 days 14:58:00,0.04845,0.04845,0.04844,0.04844,63250,83,0
63,2021-03-18,0 days 14:57:00,0.04846,0.04847,0.04845,0.04845,63167,120,0
64,2021-03-18,0 days 14:56:00,0.04846,0.04847,0.04846,0.04847,63047,55,0
65,2021-03-17,0 days 15:00:00,0.04859,0.04864,0.04859,0.04863,58572,293,0
66,2021-03-17,0 days 14:59:00,0.0486,0.0486,0.04858,0.04859,58279,215,0
67,2021-03-17,0 days 14:58:00,0.04862,0.04862,0.04857,0.04861,58064,189,0
68,2021-03-17,0 days 14:57:00,0.0486,0.04863,0.04859,0.04862,57875,78,0
69,2021-03-17,0 days 14:56:00,0.04863,0.04864,0.0486,0.0486,57797,336,0
70,2021-03-16,0 days 15:00:00,0.04813,0.04814,0.04812,0.04813,31345,269,0
71,2021-03-16,0 days 14:59:00,0.04814,0.04814,0.04812,0.04812,31076,137,0
72,2021-03-16,0 days 14:58:00,0.04817,0.04817,0.04814,0.04814,30939,74,0
73,2021-03-16,0 days 14:57:00,0.04816,0.04817,0.04816,0.04817,30865,16,0
74,2021-03-16,0 days 14:56:00,0.04817,0.04817,0.04816,0.04816,30849,133,0
75,2021-03-15,0 days 15:00:00,0.04794,0.04795,0.04792,0.04794,26188,218,0
76,2021-03-15,0 days 14:59:00,0.04793,0.04794,0.04792,0.04794,25970,112,0
77,2021-03-15,0 days 14:58:00,0.04794,0.04795,0.04792,0.04792,25858,161,0
78,2021-03-15,0 days 14:57:00,0.04795,0.04796,0.04794,0.04794,25697,72,0
79,2021-03-15,0 days 14:56:00,0.04797,0.04797,0.04794,0.04794,25625,93,0
80,2021-03-12,0 days 15:00:00,0.04785,0.04786,0.04784,0.04785,51454,213,0
81,2021-03-12,0 days 14:59:00,0.04785,0.04786,0.04785,0.04786,51241,76,0
82,2021-03-12,0 days 14:58:00,0.04785,0.04785,0.04785,0.04785,51165,3,0
83,2021-03-12,0 days 14:57:00,0.04783,0.04784,0.04782,0.04784,51162,51,0
84,2021-03-12,0 days 14:56:00,0.04784,0.04786,0.04783,0.04783,51110,89,0
85,2021-03-11,0 days 15:00:00,0.0484,0.04841,0.04838,0.04841,60149,74,0
86,2021-03-11,0 days 14:59:00,0.0484,0.04841,0.0484,0.04841,60043,17,0
87,2021-03-11,0 days 14:58:00,0.0484,0.0484,0.04838,0.04839,60023,21,0
88,2021-03-11,0 days 14:57:00,0.0484,0.0484,0.0484,0.0484,60001,3,0
89,2021-03-11,0 days 14:56:00,0.0484,0.0484,0.04838,0.04838,59998,30,0
90,2021-03-10,0 days 15:00:00,0.04781,0.04784,0.04781,0.04784,75677,224,0
91,2021-03-10,0 days 14:59:00,0.04782,0.04782,0.04782,0.04782,75411,4,0
