,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,2255.3,2257.6,2254.4,2257.1,129791,5447,0
1,2021-04-06,0 days 15:59:00,2255.8,2256.1,2254.3,2255.3,124344,1220,0
2,2021-04-06,0 days 15:58:00,2257.1,2257.6,2255.4,2255.8,123124,380,0
3,2021-04-06,0 days 15:57:00,2255.6,2257.3,2255.4,2257.0,122744,404,0
4,2021-04-06,0 days 15:56:00,2255.3,2255.7,2254.3,2255.7,122340,387,0
5,2021-04-05,0 days 16:00:00,2262.1,2263.9,2262.0,2263.2,131749,5222,0
6,2021-04-05,0 days 15:59:00,2263.7,2263.8,2261.6,2262.0,126527,1678,0
7,2021-04-05,0 days 15:58:00,2263.1,2264.3,2263.1,2263.7,124849,1183,0
8,2021-04-05,0 days 15:57:00,2264.7,2264.8,2263.0,2263.1,123666,1029,0
9,2021-04-05,0 days 15:56:00,2263.6,2265.5,2263.5,2264.6,122637,1807,0
10,2021-04-01,0 days 16:00:00,2250.8,2252.9,2249.4,2252.2,144103,8125,0
11,2021-04-01,0 days 15:59:00,2248.5,2251.3,2248.4,2250.8,135978,3381,0
12,2021-04-01,0 days 15:58:00,2246.3,2248.9,2245.9,2248.5,132596,1687,0
13,2021-04-01,0 days 15:57:00,2245.3,2247.1,2244.6,2246.3,130908,485,0
14,2021-04-01,0 days 15:56:00,2247.3,2247.4,2245.1,2245.3,130423,615,0
15,2021-03-31,0 days 16:00:00,2223.6,2225.0,2221.2,2223.2,186505,15233,0
16,2021-03-31,0 days 15:59:00,2225.2,2225.2,2221.8,2223.6,171272,3790,0
17,2021-03-31,0 days 15:58:00,2224.5,2225.6,2223.7,2225.1,167482,3006,0
18,2021-03-31,0 days 15:57:00,2222.7,2225.8,2222.3,2224.6,164476,2506,0
19,2021-03-31,0 days 15:56:00,2227.3,2227.5,2221.4,2222.8,161970,2975,0
20,2021-03-30,0 days 16:00:00,2188.6,2194.9,2188.6,2193.5,192785,9016,0
21,2021-03-30,0 days 15:59:00,2187.9,2188.9,2187.0,2188.4,183769,1279,0
22,2021-03-30,0 days 15:58:00,2187.5,2188.5,2186.8,2188.0,182490,681,0
23,2021-03-30,0 days 15:57:00,2186.3,2188.2,2185.7,2187.6,181809,871,0
24,2021-03-30,0 days 15:56:00,2190.2,2190.3,2186.1,2186.2,180938,1200,0
25,2021-03-29,0 days 16:00:00,2156.5,2157.7,2153.3,2156.7,202338,8069,0
26,2021-03-29,0 days 15:59:00,2160.4,2160.5,2156.3,2156.4,194269,2236,0
27,2021-03-29,0 days 15:58:00,2159.0,2161.0,2158.3,2160.4,192033,1328,0
28,2021-03-29,0 days 15:57:00,2157.2,2160.0,2157.1,2159.0,190705,1235,0
29,2021-03-29,0 days 15:56:00,2158.2,2158.9,2156.3,2157.1,189470,1611,0
30,2021-03-26,0 days 16:00:00,2215.1,2220.2,2215.1,2219.7,212123,10665,0
31,2021-03-26,0 days 15:59:00,2214.3,2215.2,2212.8,2215.1,201458,1693,0
32,2021-03-26,0 days 15:58:00,2213.5,2214.7,2213.4,2214.3,199765,1078,0
33,2021-03-26,0 days 15:57:00,2212.2,2214.3,2212.1,2213.5,198687,1108,0
34,2021-03-26,0 days 15:56:00,2211.4,2212.7,2211.0,2212.1,197579,1208,0
35,2021-03-25,0 days 16:00:00,2179.6,2180.7,2176.8,2179.5,276690,6830,0
36,2021-03-25,0 days 15:59:00,2178.0,2180.2,2177.5,2179.5,269860,2771,0
37,2021-03-25,0 days 15:58:00,2178.2,2179.7,2177.6,2177.9,267089,1165,0
38,2021-03-25,0 days 15:57:00,2180.0,2180.0,2177.3,2178.2,265924,1081,0
39,2021-03-25,0 days 15:56:00,2181.3,2181.4,2177.6,2180.0,264843,1730,0
40,2021-03-24,0 days 16:00:00,2133.2,2133.2,2129.0,2129.1,215826,7391,0
41,2021-03-24,0 days 15:59:00,2134.7,2135.1,2133.1,2133.3,208435,1929,0
42,2021-03-24,0 days 15:58:00,2133.9,2135.0,2133.4,2134.8,206506,1298,0
43,2021-03-24,0 days 15:57:00,2129.9,2134.4,2129.5,2133.9,205208,1612,0
44,2021-03-24,0 days 15:56:00,2133.1,2133.3,2129.5,2129.8,203596,1348,0
