,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:15:00,1419.75,1419.75,1418.25,1418.75,62763,1103,0
1,2021-04-06,0 days 14:14:00,1420.0,1420.5,1419.5,1419.75,61138,336,0
2,2021-04-06,0 days 14:13:00,1417.75,1420.0,1417.75,1420.0,60793,311,0
3,2021-04-06,0 days 14:12:00,1417.25,1418.0,1416.75,1417.75,59919,101,0
4,2021-04-06,0 days 14:11:00,1416.5,1417.25,1416.5,1417.25,59597,109,0
5,2021-04-05,0 days 14:15:00,1414.25,1414.25,1411.75,1412.5,55094,936,0
6,2021-04-05,0 days 14:14:00,1415.75,1416.0,1414.25,1414.5,52939,225,0
7,2021-04-05,0 days 14:13:00,1415.0,1415.75,1414.75,1415.5,52592,70,0
8,2021-04-05,0 days 14:12:00,1416.0,1416.5,1414.75,1415.25,52516,98,0
9,2021-04-05,0 days 14:11:00,1416.5,1416.75,1415.75,1416.25,52401,143,0
10,2021-04-01,0 days 14:15:00,1402.5,1403.25,1401.0,1402.75,154596,2004,0
11,2021-04-01,0 days 14:14:00,1404.25,1404.5,1402.25,1402.5,151800,363,0
12,2021-04-01,0 days 14:13:00,1404.75,1405.0,1404.0,1404.5,150491,207,0
13,2021-04-01,0 days 14:12:00,1403.25,1404.75,1403.0,1404.75,150215,202,0
14,2021-04-01,0 days 14:11:00,1403.25,1404.5,1402.75,1403.0,149960,367,0
15,2021-03-31,0 days 14:15:00,1436.75,1436.75,1436.75,1436.75,118253,228,0
16,2021-03-31,0 days 14:14:00,1436.75,1436.75,1436.75,1436.75,117489,162,0
17,2021-03-31,0 days 14:13:00,1436.75,1436.75,1436.75,1436.75,117289,13,0
18,2021-03-31,0 days 14:12:00,1436.75,1436.75,1436.75,1436.75,117181,63,0
19,2021-03-31,0 days 14:11:00,1436.75,1436.75,1436.75,1436.75,117074,182,0
20,2021-03-30,0 days 14:15:00,1367.0,1367.25,1366.25,1367.0,83922,1372,0
21,2021-03-30,0 days 14:14:00,1367.25,1367.5,1367.25,1367.25,82025,158,0
22,2021-03-30,0 days 14:13:00,1368.5,1368.75,1367.25,1367.25,81833,155,0
23,2021-03-30,0 days 14:12:00,1368.0,1368.5,1367.75,1368.5,81665,98,0
24,2021-03-30,0 days 14:11:00,1366.5,1368.5,1366.5,1368.0,81559,562,0
25,2021-03-29,0 days 14:15:00,1392.5,1393.5,1392.25,1393.25,88628,729,0
26,2021-03-29,0 days 14:14:00,1394.0,1394.25,1392.25,1392.75,87599,312,0
27,2021-03-29,0 days 14:13:00,1394.0,1394.25,1393.25,1394.0,87058,186,0
28,2021-03-29,0 days 14:12:00,1394.5,1394.75,1394.0,1394.25,86207,224,0
29,2021-03-29,0 days 14:11:00,1393.75,1395.5,1393.75,1394.5,85973,232,0
30,2021-03-26,0 days 14:15:00,1399.75,1401.0,1399.75,1400.75,91334,716,0
31,2021-03-26,0 days 14:14:00,1400.0,1400.75,1399.75,1399.75,89740,485,0
32,2021-03-26,0 days 14:13:00,1399.5,1400.0,1399.0,1400.0,89027,251,0
33,2021-03-26,0 days 14:12:00,1399.25,1399.75,1399.0,1399.5,88755,330,0
34,2021-03-26,0 days 14:11:00,1400.5,1400.75,1399.0,1399.25,88409,417,0
35,2021-03-25,0 days 14:15:00,1414.5,1414.75,1413.75,1414.25,94609,1022,0
36,2021-03-25,0 days 14:14:00,1414.5,1415.25,1414.25,1414.75,93434,368,0
37,2021-03-25,0 days 14:13:00,1413.5,1414.5,1413.5,1414.25,92645,289,0
