,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 12:55:00,15.16,15.16,15.12,15.13,63492,1657,0
1,2021-04-06,0 days 12:54:00,15.18,15.19,15.15,15.15,60870,1193,0
2,2021-04-06,0 days 12:53:00,15.16,15.19,15.15,15.19,58516,593,0
3,2021-04-06,0 days 12:52:00,15.14,15.16,15.13,15.15,56811,204,0
4,2021-04-06,0 days 12:51:00,15.16,15.16,15.14,15.15,56281,38,0
5,2021-04-05,0 days 12:55:00,14.84,14.88,14.81,14.88,28640,849,0
6,2021-04-05,0 days 12:54:00,14.83,14.87,14.82,14.83,26955,407,0
7,2021-04-05,0 days 12:53:00,14.82,14.83,14.81,14.82,26005,82,0
8,2021-04-05,0 days 12:52:00,14.83,14.84,14.82,14.82,25803,69,0
9,2021-04-05,0 days 12:51:00,14.83,14.84,14.82,14.83,25681,109,0
10,2021-04-01,0 days 12:55:00,14.71,14.74,14.69,14.7,50497,1751,0
11,2021-04-01,0 days 12:54:00,14.71,14.74,14.7,14.72,47526,1145,0
12,2021-04-01,0 days 12:53:00,14.69,14.71,14.69,14.7,45771,324,0
13,2021-04-01,0 days 12:52:00,14.7,14.71,14.69,14.7,45395,168,0
14,2021-04-01,0 days 12:51:00,14.71,14.71,14.69,14.71,44937,317,0
15,2021-03-31,0 days 12:55:00,14.76,14.77,14.74,14.75,63825,1176,0
16,2021-03-31,0 days 12:54:00,14.76,14.8,14.74,14.77,61294,1956,0
17,2021-03-31,0 days 12:53:00,14.79,14.8,14.75,14.76,58086,982,0
18,2021-03-31,0 days 12:52:00,14.78,14.82,14.77,14.79,57033,439,0
19,2021-03-31,0 days 12:51:00,14.82,14.82,14.77,14.79,56456,459,0
20,2021-03-30,0 days 12:55:00,14.91,14.95,14.91,14.95,42515,433,0
21,2021-03-30,0 days 12:54:00,14.94,14.94,14.89,14.9,41788,347,0
22,2021-03-30,0 days 12:53:00,14.94,14.96,14.93,14.93,41032,128,0
23,2021-03-30,0 days 12:52:00,14.95,14.96,14.93,14.93,40619,120,0
24,2021-03-30,0 days 12:51:00,14.94,14.95,14.94,14.95,40411,95,0
25,2021-03-29,0 days 12:55:00,14.91,14.93,14.89,14.89,57708,964,0
26,2021-03-29,0 days 12:54:00,14.93,14.95,14.9,14.92,56201,735,0
27,2021-03-29,0 days 12:53:00,14.95,14.95,14.94,14.94,54589,96,0
28,2021-03-29,0 days 12:52:00,14.94,14.95,14.93,14.95,54445,131,0
29,2021-03-29,0 days 12:51:00,14.93,14.96,14.93,14.96,54298,342,0
30,2021-03-26,0 days 12:55:00,15.19,15.2,15.17,15.19,33217,514,0
31,2021-03-26,0 days 12:54:00,15.2,15.22,15.17,15.19,32153,620,0
32,2021-03-26,0 days 12:53:00,15.19,15.21,15.19,15.2,31300,231,0
33,2021-03-26,0 days 12:52:00,15.19,15.2,15.17,15.19,31020,77,0
34,2021-03-26,0 days 12:51:00,15.2,15.21,15.18,15.19,30908,76,0
35,2021-03-25,0 days 12:55:00,15.1,15.12,15.08,15.1,59506,1257,0
36,2021-03-25,0 days 12:54:00,15.06,15.11,15.05,15.11,57529,1289,0
37,2021-03-25,0 days 12:53:00,15.11,15.11,15.03,15.06,55893,852,0
38,2021-03-25,0 days 12:52:00,15.13,15.14,15.11,15.11,54978,381,0
39,2021-03-25,0 days 12:51:00,15.15,15.15,15.13,15.13,54576,168,0
40,2021-03-24,0 days 12:55:00,15.62,15.64,15.6,15.62,29997,581,0
41,2021-03-24,0 days 12:54:00,15.64,15.65,15.61,15.62,29214,595,0
