,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,1.0759,1.0759,1.0757,1.0759,17900,255,0
1,2021-04-06,0 days 14:59:00,1.0758,1.0758,1.0758,1.0758,17645,3,0
2,2021-04-06,0 days 14:58:00,1.0758,1.0758,1.0758,1.0758,17642,15,0
3,2021-04-06,0 days 14:57:00,1.0758,1.0758,1.0758,1.0758,17627,28,0
4,2021-04-06,0 days 14:56:00,1.0758,1.0758,1.0758,1.0758,17599,21,0
5,2021-04-05,0 days 15:00:00,1.07,1.0702,1.0699,1.0701,11340,371,0
6,2021-04-05,0 days 14:59:00,1.0699,1.07,1.0699,1.0699,10969,17,0
7,2021-04-05,0 days 14:58:00,1.0699,1.0699,1.0699,1.0699,10952,15,0
8,2021-04-05,0 days 14:57:00,1.0699,1.0699,1.0699,1.0699,10937,11,0
9,2021-04-05,0 days 14:56:00,1.0699,1.07,1.0698,1.0698,10926,17,0
10,2021-04-01,0 days 15:00:00,1.0634,1.0635,1.0634,1.0634,18441,286,0
11,2021-04-01,0 days 14:59:00,1.0634,1.0635,1.0633,1.0634,18155,38,0
12,2021-04-01,0 days 14:58:00,1.0635,1.0635,1.0634,1.0634,18117,36,0
13,2021-04-01,0 days 14:57:00,1.0636,1.0636,1.0635,1.0635,18081,43,0
14,2021-04-01,0 days 14:56:00,1.0634,1.0637,1.0634,1.0636,18038,57,0
15,2021-03-31,0 days 15:00:00,1.0599,1.06,1.0593,1.0596,18396,612,0
16,2021-03-31,0 days 14:59:00,1.0601,1.0602,1.0599,1.0599,17784,82,0
17,2021-03-31,0 days 14:58:00,1.0603,1.0603,1.0602,1.0602,17702,8,0
18,2021-03-31,0 days 14:57:00,1.0603,1.0604,1.0603,1.0603,17694,33,0
19,2021-03-31,0 days 14:56:00,1.0603,1.0603,1.0602,1.0602,17661,9,0
20,2021-03-30,0 days 15:00:00,1.0635,1.0636,1.0634,1.0636,15977,404,0
21,2021-03-30,0 days 14:59:00,1.0634,1.0636,1.0634,1.0636,15573,28,0
22,2021-03-30,0 days 14:58:00,1.0633,1.0634,1.0633,1.0634,15545,21,0
23,2021-03-30,0 days 14:57:00,1.0634,1.0634,1.0633,1.0634,15524,13,0
24,2021-03-30,0 days 14:56:00,1.0634,1.0634,1.0633,1.0634,15511,7,0
25,2021-03-29,0 days 15:00:00,1.0672,1.0673,1.0669,1.067,13509,422,0
26,2021-03-29,0 days 14:59:00,1.0672,1.0673,1.0672,1.0673,13087,9,0
27,2021-03-29,0 days 14:58:00,1.0671,1.0672,1.0671,1.0672,13078,16,0
28,2021-03-29,0 days 14:57:00,1.0671,1.0671,1.0671,1.0671,13062,5,0
29,2021-03-29,0 days 14:56:00,1.067,1.0671,1.067,1.0671,13057,6,0
30,2021-03-26,0 days 15:00:00,1.0673,1.0674,1.067,1.067,13175,405,0
31,2021-03-26,0 days 14:59:00,1.0674,1.0674,1.0673,1.0674,12770,9,0
32,2021-03-26,0 days 14:58:00,1.0674,1.0674,1.0674,1.0674,12761,6,0
33,2021-03-26,0 days 14:57:00,1.0674,1.0674,1.0674,1.0674,12755,4,0
34,2021-03-26,0 days 14:56:00,1.0674,1.0674,1.0673,1.0674,12751,7,0
35,2021-03-25,0 days 15:00:00,1.0671,1.0672,1.0668,1.067,14022,367,0
36,2021-03-25,0 days 14:59:00,1.067,1.0671,1.0669,1.067,13655,27,0
37,2021-03-25,0 days 14:58:00,1.0671,1.0671,1.067,1.067,13628,16,0
38,2021-03-25,0 days 14:57:00,1.0671,1.0671,1.0669,1.0669,13612,17,0
39,2021-03-25,0 days 14:56:00,1.0674,1.0674,1.0671,1.0671,13595,34,0
40,2021-03-24,0 days 15:00:00,1.0715,1.0717,1.0713,1.0713,14597,361,0
41,2021-03-24,0 days 14:59:00,1.0716,1.0716,1.0715,1.0715,14236,14,0
42,2021-03-24,0 days 14:58:00,1.0716,1.0716,1.0716,1.0716,14222,19,0
43,2021-03-24,0 days 14:57:00,1.0716,1.0716,1.0716,1.0716,14203,37,0
44,2021-03-24,0 days 14:56:00,1.0716,1.0716,1.0716,1.0716,14166,32,0
45,2021-03-23,0 days 15:00:00,1.0733,1.0733,1.073,1.0733,24725,515,0
46,2021-03-23,0 days 14:59:00,1.0732,1.0733,1.0732,1.0732,24210,43,0
47,2021-03-23,0 days 14:58:00,1.0732,1.0732,1.0731,1.0732,24167,22,0
48,2021-03-23,0 days 14:57:00,1.0732,1.0733,1.0732,1.0732,24145,7,0
49,2021-03-23,0 days 14:56:00,1.0735,1.0735,1.0733,1.0733,24138,20,0
50,2021-03-22,0 days 15:00:00,1.0854,1.0855,1.0853,1.0855,23500,345,0
51,2021-03-22,0 days 14:59:00,1.0852,1.0854,1.0852,1.0854,23155,49,0
52,2021-03-22,0 days 14:58:00,1.0852,1.0853,1.0852,1.0852,23106,8,0
53,2021-03-22,0 days 14:57:00,1.0853,1.0853,1.0852,1.0852,23098,7,0
54,2021-03-22,0 days 14:56:00,1.0853,1.0853,1.0853,1.0853,23091,2,0
55,2021-03-19,0 days 15:00:00,1.0791,1.0791,1.0788,1.0789,17145,299,0
56,2021-03-19,0 days 14:59:00,1.0789,1.0792,1.0789,1.0791,16846,56,0
57,2021-03-19,0 days 14:58:00,1.0788,1.0789,1.0788,1.0789,16790,11,0
58,2021-03-19,0 days 14:57:00,1.079,1.079,1.0788,1.0788,16779,38,0
59,2021-03-19,0 days 14:56:00,1.0789,1.079,1.0789,1.079,16741,9,0
60,2021-03-18,0 days 15:00:00,1.0802,1.0802,1.0795,1.0797,25924,662,0
61,2021-03-18,0 days 14:59:00,1.0802,1.0802,1.0801,1.0801,25262,14,0
62,2021-03-18,0 days 14:58:00,1.0802,1.0803,1.0802,1.0803,25248,17,0
63,2021-03-18,0 days 14:57:00,1.0803,1.0803,1.0803,1.0803,25231,12,0
64,2021-03-18,0 days 14:56:00,1.0802,1.0803,1.0802,1.0802,25219,27,0
65,2021-03-17,0 days 15:00:00,1.0869,1.0871,1.0869,1.0869,21798,270,0
66,2021-03-17,0 days 14:59:00,1.0869,1.087,1.0868,1.0868,21528,36,0
67,2021-03-17,0 days 14:58:00,1.0868,1.0869,1.0867,1.0869,21492,79,0
68,2021-03-17,0 days 14:57:00,1.0866,1.087,1.0866,1.0869,21413,27,0
69,2021-03-17,0 days 14:56:00,1.0869,1.087,1.0866,1.0866,21386,57,0
70,2021-03-16,0 days 15:00:00,1.0838,1.0838,1.0835,1.0835,16663,382,0
71,2021-03-16,0 days 14:59:00,1.0838,1.0838,1.0838,1.0838,16281,26,0
72,2021-03-16,0 days 14:58:00,1.0838,1.0839,1.0838,1.0838,16255,33,0
73,2021-03-16,0 days 14:57:00,1.0839,1.0839,1.0839,1.0839,16222,17,0
74,2021-03-16,0 days 14:56:00,1.0839,1.0839,1.0839,1.0839,16205,13,0
75,2021-03-15,0 days 15:00:00,1.0803,1.0804,1.08,1.0802,14150,415,0
76,2021-03-15,0 days 14:59:00,1.0803,1.0803,1.0803,1.0803,13735,7,0
77,2021-03-15,0 days 14:58:00,1.0803,1.0804,1.0802,1.0803,13728,58,0
78,2021-03-15,0 days 14:57:00,1.0803,1.0804,1.0803,1.0804,13670,13,0
79,2021-03-15,0 days 14:56:00,1.0805,1.0805,1.0803,1.0803,13657,49,0
80,2021-03-12,0 days 15:00:00,1.0784,1.0787,1.0784,1.0785,26613,287,0
81,2021-03-12,0 days 14:59:00,1.0784,1.0786,1.0784,1.0785,26312,102,0
82,2021-03-12,0 days 14:58:00,1.0785,1.0785,1.0784,1.0784,26204,10,0
83,2021-03-12,0 days 14:57:00,1.0785,1.0785,1.0784,1.0785,26194,27,0
84,2021-03-12,0 days 14:56:00,1.0785,1.0786,1.0785,1.0786,26166,20,0
85,2021-03-11,0 days 15:00:00,1.082,1.082,1.0817,1.0817,34450,246,0
86,2021-03-11,0 days 14:59:00,1.0819,1.082,1.0819,1.082,33968,54,0
87,2021-03-11,0 days 14:58:00,1.0817,1.0819,1.0817,1.0819,33751,19,0
88,2021-03-11,0 days 14:57:00,1.0817,1.0817,1.0817,1.0817,33732,14,0
89,2021-03-11,0 days 14:56:00,1.0817,1.0817,1.0817,1.0817,33718,13,0
90,2021-03-10,0 days 15:00:00,1.076,1.076,1.0757,1.0757,32329,579,0
91,2021-03-10,0 days 14:59:00,1.076,1.076,1.076,1.076,31340,25,0
92,2021-03-10,0 days 14:58:00,1.0759,1.076,1.0759,1.076,31050,23,0
93,2021-03-10,0 days 14:57:00,1.076,1.076,1.0759,1.0759,30825,18,0
94,2021-03-10,0 days 14:56:00,1.0759,1.0759,1.0759,1.0759,30580,42,0
95,2021-03-09,0 days 15:00:00,1.0777,1.0777,1.0773,1.0773,32591,614,0
96,2021-03-09,0 days 14:59:00,1.0778,1.0778,1.0776,1.0777,31876,143,0
97,2021-03-09,0 days 14:58:00,1.0779,1.0779,1.0777,1.0777,31733,68,0
98,2021-03-09,0 days 14:57:00,1.0778,1.0778,1.0778,1.0778,31665,22,0
99,2021-03-09,0 days 14:56:00,1.0777,1.0779,1.0777,1.0778,31643,87,0
100,2021-03-08,0 days 15:00:00,1.0694,1.0696,1.0694,1.0695,23218,337,0
101,2021-03-08,0 days 14:59:00,1.0693,1.0695,1.0693,1.0694,22878,53,0
102,2021-03-08,0 days 14:58:00,1.0695,1.0695,1.0694,1.0694,22825,20,0
103,2021-03-08,0 days 14:57:00,1.0694,1.0694,1.0694,1.0694,22805,47,0
104,2021-03-05,0 days 15:00:00,1.0748,1.0749,1.0743,1.0744,32711,347,0
105,2021-03-05,0 days 14:59:00,1.0749,1.075,1.0748,1.0748,32364,8,0
106,2021-03-05,0 days 14:58:00,1.075,1.075,1.0749,1.0749,32356,44,0
107,2021-03-05,0 days 14:57:00,1.0751,1.0751,1.075,1.075,32311,13,0
108,2021-03-05,0 days 14:56:00,1.075,1.0752,1.075,1.0752,32298,10,0
109,2021-03-04,0 days 15:00:00,1.0764,1.0765,1.0761,1.0762,30079,509,0
110,2021-03-04,0 days 14:59:00,1.0767,1.0767,1.0764,1.0765,29570,75,0
111,2021-03-04,0 days 14:58:00,1.0767,1.0767,1.0766,1.0767,29495,95,0
