,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:15:00,407.0,407.1,406.0,406.3,25339,1101,0
1,2021-04-06,0 days 14:14:00,406.5,407.1,406.2,407.1,23874,232,0
2,2021-04-06,0 days 14:13:00,405.8,406.5,405.8,406.5,23530,216,0
3,2021-04-06,0 days 14:12:00,405.7,405.8,405.4,405.7,23283,382,0
4,2021-04-06,0 days 14:11:00,405.4,405.7,405.4,405.7,22886,141,0
5,2021-04-05,0 days 14:15:00,406.9,406.9,405.8,406.3,31187,1103,0
6,2021-04-05,0 days 14:14:00,407.5,407.6,406.9,407.1,29771,209,0
7,2021-04-05,0 days 14:13:00,407.2,407.5,407.1,407.5,29492,115,0
8,2021-04-05,0 days 14:12:00,407.3,407.4,407.1,407.2,29361,67,0
9,2021-04-05,0 days 14:11:00,407.9,408.0,407.2,407.3,29279,88,0
10,2021-04-01,0 days 14:15:00,410.3,410.6,409.4,410.2,55568,901,0
11,2021-04-01,0 days 14:14:00,410.8,411.0,409.9,410.1,54090,219,0
12,2021-04-01,0 days 14:13:00,411.0,411.5,410.8,410.8,53518,317,0
13,2021-04-01,0 days 14:12:00,410.7,411.5,410.6,410.9,53081,228,0
14,2021-04-01,0 days 14:11:00,411.2,411.7,410.7,410.7,52740,112,0
15,2021-03-31,0 days 14:15:00,423.2,423.2,423.2,423.2,42593,92,0
16,2021-03-31,0 days 14:14:00,423.2,423.2,423.2,423.2,42196,2,0
17,2021-03-31,0 days 14:13:00,423.2,423.2,423.2,423.2,42098,46,0
18,2021-03-31,0 days 14:12:00,423.2,423.2,423.2,423.2,42022,298,0
19,2021-03-30,0 days 14:15:00,398.5,398.5,398.0,398.1,28653,731,0
20,2021-03-30,0 days 14:14:00,398.5,398.7,398.5,398.5,27522,148,0
21,2021-03-30,0 days 14:13:00,399.0,399.0,398.5,398.5,27290,123,0
22,2021-03-30,0 days 14:12:00,398.8,399.0,398.8,399.0,27151,265,0
23,2021-03-30,0 days 14:11:00,398.3,398.8,398.3,398.8,26881,112,0
24,2021-03-29,0 days 14:15:00,398.5,398.5,397.9,398.0,39176,1294,0
25,2021-03-29,0 days 14:14:00,398.3,398.6,398.2,398.5,37359,224,0
26,2021-03-29,0 days 14:13:00,398.9,398.9,398.2,398.3,36839,233,0
27,2021-03-29,0 days 14:12:00,398.8,399.0,398.8,398.9,36486,42,0
28,2021-03-29,0 days 14:11:00,398.8,399.0,398.7,398.8,36419,127,0
29,2021-03-26,0 days 14:15:00,403.8,404.3,403.7,404.0,34334,689,0
30,2021-03-26,0 days 14:14:00,403.7,404.2,403.7,403.8,32877,222,0
31,2021-03-26,0 days 14:13:00,404.2,404.3,403.7,403.8,32430,102,0
32,2021-03-26,0 days 14:12:00,403.9,404.2,403.8,404.1,32316,44,0
33,2021-03-26,0 days 14:11:00,404.3,404.3,403.8,403.9,32256,242,0
34,2021-03-25,0 days 14:15:00,404.3,404.8,404.1,404.8,32336,679,0
35,2021-03-25,0 days 14:14:00,404.3,404.6,404.2,404.4,31249,181,0
36,2021-03-25,0 days 14:13:00,404.4,404.6,404.1,404.2,31017,95,0
37,2021-03-25,0 days 14:12:00,404.3,404.3,404.1,404.3,30905,47,0
38,2021-03-25,0 days 14:11:00,404.1,404.5,404.1,404.2,30826,225,0
39,2021-03-24,0 days 14:15:00,400.5,401.5,400.3,401.1,30865,930,0
40,2021-03-24,0 days 14:14:00,400.5,400.6,400.4,400.6,29388,101,0
41,2021-03-24,0 days 14:13:00,400.6,400.7,400.5,400.6,29179,39,0
42,2021-03-24,0 days 14:12:00,400.6,400.7,400.5,400.7,29086,72,0
43,2021-03-24,0 days 14:11:00,400.6,400.6,400.4,400.6,29004,71,0
44,2021-03-23,0 days 14:15:00,398.9,399.0,398.2,398.2,44346,670,0
45,2021-03-23,0 days 14:14:00,398.2,399.2,398.1,399.0,43335,610,0
46,2021-03-23,0 days 14:13:00,398.6,398.6,398.2,398.2,42489,70,0
47,2021-03-23,0 days 14:12:00,398.8,398.8,398.5,398.6,42415,80,0
48,2021-03-23,0 days 14:11:00,398.3,398.9,398.3,398.9,42287,142,0
49,2021-03-22,0 days 14:15:00,396.6,396.8,396.5,396.5,44047,1307,0
50,2021-03-22,0 days 14:14:00,397.0,397.0,396.5,396.5,42326,360,0
51,2021-03-22,0 days 14:13:00,397.2,397.2,396.7,397.0,41929,318,0
52,2021-03-22,0 days 14:12:00,397.5,397.6,397.0,397.2,41592,218,0
53,2021-03-22,0 days 14:11:00,397.3,397.7,397.3,397.5,41270,166,0
54,2021-03-19,0 days 14:15:00,407.7,408.1,407.6,407.8,39137,1072,0
55,2021-03-19,0 days 14:14:00,407.5,407.8,407.3,407.6,37457,171,0
56,2021-03-19,0 days 14:13:00,407.3,407.5,407.0,407.5,37208,108,0
57,2021-03-19,0 days 14:12:00,407.5,407.6,407.3,407.4,37092,150,0
58,2021-03-19,0 days 14:11:00,407.8,408.0,407.5,407.5,36836,245,0
59,2021-03-18,0 days 14:15:00,398.5,398.5,398.0,398.2,35964,1451,0
