,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,185.0625,185.25,185.0625,185.25,152699,2936,0
1,2021-04-06,0 days 15:59:00,185.15625,185.15625,185.0625,185.0625,149733,508,0
2,2021-04-06,0 days 15:58:00,185.09375,185.125,185.09375,185.125,149225,178,0
3,2021-04-06,0 days 15:57:00,185.125,185.125,185.09375,185.125,149047,26,0
4,2021-04-06,0 days 15:56:00,185.1875,185.1875,185.09375,185.09375,149021,354,0
5,2021-04-05,0 days 16:00:00,184.0,184.03125,183.9375,183.96875,79931,1578,0
6,2021-04-05,0 days 15:59:00,184.0,184.0625,183.96875,184.0,78342,327,0
7,2021-04-05,0 days 15:58:00,183.9375,184.03125,183.9375,184.0,78015,612,0
8,2021-04-05,0 days 15:57:00,183.90625,183.96875,183.90625,183.9375,77384,233,0
9,2021-04-05,0 days 15:56:00,183.84375,183.90625,183.84375,183.90625,77151,108,0
10,2021-04-01,0 days 16:00:00,184.8125,184.8125,184.53125,184.75,167483,5083,0
11,2021-04-01,0 days 15:59:00,184.8125,184.84375,184.71875,184.8125,162313,780,0
12,2021-04-01,0 days 15:58:00,184.84375,184.84375,184.78125,184.8125,161504,233,0
13,2021-04-01,0 days 15:57:00,184.84375,184.84375,184.78125,184.84375,161263,257,0
14,2021-04-01,0 days 15:56:00,184.875,184.875,184.78125,184.8125,161006,469,0
15,2021-03-31,0 days 16:00:00,182.15625,182.15625,181.78125,182.03125,305400,21379,0
16,2021-03-31,0 days 15:59:00,182.0625,182.1875,182.03125,182.125,283909,4881,0
17,2021-03-31,0 days 15:58:00,182.0625,182.15625,182.03125,182.03125,279007,3722,0
18,2021-03-31,0 days 15:57:00,182.0625,182.09375,181.90625,182.03125,275252,3092,0
19,2021-03-31,0 days 15:56:00,181.96875,182.09375,181.9375,182.0625,272115,3027,0
20,2021-03-30,0 days 16:00:00,182.875,182.875,182.75,182.84375,190165,2466,0
21,2021-03-30,0 days 15:59:00,182.875,182.9375,182.84375,182.875,187671,668,0
22,2021-03-30,0 days 15:58:00,182.9375,182.9375,182.875,182.875,186992,489,0
23,2021-03-30,0 days 15:57:00,183.03125,183.0625,182.9375,182.9375,186503,785,0
24,2021-03-30,0 days 15:56:00,183.15625,183.1875,183.03125,183.03125,185718,1147,0
25,2021-03-29,0 days 16:00:00,181.6875,181.875,181.6875,181.8125,138303,2465,0
26,2021-03-29,0 days 15:59:00,181.84375,181.84375,181.6875,181.71875,135831,1106,0
27,2021-03-29,0 days 15:58:00,181.9375,181.9375,181.8125,181.8125,134722,937,0
28,2021-03-29,0 days 15:57:00,181.875,181.96875,181.875,181.9375,133785,884,0
29,2021-03-29,0 days 15:56:00,181.875,181.90625,181.78125,181.875,132901,1204,0
30,2021-03-26,0 days 16:00:00,183.46875,183.46875,183.34375,183.34375,138441,1086,0
31,2021-03-26,0 days 15:59:00,183.4375,183.46875,183.4375,183.4375,137354,459,0
32,2021-03-26,0 days 15:58:00,183.46875,183.46875,183.4375,183.4375,136895,379,0
33,2021-03-26,0 days 15:57:00,183.46875,183.5,183.4375,183.46875,136516,301,0
34,2021-03-26,0 days 15:56:00,183.46875,183.53125,183.46875,183.46875,136214,430,0
35,2021-03-25,0 days 16:00:00,184.09375,184.125,183.96875,184.0,197063,1903,0
36,2021-03-25,0 days 15:59:00,184.03125,184.09375,184.0,184.09375,195116,306,0
37,2021-03-25,0 days 15:58:00,184.0,184.0625,184.0,184.03125,194788,267,0
38,2021-03-25,0 days 15:57:00,183.96875,184.0,183.9375,184.0,194507,197,0
39,2021-03-25,0 days 15:56:00,184.0,184.03125,183.96875,184.0,194310,305,0
40,2021-03-24,0 days 16:00:00,185.46875,185.46875,185.21875,185.34375,157804,3033,0
41,2021-03-24,0 days 15:59:00,185.46875,185.5,185.4375,185.46875,154714,590,0
42,2021-03-24,0 days 15:58:00,185.4375,185.46875,185.40625,185.46875,154098,1083,0
43,2021-03-24,0 days 15:57:00,185.4375,185.5,185.375,185.4375,153014,1136,0
44,2021-03-24,0 days 15:56:00,185.4375,185.4375,185.40625,185.40625,151877,288,0
45,2021-03-23,0 days 16:00:00,184.46875,184.46875,184.25,184.34375,152661,1254,0
46,2021-03-23,0 days 15:59:00,184.46875,184.46875,184.40625,184.4375,151377,353,0
47,2021-03-23,0 days 15:58:00,184.40625,184.46875,184.40625,184.4375,151024,259,0
48,2021-03-23,0 days 15:57:00,184.375,184.4375,184.375,184.40625,150765,211,0
49,2021-03-23,0 days 15:56:00,184.34375,184.40625,184.34375,184.40625,150554,420,0
50,2021-03-22,0 days 16:00:00,182.71875,182.8125,182.6875,182.78125,127069,897,0
51,2021-03-22,0 days 15:59:00,182.75,182.75,182.6875,182.75,126172,191,0
52,2021-03-22,0 days 15:58:00,182.71875,182.75,182.6875,182.71875,125981,232,0
53,2021-03-22,0 days 15:57:00,182.78125,182.78125,182.71875,182.71875,125749,195,0
54,2021-03-22,0 days 15:56:00,182.78125,182.84375,182.78125,182.78125,125554,158,0
55,2021-03-19,0 days 16:00:00,180.90625,180.90625,180.78125,180.84375,176510,2076,0
56,2021-03-19,0 days 15:59:00,180.71875,180.90625,180.71875,180.875,174434,1199,0
57,2021-03-19,0 days 15:58:00,180.625,180.6875,180.59375,180.6875,173201,538,0
58,2021-03-19,0 days 15:57:00,180.53125,180.6875,180.53125,180.65625,172663,585,0
59,2021-03-19,0 days 15:56:00,180.40625,180.53125,180.40625,180.53125,172078,396,0
60,2021-03-18,0 days 16:00:00,179.75,179.90625,179.75,179.84375,217550,1907,0
61,2021-03-18,0 days 15:59:00,179.875,179.875,179.75,179.78125,215590,574,0
62,2021-03-18,0 days 15:58:00,179.9375,179.96875,179.84375,179.875,215016,254,0
63,2021-03-18,0 days 15:57:00,179.9375,179.96875,179.90625,179.90625,214761,220,0
64,2021-03-18,0 days 15:56:00,180.09375,180.09375,179.9375,179.96875,214537,419,0
65,2021-03-17,0 days 16:00:00,181.59375,181.625,181.53125,181.625,184793,1626,0
66,2021-03-17,0 days 15:59:00,181.5625,181.625,181.5,181.59375,183146,622,0
67,2021-03-17,0 days 15:58:00,181.375,181.59375,181.375,181.5625,182524,474,0
