,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,156.5,156.5625,156.46875,156.53125,308467,1575,0
1,2021-04-06,0 days 15:59:00,156.5,156.5,156.46875,156.46875,306808,321,0
2,2021-04-06,0 days 15:58:00,156.46875,156.53125,156.46875,156.5,306487,389,0
3,2021-04-06,0 days 15:57:00,156.46875,156.5,156.46875,156.46875,306098,22,0
4,2021-04-06,0 days 15:56:00,156.5,156.53125,156.5,156.5,306076,570,0
5,2021-04-05,0 days 16:00:00,155.71875,155.75,155.6875,155.71875,193342,2278,0
6,2021-04-05,0 days 15:59:00,155.71875,155.71875,155.6875,155.6875,191034,1547,0
7,2021-04-05,0 days 15:58:00,155.6875,155.75,155.6875,155.71875,189487,589,0
8,2021-04-05,0 days 15:57:00,155.65625,155.71875,155.65625,155.71875,188858,351,0
9,2021-04-05,0 days 15:56:00,155.65625,155.6875,155.65625,155.6875,188507,245,0
10,2021-04-01,0 days 16:00:00,156.375,156.375,156.28125,156.375,356030,3968,0
11,2021-04-01,0 days 15:59:00,156.34375,156.375,156.34375,156.375,351876,1112,0
12,2021-04-01,0 days 15:58:00,156.375,156.375,156.34375,156.34375,350694,485,0
13,2021-04-01,0 days 15:57:00,156.375,156.40625,156.34375,156.40625,350189,364,0
14,2021-04-01,0 days 15:56:00,156.375,156.40625,156.34375,156.375,349825,935,0
15,2021-03-31,0 days 16:00:00,154.96875,154.96875,154.8125,154.90625,552256,22427,0
16,2021-03-31,0 days 15:59:00,154.90625,154.96875,154.90625,154.96875,529527,5689,0
17,2021-03-31,0 days 15:58:00,154.9375,155.0,154.90625,154.90625,523770,3851,0
18,2021-03-31,0 days 15:57:00,154.9375,154.96875,154.875,154.90625,519805,4799,0
19,2021-03-31,0 days 15:56:00,154.90625,154.96875,154.875,154.9375,514912,4684,0
20,2021-03-30,0 days 16:00:00,155.15625,155.1875,155.15625,155.1875,431326,1906,0
21,2021-03-30,0 days 15:59:00,155.1875,155.1875,155.15625,155.15625,429364,651,0
22,2021-03-30,0 days 15:58:00,155.1875,155.1875,155.15625,155.15625,428679,666,0
23,2021-03-30,0 days 15:57:00,155.21875,155.25,155.1875,155.1875,428013,1397,0
24,2021-03-30,0 days 15:56:00,155.28125,155.3125,155.21875,155.21875,426592,1956,0
25,2021-03-29,0 days 16:00:00,154.9375,155.0,154.90625,154.96875,323597,2850,0
26,2021-03-29,0 days 15:59:00,154.96875,155.0,154.90625,154.9375,320733,1354,0
27,2021-03-29,0 days 15:58:00,155.03125,155.03125,154.96875,154.96875,319369,1074,0
28,2021-03-29,0 days 15:57:00,155.0,155.0625,155.0,155.0625,318279,833,0
29,2021-03-29,0 days 15:56:00,155.0,155.03125,154.96875,155.03125,317442,1774,0
30,2021-03-26,0 days 16:00:00,155.875,155.875,155.8125,155.84375,354442,2825,0
31,2021-03-26,0 days 15:59:00,155.875,155.875,155.84375,155.875,351615,476,0
32,2021-03-26,0 days 15:58:00,155.84375,155.875,155.84375,155.875,351139,392,0
33,2021-03-26,0 days 15:57:00,155.875,155.875,155.875,155.875,350747,415,0
34,2021-03-26,0 days 15:56:00,155.875,155.90625,155.875,155.875,350330,644,0
35,2021-03-25,0 days 16:00:00,156.46875,156.5,156.40625,156.4375,483155,1976,0
36,2021-03-25,0 days 15:59:00,156.46875,156.5,156.4375,156.46875,481087,934,0
