,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:15:00,616.0,616.25,614.75,615.5,51678,1412,0
1,2021-04-06,0 days 14:14:00,615.75,617.0,615.75,616.25,49593,321,0
2,2021-04-06,0 days 14:13:00,615.25,615.75,615.25,615.5,49166,105,0
3,2021-04-06,0 days 14:12:00,615.5,615.5,615.25,615.25,48993,103,0
4,2021-04-06,0 days 14:11:00,615.0,615.5,615.0,615.5,48871,101,0
5,2021-04-05,0 days 14:15:00,618.25,618.5,617.5,618.5,48906,1136,0
6,2021-04-05,0 days 14:14:00,619.5,619.75,618.25,618.5,47113,149,0
7,2021-04-05,0 days 14:13:00,619.5,619.75,619.25,619.5,46405,248,0
8,2021-04-05,0 days 14:12:00,619.75,620.0,619.5,619.5,45766,88,0
9,2021-04-05,0 days 14:11:00,620.0,620.0,619.25,619.75,45428,130,0
10,2021-04-01,0 days 14:15:00,611.0,611.75,609.25,609.5,69610,1184,0
11,2021-04-01,0 days 14:14:00,611.0,611.75,610.5,611.25,67922,233,0
12,2021-04-01,0 days 14:13:00,610.75,610.75,610.5,610.75,67418,96,0
13,2021-04-01,0 days 14:12:00,611.25,611.25,610.5,611.0,67095,87,0
14,2021-04-01,0 days 14:11:00,611.25,611.5,611.0,611.5,66732,95,0
15,2021-03-31,0 days 14:15:00,619.75,620.0,615.75,617.75,85459,2879,0
16,2021-03-31,0 days 14:14:00,618.0,620.75,617.5,620.0,81879,569,0
17,2021-03-31,0 days 14:13:00,617.75,618.0,616.0,618.0,81125,377,0
18,2021-03-31,0 days 14:12:00,617.5,618.5,617.25,617.75,80580,185,0
19,2021-03-31,0 days 14:11:00,618.75,618.75,617.5,617.5,80340,222,0
20,2021-03-30,0 days 14:15:00,602.5,602.5,601.0,601.25,46652,1525,0
21,2021-03-30,0 days 14:14:00,603.0,603.0,602.0,602.0,44208,181,0
22,2021-03-30,0 days 14:13:00,603.25,603.5,603.25,603.25,43745,112,0
23,2021-03-30,0 days 14:12:00,603.75,603.75,603.5,603.5,43626,60,0
24,2021-03-30,0 days 14:11:00,603.5,604.0,603.5,604.0,43554,184,0
25,2021-03-29,0 days 14:15:00,617.0,617.25,616.25,616.75,35012,1112,0
26,2021-03-29,0 days 14:14:00,617.5,617.75,617.0,617.25,33734,332,0
27,2021-03-29,0 days 14:13:00,617.25,617.5,617.0,617.5,33329,281,0
28,2021-03-29,0 days 14:12:00,616.75,617.25,616.5,617.25,32898,147,0
29,2021-03-29,0 days 14:11:00,616.0,616.75,615.75,616.75,32738,214,0
30,2021-03-26,0 days 14:15:00,614.0,614.0,613.0,613.25,43041,1288,0
31,2021-03-26,0 days 14:14:00,613.0,614.75,613.0,614.0,41364,396,0
32,2021-03-26,0 days 14:13:00,613.25,613.5,613.0,613.0,40670,146,0
33,2021-03-26,0 days 14:12:00,613.0,613.25,612.75,613.25,40490,177,0
34,2021-03-26,0 days 14:11:00,615.25,615.5,613.0,613.0,40265,458,0
35,2021-03-25,0 days 14:15:00,613.75,613.75,611.75,612.0,57536,1530,0
36,2021-03-25,0 days 14:14:00,613.75,614.5,613.75,614.0,55530,414,0
37,2021-03-25,0 days 14:13:00,612.75,613.75,612.5,613.75,55047,205,0
38,2021-03-25,0 days 14:12:00,612.75,612.75,612.5,612.5,54825,54,0
39,2021-03-25,0 days 14:11:00,613.0,613.0,612.5,612.5,54760,150,0
40,2021-03-24,0 days 14:15:00,625.0,625.0,624.25,624.5,43699,1233,0
41,2021-03-24,0 days 14:14:00,625.5,625.75,625.25,625.25,42074,285,0
42,2021-03-24,0 days 14:13:00,625.25,625.5,625.25,625.5,41298,99,0
43,2021-03-24,0 days 14:12:00,625.5,625.5,625.25,625.25,41165,128,0
44,2021-03-24,0 days 14:11:00,626.0,626.25,625.75,625.75,41014,153,0
45,2021-03-23,0 days 14:15:00,634.5,635.5,634.0,634.25,66173,1212,0
46,2021-03-23,0 days 14:14:00,634.5,635.0,634.25,634.75,64502,274,0
47,2021-03-23,0 days 14:13:00,635.0,635.0,634.25,634.25,63885,155,0
48,2021-03-23,0 days 14:12:00,634.75,635.25,634.75,635.25,63713,50,0
49,2021-03-23,0 days 14:11:00,634.75,635.25,634.25,634.75,63662,240,0
50,2021-03-22,0 days 14:15:00,626.25,628.0,626.25,627.75,33572,1110,0
51,2021-03-22,0 days 14:14:00,626.25,626.5,626.25,626.25,32010,261,0
52,2021-03-22,0 days 14:13:00,626.75,626.75,626.25,626.25,31592,68,0
53,2021-03-22,0 days 14:12:00,627.0,627.0,626.5,626.5,31524,67,0
54,2021-03-22,0 days 14:11:00,626.75,627.25,626.75,627.0,31457,104,0
55,2021-03-19,0 days 14:15:00,627.0,627.75,626.25,626.5,49243,1144,0
56,2021-03-19,0 days 14:14:00,627.5,628.0,627.25,627.25,47644,228,0
57,2021-03-19,0 days 14:13:00,627.5,627.75,627.5,627.5,47280,28,0
58,2021-03-19,0 days 14:12:00,628.25,628.25,627.75,627.75,47250,90,0
59,2021-03-19,0 days 14:11:00,627.75,628.5,627.75,628.25,47136,151,0
60,2021-03-18,0 days 14:15:00,631.75,631.75,629.0,629.5,38380,1467,0
61,2021-03-18,0 days 14:14:00,631.25,632.0,631.25,631.75,36504,320,0
62,2021-03-18,0 days 14:13:00,630.75,631.25,630.75,631.0,36005,156,0
63,2021-03-18,0 days 14:12:00,630.25,631.0,630.25,630.75,35825,265,0
64,2021-03-18,0 days 14:11:00,630.5,630.5,630.0,630.25,35487,753,0
65,2021-03-17,0 days 14:15:00,640.75,641.0,639.25,640.0,33753,1123,0
66,2021-03-17,0 days 14:14:00,641.25,641.25,640.75,641.0,32290,131,0
67,2021-03-17,0 days 14:13:00,640.75,641.25,640.25,641.25,32151,182,0
68,2021-03-17,0 days 14:12:00,640.75,641.0,640.25,641.0,31933,113,0
69,2021-03-17,0 days 14:11:00,640.25,640.75,640.25,640.75,31761,94,0
70,2021-03-16,0 days 14:15:00,645.75,647.75,645.5,646.75,48261,1499,0
71,2021-03-16,0 days 14:14:00,645.5,645.75,645.0,645.75,46211,192,0
72,2021-03-16,0 days 14:13:00,645.75,645.75,645.25,645.5,46006,89,0
73,2021-03-16,0 days 14:12:00,645.5,646.0,645.5,645.75,45897,280,0
74,2021-03-16,0 days 14:11:00,644.75,645.5,644.75,645.5,45533,249,0
75,2021-03-15,0 days 14:15:00,646.75,646.75,644.0,644.5,36345,1363,0
76,2021-03-15,0 days 14:14:00,647.0,647.0,646.0,647.0,34808,370,0
77,2021-03-15,0 days 14:13:00,647.0,647.25,646.5,647.0,34353,142,0
78,2021-03-15,0 days 14:12:00,647.25,647.75,647.25,647.25,34211,272,0
79,2021-03-15,0 days 14:11:00,646.25,647.25,646.25,647.0,33903,186,0
80,2021-03-12,0 days 14:15:00,639.25,639.25,638.0,638.75,32655,656,0
81,2021-03-12,0 days 14:14:00,639.0,639.25,638.75,639.25,31533,156,0
82,2021-03-12,0 days 14:13:00,639.0,639.0,638.5,638.75,31077,115,0
83,2021-03-12,0 days 14:12:00,638.75,639.25,638.5,639.0,30848,69,0
84,2021-03-12,0 days 14:11:00,638.75,639.0,638.75,638.75,30711,69,0
85,2021-03-11,0 days 14:15:00,642.75,643.25,642.0,642.0,46093,1474,0
86,2021-03-11,0 days 14:14:00,642.75,643.0,642.25,642.5,43195,462,0
87,2021-03-11,0 days 14:13:00,643.0,643.25,642.75,642.75,42333,99,0
88,2021-03-11,0 days 14:12:00,643.0,643.25,643.0,643.0,42211,70,0
89,2021-03-11,0 days 14:11:00,643.0,643.25,643.0,643.0,42128,100,0
90,2021-03-10,0 days 14:15:00,653.0,653.25,651.75,652.0,42588,2098,0
91,2021-03-10,0 days 14:14:00,652.5,653.75,652.5,653.0,39923,617,0
92,2021-03-10,0 days 14:13:00,653.0,653.25,652.25,652.25,39137,325,0
93,2021-03-10,0 days 14:12:00,652.5,653.25,652.5,653.25,38624,293,0
94,2021-03-10,0 days 14:11:00,652.75,652.75,652.25,652.5,38119,139,0
95,2021-03-09,0 days 14:15:00,655.25,657.0,655.25,656.5,57950,1933,0
96,2021-03-09,0 days 14:14:00,656.0,656.0,655.25,655.25,55614,282,0
97,2021-03-09,0 days 14:13:00,655.75,656.0,655.25,655.75,55157,188,0
98,2021-03-09,0 days 14:12:00,654.75,655.75,654.75,655.75,54872,94,0
99,2021-03-09,0 days 14:11:00,654.25,654.75,654.0,654.75,54713,89,0
100,2021-03-08,0 days 14:15:00,648.0,648.0,645.5,645.75,58214,2131,0
101,2021-03-08,0 days 14:14:00,648.75,649.0,648.0,648.0,54922,213,0
102,2021-03-08,0 days 14:13:00,648.25,648.75,648.25,648.75,54368,77,0
103,2021-03-08,0 days 14:12:00,648.25,648.25,647.75,648.25,54291,126,0
104,2021-03-08,0 days 14:11:00,648.5,648.5,648.0,648.0,54137,135,0
105,2021-03-05,0 days 14:15:00,655.0,655.25,651.5,652.25,39601,1520,0
106,2021-03-05,0 days 14:14:00,656.25,656.25,654.75,655.0,37286,226,0
107,2021-03-05,0 days 14:13:00,656.25,656.25,656.0,656.25,36892,94,0
108,2021-03-05,0 days 14:12:00,656.5,656.5,656.0,656.25,36780,68,0
109,2021-03-05,0 days 14:11:00,656.25,656.5,656.0,656.25,36710,141,0
110,2021-03-04,0 days 14:15:00,651.5,651.75,650.5,650.75,50798,1022,0
111,2021-03-04,0 days 14:14:00,652.25,652.75,651.5,651.5,49487,258,0
112,2021-03-04,0 days 14:13:00,652.0,652.5,651.75,652.5,49210,107,0
113,2021-03-04,0 days 14:12:00,652.0,652.25,652.0,652.25,49095,169,0
114,2021-03-04,0 days 14:11:00,652.5,652.5,651.75,652.0,48916,128,0
115,2021-03-03,0 days 14:15:00,657.25,657.5,655.0,656.25,42825,1703,0
116,2021-03-03,0 days 14:14:00,658.0,658.0,657.5,657.5,40483,353,0
117,2021-03-03,0 days 14:13:00,657.75,658.0,657.5,657.75,40091,188,0
118,2021-03-03,0 days 14:12:00,657.25,657.75,657.25,657.75,39867,226,0
119,2021-03-03,0 days 14:11:00,656.5,657.5,656.5,657.5,39516,342,0
120,2021-03-02,0 days 14:15:00,665.5,667.0,665.5,666.25,58218,1693,0
121,2021-03-02,0 days 14:14:00,665.75,666.5,665.5,665.5,55961,203,0
122,2021-03-02,0 days 14:13:00,665.25,665.75,665.25,665.75,55623,128,0
123,2021-03-02,0 days 14:12:00,665.25,665.5,665.25,665.25,55460,49,0
124,2021-03-02,0 days 14:11:00,665.0,665.25,664.75,665.25,55410,157,0
125,2021-03-01,0 days 14:15:00,650.0,651.0,649.0,650.75,47810,1489,0
126,2021-03-01,0 days 14:14:00,648.5,650.0,648.25,650.0,45831,265,0
127,2021-03-01,0 days 14:13:00,649.25,649.25,648.25,648.75,45435,132,0
