,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 16:00:00,33298.0,33327.0,33294.0,33317.0,134032,1612,0
1,2021-04-06,0 days 15:59:00,33302.0,33304.0,33291.0,33299.0,132420,370,0
2,2021-04-06,0 days 15:58:00,33299.0,33306.0,33294.0,33301.0,132050,512,0
3,2021-04-06,0 days 15:57:00,33287.0,33301.0,33286.0,33299.0,131538,519,0
4,2021-04-06,0 days 15:56:00,33276.0,33289.0,33274.0,33287.0,131019,372,0
5,2021-04-05,0 days 16:00:00,33405.0,33427.0,33403.0,33408.0,116334,1633,0
6,2021-04-05,0 days 15:59:00,33430.0,33430.0,33404.0,33407.0,114701,812,0
7,2021-04-05,0 days 15:58:00,33434.0,33436.0,33429.0,33429.0,113889,299,0
8,2021-04-05,0 days 15:57:00,33434.0,33437.0,33429.0,33435.0,113590,325,0
9,2021-04-05,0 days 15:56:00,33435.0,33447.0,33429.0,33434.0,113265,477,0
10,2021-04-01,0 days 16:00:00,33042.0,33049.0,33031.0,33031.0,132881,1960,0
11,2021-04-01,0 days 15:59:00,33033.0,33051.0,33028.0,33042.0,130911,1182,0
12,2021-04-01,0 days 15:58:00,33022.0,33034.0,33020.0,33033.0,129729,525,0
13,2021-04-01,0 days 15:57:00,33014.0,33026.0,33011.0,33022.0,129204,327,0
14,2021-04-01,0 days 15:56:00,33018.0,33024.0,33011.0,33014.0,128877,478,0
15,2021-03-31,0 days 16:00:00,32941.0,32949.0,32881.0,32906.0,134962,4471,0
16,2021-03-31,0 days 15:59:00,32924.0,32942.0,32912.0,32941.0,130491,882,0
17,2021-03-31,0 days 15:58:00,32923.0,32934.0,32913.0,32924.0,129609,696,0
18,2021-03-31,0 days 15:57:00,32920.0,32938.0,32913.0,32923.0,128913,866,0
19,2021-03-31,0 days 15:56:00,32937.0,32948.0,32906.0,32919.0,128047,1400,0
20,2021-03-30,0 days 16:00:00,32888.0,32972.0,32881.0,32961.0,161888,2579,0
21,2021-03-30,0 days 15:59:00,32873.0,32888.0,32865.0,32887.0,159309,698,0
22,2021-03-30,0 days 15:58:00,32879.0,32883.0,32871.0,32873.0,158611,592,0
23,2021-03-30,0 days 15:57:00,32880.0,32887.0,32878.0,32878.0,158019,466,0
24,2021-03-30,0 days 15:56:00,32891.0,32892.0,32876.0,32880.0,157553,626,0
25,2021-03-29,0 days 16:00:00,33043.0,33055.0,33013.0,33054.0,189786,1848,0
26,2021-03-29,0 days 15:59:00,33054.0,33055.0,33040.0,33043.0,187938,581,0
27,2021-03-29,0 days 15:58:00,33048.0,33063.0,33042.0,33055.0,187357,582,0
28,2021-03-29,0 days 15:57:00,33030.0,33055.0,33028.0,33050.0,186775,513,0
29,2021-03-29,0 days 15:56:00,33040.0,33040.0,33019.0,33030.0,186262,610,0
30,2021-03-26,0 days 16:00:00,32905.0,32976.0,32904.0,32941.0,178175,2325,0
31,2021-03-26,0 days 15:59:00,32906.0,32908.0,32887.0,32902.0,175850,997,0
32,2021-03-26,0 days 15:58:00,32891.0,32909.0,32891.0,32905.0,174853,991,0
33,2021-03-26,0 days 15:57:00,32864.0,32896.0,32863.0,32891.0,173862,1192,0
34,2021-03-26,0 days 15:56:00,32825.0,32865.0,32824.0,32863.0,172670,1072,0
35,2021-03-25,0 days 16:00:00,32509.0,32523.0,32495.0,32504.0,249456,1679,0
36,2021-03-25,0 days 15:59:00,32507.0,32512.0,32500.0,32510.0,247776,405,0
37,2021-03-25,0 days 15:58:00,32506.0,32512.0,32498.0,32507.0,247371,484,0
38,2021-03-25,0 days 15:57:00,32505.0,32508.0,32494.0,32508.0,246887,442,0
39,2021-03-25,0 days 15:56:00,32507.0,32508.0,32494.0,32507.0,246445,825,0
40,2021-03-24,0 days 16:00:00,32334.0,32345.0,32304.0,32304.0,200863,2116,0
41,2021-03-24,0 days 15:59:00,32344.0,32346.0,32330.0,32333.0,198747,678,0
42,2021-03-24,0 days 15:58:00,32348.0,32355.0,32332.0,32344.0,198069,986,0
43,2021-03-24,0 days 15:57:00,32352.0,32359.0,32345.0,32348.0,197083,640,0
44,2021-03-24,0 days 15:56:00,32373.0,32378.0,32351.0,32352.0,196443,946,0
45,2021-03-23,0 days 16:00:00,32292.0,32319.0,32287.0,32300.0,175721,1255,0
46,2021-03-23,0 days 15:59:00,32291.0,32298.0,32272.0,32296.0,174466,625,0
47,2021-03-23,0 days 15:58:00,32319.0,32319.0,32290.0,32292.0,173841,707,0
48,2021-03-23,0 days 15:57:00,32291.0,32323.0,32291.0,32317.0,173103,490,0
49,2021-03-23,0 days 15:56:00,32305.0,32324.0,32289.0,32291.0,172595,643,0
50,2021-03-22,0 days 16:00:00,32614.0,32625.0,32611.0,32612.0,148645,1298,0
51,2021-03-22,0 days 15:59:00,32614.0,32618.0,32607.0,32614.0,147347,322,0
52,2021-03-22,0 days 15:58:00,32597.0,32618.0,32594.0,32615.0,147025,474,0
53,2021-03-22,0 days 15:57:00,32607.0,32609.0,32593.0,32597.0,146551,382,0
54,2021-03-22,0 days 15:56:00,32612.0,32615.0,32604.0,32607.0,146169,278,0
55,2021-03-19,0 days 16:00:00,32521.0,32521.0,32484.0,32491.0,201900,2975,0
