,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,59.33,59.37,59.33,59.34,21331,17,0
1,2021-04-06,0 days 14:29:00,59.23,59.35,59.23,59.34,21279,16,0
2,2021-04-06,0 days 14:28:00,59.28,59.32,59.2,59.2,21197,87,0
3,2021-04-06,0 days 14:27:00,59.36,59.36,59.3,59.3,21099,17,0
4,2021-04-06,0 days 14:26:00,59.43,59.43,59.35,59.35,21061,5,0
5,2021-04-05,0 days 14:30:00,58.66,58.73,58.65,58.73,20728,68,0
6,2021-04-05,0 days 14:29:00,58.58,58.67,58.57,58.64,20602,67,0
7,2021-04-05,0 days 14:28:00,58.53,58.61,58.48,58.59,19963,70,0
8,2021-04-05,0 days 14:27:00,58.57,58.59,58.49,58.51,19875,61,0
9,2021-04-05,0 days 14:26:00,58.49,58.63,58.49,58.59,19814,48,0
10,2021-04-01,0 days 14:30:00,61.48,61.49,61.4,61.43,32416,33,0
11,2021-04-01,0 days 14:29:00,61.51,61.52,61.35,61.5,32104,166,0
12,2021-04-01,0 days 14:28:00,61.53,61.6,61.45,61.52,31783,61,0
13,2021-04-01,0 days 14:27:00,61.47,61.55,61.42,61.55,31693,50,0
14,2021-04-01,0 days 14:26:00,61.5,61.5,61.45,61.45,31610,53,0
15,2021-03-31,0 days 14:30:00,59.12,59.23,59.12,59.2,22939,48,0
16,2021-03-31,0 days 14:29:00,58.99,59.21,58.97,59.13,22766,233,0
17,2021-03-31,0 days 14:28:00,59.26,59.26,58.98,58.98,22468,239,0
18,2021-03-31,0 days 14:27:00,59.27,59.31,59.14,59.26,22229,97,0
19,2021-03-31,0 days 14:26:00,59.2,59.3,59.19,59.3,22114,64,0
20,2021-03-30,0 days 14:30:00,60.58,60.61,60.56,60.57,25033,50,0
21,2021-03-30,0 days 14:29:00,60.47,60.56,60.45,60.56,24457,40,0
22,2021-03-30,0 days 14:28:00,60.55,60.57,60.47,60.47,24363,39,0
23,2021-03-30,0 days 14:27:00,60.55,60.56,60.53,60.53,24155,8,0
24,2021-03-30,0 days 14:26:00,60.54,60.61,60.54,60.59,24139,29,0
25,2021-03-29,0 days 14:30:00,61.57,61.57,61.52,61.55,31429,55,0
26,2021-03-29,0 days 14:29:00,61.6,61.6,61.54,61.58,31118,40,0
27,2021-03-29,0 days 14:28:00,61.57,61.58,61.52,61.58,30796,44,0
28,2021-03-29,0 days 14:27:00,61.53,61.58,61.53,61.55,30685,71,0
29,2021-03-29,0 days 14:26:00,61.47,61.55,61.45,61.53,30613,114,0
30,2021-03-26,0 days 14:30:00,60.98,61.0,60.93,60.98,27125,30,0
31,2021-03-26,0 days 14:29:00,61.06,61.06,60.93,60.96,27015,67,0
32,2021-03-26,0 days 14:28:00,61.1,61.1,61.05,61.05,26832,8,0
33,2021-03-26,0 days 14:27:00,61.07,61.11,61.07,61.09,26806,16,0
34,2021-03-26,0 days 14:26:00,61.12,61.12,61.05,61.06,26776,15,0
35,2021-03-25,0 days 14:30:00,58.58,58.6,58.51,58.52,36113,34,0
36,2021-03-25,0 days 14:29:00,58.6,58.6,58.54,58.59,36007,48,0
37,2021-03-25,0 days 14:28:00,58.64,58.65,58.47,58.6,35872,376,0
38,2021-03-25,0 days 14:27:00,58.62,58.66,58.61,58.63,35330,26,0
39,2021-03-25,0 days 14:26:00,58.64,58.64,58.59,58.61,35254,154,0
40,2021-03-24,0 days 14:30:00,61.18,61.18,61.07,61.16,40459,34,0
41,2021-03-24,0 days 14:29:00,61.33,61.35,61.19,61.19,40181,105,0
42,2021-03-24,0 days 14:28:00,61.26,61.33,61.24,61.3,40035,86,0
43,2021-03-24,0 days 14:27:00,61.27,61.29,61.21,61.27,39928,81,0
44,2021-03-24,0 days 14:26:00,61.3,61.33,61.23,61.25,39824,71,0
45,2021-03-23,0 days 14:30:00,57.78,57.8,57.68,57.74,57039,53,0
46,2021-03-23,0 days 14:29:00,57.63,57.82,57.6,57.76,56888,127,0
47,2021-03-23,0 days 14:28:00,57.78,57.91,57.6,57.64,56400,289,0
48,2021-03-23,0 days 14:27:00,57.72,57.79,57.69,57.78,55892,18,0
49,2021-03-23,0 days 14:26:00,57.72,57.76,57.65,57.74,55768,53,0
50,2021-03-22,0 days 14:30:00,61.57,61.6,61.55,61.55,32134,48,0
51,2021-03-22,0 days 14:29:00,61.55,61.59,61.54,61.57,31986,35,0
52,2021-03-22,0 days 14:28:00,61.53,61.61,61.53,61.57,31879,57,0
53,2021-03-22,0 days 14:27:00,61.52,61.56,61.52,61.52,31808,10,0
54,2021-03-22,0 days 14:26:00,61.45,61.51,61.45,61.51,31795,63,0
55,2021-03-19,0 days 14:30:00,61.36,61.36,61.36,61.36,4526,1,0
56,2021-03-19,0 days 14:29:00,61.27,61.35,61.26,61.35,4525,12,0
57,2021-03-19,0 days 14:28:00,61.27,61.29,61.27,61.29,4513,9,0
58,2021-03-18,0 days 14:29:00,59.94,60.08,59.94,60.0,14192,6,0
59,2021-03-18,0 days 14:28:00,59.93,59.99,59.91,59.91,14145,7,0
60,2021-03-18,0 days 14:27:00,59.95,59.95,59.95,59.95,14020,1,0
61,2021-03-18,0 days 14:26:00,59.92,59.92,59.92,59.92,14019,1,0
62,2021-03-17,0 days 14:30:00,64.6,64.64,64.59,64.62,17054,22,0
63,2021-03-17,0 days 14:29:00,64.58,64.63,64.53,64.61,17002,40,0
64,2021-03-17,0 days 14:28:00,64.57,64.69,64.56,64.56,16678,38,0
65,2021-03-17,0 days 14:27:00,64.54,64.6,64.54,64.55,16568,38,0
66,2021-03-17,0 days 14:26:00,64.56,64.65,64.54,64.55,16530,38,0
67,2021-03-16,0 days 14:30:00,64.79,64.85,64.79,64.81,20358,44,0
68,2021-03-16,0 days 14:29:00,64.82,64.83,64.76,64.81,20075,77,0
69,2021-03-16,0 days 14:28:00,64.87,64.87,64.79,64.81,19965,20,0
70,2021-03-16,0 days 14:27:00,64.87,64.9,64.85,64.85,19914,11,0
71,2021-03-16,0 days 14:26:00,64.86,64.86,64.85,64.85,19900,5,0
72,2021-03-15,0 days 14:30:00,65.39,65.41,65.36,65.36,26282,71,0
73,2021-03-15,0 days 14:29:00,65.45,65.45,65.37,65.39,25816,42,0
74,2021-03-15,0 days 14:28:00,65.42,65.47,65.39,65.46,25338,115,0
75,2021-03-15,0 days 14:27:00,65.44,65.45,65.42,65.45,24691,31,0
76,2021-03-15,0 days 14:26:00,65.47,65.5,65.47,65.47,24636,31,0
77,2021-03-12,0 days 14:30:00,65.63,65.63,65.59,65.6,12105,45,0
78,2021-03-12,0 days 14:29:00,65.57,65.67,65.57,65.63,12035,85,0
79,2021-03-12,0 days 14:28:00,65.57,65.6,65.52,65.6,11914,180,0
80,2021-03-12,0 days 14:27:00,65.54,65.6,65.54,65.58,11726,40,0
81,2021-03-12,0 days 14:26:00,65.62,65.62,65.52,65.54,11669,80,0
82,2021-03-11,0 days 14:30:00,66.07,66.08,66.02,66.02,19747,134,0
83,2021-03-11,0 days 14:29:00,65.98,66.07,65.97,66.06,19310,29,0
84,2021-03-11,0 days 14:28:00,65.94,66.01,65.89,65.98,19016,69,0
85,2021-03-11,0 days 14:27:00,65.92,66.0,65.92,65.96,18720,136,0
86,2021-03-11,0 days 14:26:00,65.95,65.96,65.87,65.89,18580,39,0
87,2021-03-10,0 days 14:30:00,64.45,64.46,64.43,64.46,27506,59,0
88,2021-03-10,0 days 14:29:00,64.45,64.47,64.38,64.47,27293,18,0
89,2021-03-10,0 days 14:28:00,64.4,64.47,64.4,64.47,26755,13,0
90,2021-03-10,0 days 14:27:00,64.48,64.48,64.42,64.46,26558,16,0
91,2021-03-10,0 days 14:26:00,64.38,64.47,64.37,64.42,26263,65,0
92,2021-03-09,0 days 14:30:00,64.01,64.06,64.0,64.03,32096,96,0
93,2021-03-09,0 days 14:29:00,63.99,64.04,63.94,64.01,31775,120,0
94,2021-03-09,0 days 14:28:00,64.03,64.07,63.97,64.0,31253,132,0
95,2021-03-09,0 days 14:27:00,63.95,64.05,63.89,64.02,30821,276,0
96,2021-03-09,0 days 14:26:00,63.84,63.96,63.79,63.96,30544,103,0
97,2021-03-08,0 days 14:30:00,65.04,65.09,65.03,65.05,23188,177,0
98,2021-03-08,0 days 14:29:00,65.1,65.1,65.02,65.05,22986,107,0
99,2021-03-08,0 days 14:28:00,65.04,65.15,65.01,65.1,22708,157,0
100,2021-03-08,0 days 14:27:00,65.11,65.11,65.04,65.05,22363,42,0
101,2021-03-08,0 days 14:26:00,65.08,65.17,65.07,65.11,21797,117,0
102,2021-03-05,0 days 14:30:00,66.13,66.14,66.08,66.09,28803,151,0
103,2021-03-05,0 days 14:29:00,66.03,66.15,66.0,66.13,28622,172,0
104,2021-03-05,0 days 14:28:00,66.02,66.03,65.97,66.03,28193,104,0
105,2021-03-05,0 days 14:27:00,66.04,66.08,66.02,66.06,27565,38,0
106,2021-03-05,0 days 14:26:00,66.1,66.1,66.02,66.03,27497,26,0
107,2021-03-04,0 days 14:30:00,63.85,63.9,63.81,63.84,41680,168,0
108,2021-03-04,0 days 14:29:00,63.81,63.89,63.75,63.85,41504,212,0
109,2021-03-04,0 days 14:28:00,63.88,63.96,63.79,63.8,41291,431,0
110,2021-03-04,0 days 14:27:00,63.75,63.94,63.71,63.87,40852,313,0
111,2021-03-04,0 days 14:26:00,63.8,63.83,63.65,63.74,40438,237,0
112,2021-03-03,0 days 14:30:00,61.28,61.32,61.26,61.3,31483,104,0
113,2021-03-03,0 days 14:29:00,61.26,61.29,61.23,61.28,31361,103,0
114,2021-03-03,0 days 14:28:00,61.28,61.29,61.23,61.25,31197,188,0
