,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,62.72,62.77,62.71,62.73,294239,1432,0
1,2021-04-06,0 days 14:29:00,62.68,62.79,62.66,62.72,291758,1428,0
2,2021-04-06,0 days 14:28:00,62.75,62.77,62.63,62.68,289101,1351,0
3,2021-04-06,0 days 14:27:00,62.79,62.84,62.74,62.76,285987,412,0
4,2021-04-06,0 days 14:26:00,62.91,62.91,62.78,62.78,285028,303,0
5,2021-04-05,0 days 14:30:00,62.13,62.25,62.13,62.21,217371,2169,0
6,2021-04-05,0 days 14:29:00,62.08,62.18,62.07,62.14,214891,2057,0
7,2021-04-05,0 days 14:28:00,62.07,62.11,61.99,62.08,212044,811,0
8,2021-04-05,0 days 14:27:00,62.15,62.17,62.04,62.05,210997,378,0
9,2021-04-05,0 days 14:26:00,62.03,62.19,62.03,62.15,209852,339,0
10,2021-04-01,0 days 14:30:00,64.9,64.91,64.82,64.83,466036,2650,0
11,2021-04-01,0 days 14:29:00,64.95,64.96,64.77,64.9,461908,3374,0
12,2021-04-01,0 days 14:28:00,64.98,65.03,64.86,64.95,457289,1229,0
13,2021-04-01,0 days 14:27:00,64.84,64.99,64.81,64.98,455253,874,0
14,2021-04-01,0 days 14:26:00,64.91,64.96,64.84,64.85,453568,484,0
15,2021-03-31,0 days 14:30:00,62.69,62.83,62.69,62.74,304869,2896,0
16,2021-03-31,0 days 14:29:00,62.62,62.83,62.58,62.71,301368,2466,0
17,2021-03-31,0 days 14:28:00,62.85,62.87,62.6,62.6,298152,1179,0
18,2021-03-31,0 days 14:27:00,62.92,62.92,62.74,62.84,296892,1325,0
19,2021-03-31,0 days 14:26:00,62.74,62.93,62.74,62.93,295135,1112,0
20,2021-03-30,0 days 14:30:00,64.13,64.19,64.13,64.17,70457,646,0
21,2021-03-30,0 days 14:29:00,64.05,64.14,64.05,64.13,69040,548,0
22,2021-03-30,0 days 14:28:00,64.12,64.12,64.03,64.03,67248,35,0
23,2021-03-30,0 days 14:27:00,64.12,64.12,64.11,64.12,67057,5,0
24,2021-03-30,0 days 14:26:00,64.09,64.18,64.09,64.14,66997,54,0
25,2021-03-29,0 days 14:30:00,64.99,65.02,64.98,65.0,86239,340,0
26,2021-03-29,0 days 14:29:00,64.93,65.0,64.93,64.99,85721,508,0
27,2021-03-29,0 days 14:28:00,64.94,64.94,64.88,64.94,84996,165,0
28,2021-03-29,0 days 14:27:00,64.92,64.96,64.91,64.92,84722,48,0
29,2021-03-29,0 days 14:26:00,64.87,64.92,64.84,64.91,84115,127,0
30,2021-03-26,0 days 14:30:00,64.56,64.6,64.52,64.58,136542,1528,0
31,2021-03-26,0 days 14:29:00,64.68,64.68,64.54,64.56,134577,1732,0
32,2021-03-26,0 days 14:28:00,64.7,64.73,64.63,64.68,132406,670,0
33,2021-03-26,0 days 14:27:00,64.67,64.74,64.66,64.7,131662,269,0
34,2021-03-26,0 days 14:26:00,64.71,64.71,64.65,64.68,131335,218,0
35,2021-03-25,0 days 14:30:00,61.97,61.98,61.9,61.92,194750,684,0
36,2021-03-25,0 days 14:29:00,61.97,61.98,61.89,61.96,193194,524,0
37,2021-03-25,0 days 14:28:00,62.03,62.03,61.87,61.97,192265,556,0
38,2021-03-25,0 days 14:27:00,62.02,62.06,62.0,62.01,191507,184,0
39,2021-03-25,0 days 14:26:00,62.05,62.05,62.0,62.01,191198,89,0
40,2021-03-24,0 days 14:30:00,64.42,64.42,64.28,64.36,240122,1484,0
41,2021-03-24,0 days 14:29:00,64.53,64.53,64.4,64.41,237735,1278,0
42,2021-03-24,0 days 14:28:00,64.47,64.54,64.44,64.53,235523,617,0
43,2021-03-24,0 days 14:27:00,64.48,64.5,64.43,64.47,234563,304,0
44,2021-03-24,0 days 14:26:00,64.5,64.57,64.45,64.47,233714,721,0
45,2021-03-23,0 days 14:30:00,60.77,60.82,60.72,60.78,368598,1569,0
46,2021-03-23,0 days 14:29:00,60.68,60.85,60.66,60.78,366517,1733,0
47,2021-03-23,0 days 14:28:00,60.83,60.97,60.67,60.69,363786,1081,0
48,2021-03-23,0 days 14:27:00,60.78,60.84,60.73,60.83,362582,375,0
