,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-07,0 days 11:30:00,495.25,496.75,495.25,496.25,79667,925,0
1,2021-04-07,0 days 11:29:00,496.25,496.25,495.0,495.0,78448,425,0
2,2021-04-07,0 days 11:28:00,496.5,496.5,495.75,496.25,77638,233,0
3,2021-04-07,0 days 11:27:00,496.75,497.0,496.25,496.5,76735,149,0
4,2021-04-07,0 days 11:26:00,496.25,497.0,496.0,496.75,76580,196,0
5,2021-04-06,0 days 11:30:00,506.75,506.75,505.5,506.0,74939,937,0
6,2021-04-06,0 days 11:29:00,506.25,506.75,506.25,506.75,73591,289,0
7,2021-04-06,0 days 11:28:00,507.25,507.25,506.25,506.25,73218,514,0
8,2021-04-06,0 days 11:27:00,508.0,508.25,507.25,507.25,70953,316,0
9,2021-04-06,0 days 11:26:00,507.75,507.75,507.5,507.75,70520,132,0
10,2021-04-05,0 days 11:30:00,500.5,500.75,500.5,500.75,25602,337,0
11,2021-04-05,0 days 11:29:00,500.75,501.25,500.25,500.5,24412,174,0
12,2021-04-05,0 days 11:28:00,501.25,501.25,501.0,501.0,23823,48,0
13,2021-04-05,0 days 11:27:00,500.5,501.0,500.25,501.0,23750,40,0
14,2021-04-05,0 days 11:26:00,500.25,500.25,499.75,500.25,23702,77,0
15,2021-04-01,0 days 11:30:00,498.0,499.75,498.0,498.75,83643,1018,0
16,2021-04-01,0 days 11:29:00,498.5,498.5,497.5,498.0,82084,303,0
17,2021-04-01,0 days 11:28:00,498.0,498.5,498.0,498.5,80783,228,0
18,2021-04-01,0 days 11:27:00,498.5,498.5,498.0,498.0,80453,123,0
19,2021-04-01,0 days 11:26:00,497.75,498.5,497.75,498.25,80296,270,0
20,2021-03-31,0 days 11:30:00,508.25,508.25,506.5,506.5,63847,553,0
21,2021-03-31,0 days 11:29:00,507.5,508.25,507.5,508.25,62830,250,0
22,2021-03-31,0 days 11:28:00,507.5,507.5,507.25,507.5,62456,91,0
23,2021-03-31,0 days 11:27:00,508.25,508.25,507.25,507.5,62361,152,0
24,2021-03-31,0 days 11:26:00,508.5,508.5,508.25,508.25,62207,76,0
25,2021-03-30,0 days 11:30:00,508.5,509.25,508.5,509.25,61684,382,0
26,2021-03-30,0 days 11:29:00,507.75,508.75,507.75,508.25,61227,144,0
27,2021-03-30,0 days 11:28:00,507.75,508.0,507.75,507.75,60973,136,0
28,2021-03-30,0 days 11:27:00,508.5,508.5,507.5,507.75,60837,111,0
29,2021-03-30,0 days 11:26:00,508.5,508.75,508.0,508.75,60663,227,0
30,2021-03-29,0 days 11:30:00,507.5,507.5,506.75,507.0,61893,662,0
31,2021-03-29,0 days 11:29:00,507.5,508.0,507.25,507.25,61026,264,0
32,2021-03-29,0 days 11:28:00,507.75,507.75,507.25,507.5,60579,98,0
33,2021-03-29,0 days 11:27:00,507.5,507.75,507.5,507.75,60313,27,0
34,2021-03-29,0 days 11:26:00,507.25,507.5,507.25,507.25,60280,73,0
35,2021-03-26,0 days 11:30:00,512.25,512.25,512.25,512.25,57226,21,0
36,2021-03-26,0 days 11:29:00,512.0,512.0,512.0,512.0,57131,10,0
37,2021-03-26,0 days 11:28:00,511.75,512.0,511.75,511.75,57095,13,0
38,2021-03-26,0 days 11:27:00,511.5,511.5,511.5,511.5,57070,16,0
39,2021-03-26,0 days 11:26:00,511.75,512.25,511.25,511.25,57018,44,0
40,2021-03-25,0 days 11:30:00,490.75,491.25,490.5,491.0,78881,135,0
41,2021-03-25,0 days 11:29:00,490.25,490.75,490.25,490.75,78744,92,0
42,2021-03-25,0 days 11:28:00,490.0,490.5,489.75,490.25,78641,187,0
43,2021-03-25,0 days 11:27:00,489.75,490.25,489.5,490.0,78443,126,0
44,2021-03-25,0 days 11:26:00,490.5,490.5,489.5,489.75,78267,73,0
45,2021-03-24,0 days 11:30:00,507.25,507.25,507.25,507.25,69772,31,0
46,2021-03-24,0 days 11:29:00,507.75,507.75,507.25,507.25,69702,27,0
47,2021-03-24,0 days 11:28:00,507.75,507.75,507.5,507.75,69664,56,0
48,2021-03-24,0 days 11:27:00,507.25,507.75,507.0,507.75,69607,133,0
49,2021-03-24,0 days 11:26:00,507.0,507.75,507.0,507.25,69469,113,0
50,2021-03-23,0 days 11:30:00,496.75,496.75,496.25,496.25,67803,69,0
51,2021-03-23,0 days 11:29:00,497.5,497.5,496.75,496.75,67653,23,0
52,2021-03-23,0 days 11:28:00,497.5,497.5,497.0,497.5,67623,88,0
53,2021-03-23,0 days 11:27:00,496.75,497.5,496.75,497.25,67448,118,0
54,2021-03-23,0 days 11:26:00,496.5,496.5,496.25,496.5,67280,53,0
55,2021-03-22,0 days 11:30:00,515.5,515.75,515.5,515.5,48092,60,0
56,2021-03-22,0 days 11:29:00,515.5,515.75,515.5,515.5,48024,73,0
57,2021-03-22,0 days 11:28:00,515.5,515.5,515.25,515.5,47945,153,0
58,2021-03-22,0 days 11:27:00,515.5,515.5,515.25,515.5,47785,19,0
