,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,1.7936,1.7936,1.7936,1.7936,17306,10,0
1,2021-04-06,0 days 14:29:00,1.7921,1.7954,1.7919,1.794,17062,30,0
2,2021-04-06,0 days 14:28:00,1.7919,1.7937,1.7908,1.7919,16396,42,0
3,2021-04-06,0 days 14:27:00,1.7932,1.794,1.7932,1.7935,16181,16,0
4,2021-04-06,0 days 14:26:00,1.797,1.797,1.7934,1.7934,16043,24,0
5,2021-04-05,0 days 14:30:00,1.7722,1.7741,1.7716,1.7741,12864,6,0
6,2021-04-05,0 days 14:29:00,1.7709,1.773,1.7709,1.7721,12185,10,0
7,2021-04-05,0 days 14:28:00,1.7716,1.7721,1.7701,1.7709,11675,12,0
8,2021-04-05,0 days 14:27:00,1.7733,1.7733,1.7715,1.7715,11464,13,0
9,2021-04-05,0 days 14:26:00,1.772,1.7748,1.7718,1.7735,11205,20,0
10,2021-04-01,0 days 14:30:00,1.8313,1.8322,1.829,1.8301,14187,17,0
11,2021-04-01,0 days 14:29:00,1.8352,1.8352,1.8305,1.8326,13980,19,0
12,2021-04-01,0 days 14:28:00,1.8353,1.8357,1.8338,1.8352,13651,34,0
13,2021-04-01,0 days 14:27:00,1.832,1.834,1.8312,1.834,13384,6,0
14,2021-04-01,0 days 14:26:00,1.831,1.831,1.8296,1.8296,13187,5,0
15,2021-03-31,0 days 14:30:00,1.7704,1.7717,1.7679,1.7681,12868,148,0
16,2021-03-31,0 days 14:29:00,1.7662,1.7718,1.7655,1.7701,12383,74,0
17,2021-03-31,0 days 14:28:00,1.7711,1.7711,1.7655,1.7655,11891,74,0
18,2021-03-31,0 days 14:27:00,1.7708,1.7717,1.7679,1.7713,11802,72,0
19,2021-03-31,0 days 14:26:00,1.77,1.7718,1.7695,1.7716,11667,23,0
20,2021-03-30,0 days 14:29:00,1.7856,1.7863,1.7856,1.7863,244,2,0
21,2021-03-30,0 days 14:28:00,1.7873,1.7873,1.7871,1.7872,242,3,0
22,2021-03-29,0 days 14:29:00,1.8108,1.8114,1.8108,1.8108,459,9,0
23,2021-03-29,0 days 14:28:00,1.8109,1.8109,1.8101,1.8105,446,16,0
24,2021-03-29,0 days 14:26:00,1.8109,1.8109,1.8109,1.8109,425,1,0
25,2021-03-26,0 days 14:30:00,1.8102,1.8102,1.8102,1.8102,1142,1,0
26,2021-03-26,0 days 14:29:00,1.8094,1.8098,1.8093,1.8098,1118,3,0
27,2021-03-26,0 days 14:28:00,1.8123,1.8125,1.8119,1.8119,1114,7,0
28,2021-03-25,0 days 14:30:00,1.7479,1.7479,1.7474,1.7474,2313,7,0
29,2021-03-25,0 days 14:29:00,1.7465,1.7477,1.7464,1.7477,2280,4,0
30,2021-03-25,0 days 14:28:00,1.7465,1.7479,1.7465,1.7479,2269,8,0
31,2021-03-25,0 days 14:27:00,1.7484,1.7484,1.7484,1.7484,2259,1,0
32,2021-03-24,0 days 14:30:00,1.8246,1.8246,1.8246,1.8246,1898,1,0
33,2021-03-24,0 days 14:29:00,1.8288,1.8288,1.8267,1.8267,1820,16,0
34,2021-03-24,0 days 14:28:00,1.8285,1.8291,1.8281,1.8288,1788,36,0
35,2021-03-23,0 days 14:30:00,1.7496,1.7496,1.7478,1.7478,2239,7,0
36,2021-03-23,0 days 14:28:00,1.7501,1.7515,1.7501,1.7508,2140,6,0
37,2021-03-22,0 days 14:30:00,1.8292,1.8296,1.8292,1.8292,1878,9,0
38,2021-03-22,0 days 14:28:00,1.831,1.8314,1.8303,1.8308,1793,6,0
39,2021-03-19,0 days 14:30:00,1.8238,1.8238,1.8238,1.8238,3329,1,0
40,2021-03-19,0 days 14:29:00,1.8203,1.821,1.8202,1.821,3254,8,0
41,2021-03-19,0 days 14:28:00,1.8195,1.8206,1.819,1.8203,3232,20,0
42,2021-03-19,0 days 14:27:00,1.8192,1.8192,1.8192,1.8192,3187,1,0
43,2021-03-18,0 days 14:30:00,1.7843,1.7844,1.782,1.7823,20102,11,0
44,2021-03-18,0 days 14:29:00,1.7843,1.787,1.783,1.7847,19837,12,0
