,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,1.9661,1.9661,1.9637,1.9637,11279,14,0
1,2021-04-06,0 days 14:29:00,1.9656,1.9699,1.9651,1.9656,11133,27,0
2,2021-04-06,0 days 14:28:00,1.9683,1.9687,1.964,1.9643,10843,30,0
3,2021-04-06,0 days 14:27:00,1.9706,1.9711,1.9706,1.9711,10636,3,0
4,2021-04-06,0 days 14:26:00,1.9724,1.9724,1.9704,1.9704,10557,2,0
5,2021-04-05,0 days 14:30:00,1.9608,1.9638,1.9607,1.9638,12864,6,0
6,2021-04-05,0 days 14:29:00,1.9583,1.9607,1.9583,1.9607,12756,4,0
7,2021-04-05,0 days 14:28:00,1.9581,1.9588,1.9563,1.9582,12488,14,0
8,2021-04-05,0 days 14:27:00,1.9605,1.9606,1.9579,1.9579,12324,8,0
9,2021-04-05,0 days 14:26:00,1.9592,1.9625,1.9592,1.9623,12171,8,0
10,2021-04-01,0 days 14:30:00,2.0211,2.0232,2.0199,2.0207,16554,32,0
11,2021-04-01,0 days 14:29:00,2.0254,2.0256,2.0208,2.0226,16424,34,0
12,2021-04-01,0 days 14:28:00,2.0261,2.0261,2.0236,2.0259,16237,16,0
13,2021-04-01,0 days 14:27:00,2.0217,2.0247,2.0217,2.0247,15977,15,0
14,2021-04-01,0 days 14:26:00,2.0247,2.025,2.0224,2.0224,15810,17,0
15,2021-03-31,0 days 14:30:00,1.9607,1.962,1.958,1.9586,13386,38,0
16,2021-03-31,0 days 14:29:00,1.9543,1.9623,1.9543,1.9592,13071,50,0
17,2021-03-31,0 days 14:28:00,1.9584,1.9584,1.9508,1.9515,12585,30,0
18,2021-03-31,0 days 14:27:00,1.9584,1.9598,1.9561,1.9585,12387,12,0
19,2021-03-31,0 days 14:26:00,1.9563,1.9611,1.9563,1.9601,12271,28,0
20,2021-03-29,0 days 14:29:00,1.994,1.994,1.994,1.994,700,2,0
21,2021-03-29,0 days 14:28:00,1.9934,1.9934,1.9928,1.9929,698,13,0
22,2021-03-26,0 days 14:29:00,1.9664,1.9664,1.9664,1.9664,1079,1,0
23,2021-03-26,0 days 14:28:00,1.9701,1.9701,1.9695,1.9695,1075,2,0
24,2021-03-25,0 days 14:30:00,1.9197,1.9197,1.9197,1.9197,962,1,0
