,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,62.73,62.77,62.72,62.74,42088,188,0
1,2021-04-06,0 days 14:29:00,62.69,62.78,62.66,62.72,41589,96,0
2,2021-04-06,0 days 14:28:00,62.75,62.77,62.63,62.68,41351,138,0
3,2021-04-06,0 days 14:27:00,62.79,62.83,62.75,62.75,40987,34,0
4,2021-04-06,0 days 14:26:00,62.88,62.88,62.78,62.78,40882,26,0
5,2021-04-05,0 days 14:30:00,62.15,62.25,62.13,62.22,35280,181,0
6,2021-04-05,0 days 14:29:00,62.08,62.17,62.07,62.15,34988,204,0
7,2021-04-05,0 days 14:28:00,62.08,62.11,61.99,62.09,34611,118,0
8,2021-04-05,0 days 14:27:00,62.16,62.16,62.05,62.05,34411,53,0
9,2021-04-05,0 days 14:26:00,62.07,62.18,62.07,62.14,34192,78,0
10,2021-04-01,0 days 14:30:00,64.87,64.9,64.81,64.83,62734,299,0
11,2021-04-01,0 days 14:29:00,64.95,64.95,64.76,64.89,62212,280,0
12,2021-04-01,0 days 14:28:00,64.96,65.02,64.87,64.96,61586,183,0
13,2021-04-01,0 days 14:27:00,64.84,64.98,64.82,64.98,61232,69,0
14,2021-04-01,0 days 14:26:00,64.91,64.94,64.85,64.86,60785,49,0
15,2021-03-31,0 days 14:30:00,62.76,62.81,62.73,62.73,36184,100,0
16,2021-03-31,0 days 14:29:00,62.62,62.8,62.62,62.7,36019,142,0
17,2021-03-31,0 days 14:28:00,62.85,62.85,62.59,62.62,35621,97,0
18,2021-03-31,0 days 14:27:00,62.9,62.91,62.75,62.85,35471,113,0
19,2021-03-31,0 days 14:26:00,62.76,62.93,62.76,62.93,35142,68,0
20,2021-03-30,0 days 14:30:00,64.16,64.16,64.14,64.14,3924,4,0
21,2021-03-30,0 days 14:29:00,64.1,64.1,64.1,64.1,3909,11,0
22,2021-03-30,0 days 14:27:00,64.11,64.11,64.11,64.11,3897,4,0
23,2021-03-30,0 days 14:26:00,64.13,64.16,64.13,64.16,3893,3,0
24,2021-03-29,0 days 14:30:00,65.0,65.01,64.98,65.0,16209,17,0
25,2021-03-29,0 days 14:29:00,64.93,64.99,64.93,64.99,16181,29,0
26,2021-03-29,0 days 14:28:00,64.94,64.94,64.87,64.94,16119,40,0
27,2021-03-29,0 days 14:27:00,64.92,64.94,64.92,64.94,16054,6,0
28,2021-03-29,0 days 14:26:00,64.85,64.92,64.85,64.91,16046,8,0
29,2021-03-26,0 days 14:30:00,64.57,64.59,64.52,64.58,21035,91,0
30,2021-03-26,0 days 14:29:00,64.65,64.65,64.54,64.57,20907,61,0
31,2021-03-26,0 days 14:28:00,64.7,64.72,64.65,64.66,20796,66,0
32,2021-03-26,0 days 14:27:00,64.66,64.73,64.66,64.7,20707,94,0
33,2021-03-26,0 days 14:26:00,64.7,64.71,64.65,64.69,20573,45,0
34,2021-03-25,0 days 14:30:00,61.97,61.99,61.92,61.92,26119,123,0
35,2021-03-25,0 days 14:29:00,61.97,61.98,61.92,61.97,25879,80,0
36,2021-03-25,0 days 14:28:00,62.03,62.03,61.88,61.98,25732,141,0
37,2021-03-25,0 days 14:27:00,62.04,62.07,62.04,62.07,25448,8,0
38,2021-03-25,0 days 14:26:00,62.05,62.05,62.02,62.02,25440,22,0
39,2021-03-24,0 days 14:30:00,64.4,64.41,64.3,64.38,31347,120,0
40,2021-03-24,0 days 14:29:00,64.53,64.54,64.4,64.4,31148,46,0
41,2021-03-24,0 days 14:28:00,64.49,64.54,64.46,64.53,31020,145,0
42,2021-03-24,0 days 14:27:00,64.49,64.5,64.43,64.5,30797,55,0
43,2021-03-24,0 days 14:26:00,64.52,64.56,64.46,64.47,30648,119,0
44,2021-03-23,0 days 14:30:00,60.8,60.82,60.72,60.78,40417,125,0
45,2021-03-23,0 days 14:29:00,60.67,60.85,60.66,60.77,40193,146,0
46,2021-03-23,0 days 14:28:00,60.84,60.95,60.66,60.71,39911,184,0
47,2021-03-23,0 days 14:27:00,60.79,60.84,60.73,60.84,39598,53,0
48,2021-03-23,0 days 14:26:00,60.84,60.84,60.7,60.79,39499,78,0
49,2021-03-22,0 days 14:30:00,64.63,64.65,64.61,64.61,28337,128,0
50,2021-03-22,0 days 14:29:00,64.61,64.63,64.59,64.61,28054,36,0
