,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,59.32,59.37,59.32,59.34,412747,1940,0
1,2021-04-06,0 days 14:29:00,59.24,59.36,59.22,59.32,409475,2002,0
2,2021-04-06,0 days 14:28:00,59.3,59.32,59.19,59.24,406346,1622,0
3,2021-04-06,0 days 14:27:00,59.34,59.4,59.28,59.29,404100,639,0
4,2021-04-06,0 days 14:26:00,59.46,59.46,59.34,59.34,403221,593,0
5,2021-04-05,0 days 14:30:00,58.64,58.76,58.63,58.69,397869,4440,0
6,2021-04-05,0 days 14:29:00,58.57,58.67,58.56,58.64,391639,3512,0
7,2021-04-05,0 days 14:28:00,58.52,58.6,58.45,58.58,386636,1113,0
8,2021-04-05,0 days 14:27:00,58.59,58.6,58.49,58.52,384723,819,0
9,2021-04-05,0 days 14:26:00,58.47,58.63,58.46,58.59,383867,1268,0
10,2021-04-01,0 days 14:30:00,61.49,61.5,61.4,61.41,556747,2979,0
11,2021-04-01,0 days 14:29:00,61.52,61.52,61.35,61.49,549040,2470,0
12,2021-04-01,0 days 14:28:00,61.56,61.6,61.43,61.52,545540,1155,0
13,2021-04-01,0 days 14:27:00,61.45,61.56,61.4,61.56,543699,957,0
14,2021-04-01,0 days 14:26:00,61.47,61.52,61.44,61.45,542000,634,0
15,2021-03-31,0 days 14:30:00,59.13,59.23,59.11,59.19,361711,4169,0
16,2021-03-31,0 days 14:29:00,58.99,59.22,58.97,59.12,356150,4081,0
17,2021-03-31,0 days 14:28:00,59.26,59.27,58.97,58.98,351087,2413,0
18,2021-03-31,0 days 14:27:00,59.29,59.32,59.14,59.25,348547,1679,0
19,2021-03-31,0 days 14:26:00,59.14,59.31,59.13,59.31,346817,1541,0
20,2021-03-30,0 days 14:30:00,60.55,60.61,60.54,60.57,352456,2577,0
21,2021-03-30,0 days 14:29:00,60.46,60.56,60.45,60.56,348716,1904,0
22,2021-03-30,0 days 14:28:00,60.55,60.56,60.43,60.45,346081,902,0
23,2021-03-30,0 days 14:27:00,60.54,60.57,60.52,60.55,343685,385,0
24,2021-03-30,0 days 14:26:00,60.56,60.61,60.53,60.55,343287,669,0
25,2021-03-29,0 days 14:30:00,61.57,61.58,61.52,61.55,420599,2273,0
26,2021-03-29,0 days 14:29:00,61.57,61.6,61.54,61.56,416611,1805,0
27,2021-03-29,0 days 14:28:00,61.55,61.58,61.51,61.57,412843,1127,0
28,2021-03-29,0 days 14:27:00,61.53,61.59,61.52,61.55,411056,756,0
