,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 13:00:00,4.114,4.118,4.1135,4.1175,74077,798,0
1,2021-04-06,0 days 12:59:00,4.114,4.1145,4.1125,4.1135,72741,141,0
2,2021-04-06,0 days 12:58:00,4.1145,4.115,4.114,4.114,72575,52,0
3,2021-04-06,0 days 12:57:00,4.1135,4.1145,4.1125,4.114,72522,113,0
4,2021-04-06,0 days 12:56:00,4.1145,4.1145,4.114,4.114,72407,54,0
5,2021-04-05,0 days 13:00:00,4.141,4.1435,4.1345,4.1355,47494,596,0
6,2021-04-05,0 days 12:59:00,4.137,4.141,4.137,4.141,45516,163,0
7,2021-04-05,0 days 12:58:00,4.137,4.1375,4.1355,4.1365,45326,77,0
8,2021-04-05,0 days 12:57:00,4.137,4.1385,4.136,4.137,44855,46,0
9,2021-04-05,0 days 12:56:00,4.1415,4.1415,4.1375,4.138,44809,78,0
10,2021-04-01,0 days 13:00:00,3.9905,3.9915,3.9895,3.99,63994,429,0
11,2021-04-01,0 days 12:59:00,3.99,3.991,3.9895,3.9905,63222,211,0
12,2021-04-01,0 days 12:58:00,3.9875,3.99,3.987,3.9895,62996,82,0
13,2021-04-01,0 days 12:57:00,3.988,3.9885,3.984,3.988,62914,421,0
14,2021-04-01,0 days 12:56:00,3.9885,3.9885,3.9875,3.988,62482,45,0
15,2021-03-31,0 days 13:00:00,3.9945,3.9975,3.9935,3.9965,59923,1173,0
16,2021-03-31,0 days 12:59:00,3.993,3.994,3.9925,3.994,58370,88,0
17,2021-03-31,0 days 12:58:00,3.9915,3.993,3.9915,3.993,58222,62,0
18,2021-03-31,0 days 12:57:00,3.991,3.992,3.9905,3.992,58126,52,0
19,2021-03-31,0 days 12:56:00,3.992,3.992,3.9905,3.991,58022,83,0
20,2021-03-30,0 days 13:00:00,3.976,3.9795,3.9755,3.9785,55524,505,0
21,2021-03-30,0 days 12:59:00,3.977,3.977,3.9745,3.9755,54402,80,0
22,2021-03-30,0 days 12:58:00,3.975,3.9775,3.9745,3.977,54299,53,0
23,2021-03-30,0 days 12:57:00,3.9755,3.977,3.975,3.9755,54235,60,0
24,2021-03-30,0 days 12:56:00,3.9755,3.976,3.9755,3.976,54131,17,0
25,2021-03-29,0 days 13:00:00,4.033,4.036,4.0325,4.036,55787,415,0
26,2021-03-29,0 days 12:59:00,4.034,4.034,4.032,4.0325,54848,127,0
27,2021-03-29,0 days 12:58:00,4.0345,4.0345,4.0335,4.034,54505,73,0
28,2021-03-29,0 days 12:57:00,4.0355,4.0355,4.034,4.034,54381,59,0
29,2021-03-29,0 days 12:56:00,4.035,4.036,4.0345,4.035,54313,119,0
30,2021-03-26,0 days 13:00:00,4.0665,4.0695,4.066,4.0685,56299,548,0
31,2021-03-26,0 days 12:59:00,4.0655,4.067,4.0655,4.066,55016,103,0
32,2021-03-26,0 days 12:58:00,4.065,4.066,4.064,4.0655,54864,103,0
33,2021-03-26,0 days 12:57:00,4.065,4.065,4.064,4.0645,54723,77,0
34,2021-03-26,0 days 12:56:00,4.065,4.065,4.0645,4.0645,54493,57,0
35,2021-03-25,0 days 13:00:00,3.9785,3.98,3.9765,3.9795,98443,942,0
36,2021-03-25,0 days 12:59:00,3.9785,3.979,3.9775,3.9785,96922,322,0
37,2021-03-25,0 days 12:58:00,3.9795,3.98,3.978,3.979,96092,152,0
38,2021-03-25,0 days 12:57:00,3.975,3.9795,3.9745,3.979,95933,323,0
39,2021-03-25,0 days 12:56:00,3.9765,3.9775,3.973,3.9745,95286,369,0
40,2021-03-24,0 days 13:00:00,4.0665,4.0665,4.063,4.0645,61512,456,0
41,2021-03-24,0 days 12:59:00,4.0655,4.0665,4.065,4.066,60993,95,0
42,2021-03-24,0 days 12:58:00,4.066,4.067,4.0645,4.066,60881,132,0
43,2021-03-24,0 days 12:57:00,4.066,4.066,4.064,4.0655,60736,158,0
44,2021-03-24,0 days 12:56:00,4.067,4.067,4.065,4.0655,60576,128,0
45,2021-03-23,0 days 13:00:00,4.0825,4.084,4.0755,4.077,66585,550,0
46,2021-03-23,0 days 12:59:00,4.0805,4.0825,4.0805,4.082,65946,108,0
47,2021-03-23,0 days 12:58:00,4.08,4.082,4.0795,4.0805,65830,66,0
48,2021-03-23,0 days 12:57:00,4.081,4.0815,4.079,4.081,65735,84,0
49,2021-03-23,0 days 12:56:00,4.082,4.084,4.081,4.0815,65641,217,0
50,2021-03-22,0 days 13:00:00,4.1375,4.1415,4.1365,4.14,54011,821,0
51,2021-03-22,0 days 12:59:00,4.137,4.1375,4.1355,4.1375,52974,122,0
52,2021-03-22,0 days 12:58:00,4.1375,4.1375,4.136,4.1365,52843,70,0
53,2021-03-22,0 days 12:57:00,4.137,4.1375,4.136,4.1375,52762,42,0
54,2021-03-22,0 days 12:56:00,4.1365,4.137,4.1365,4.137,52709,21,0
55,2021-03-19,0 days 13:00:00,4.109,4.119,4.1075,4.1125,68283,1087,0
56,2021-03-19,0 days 12:59:00,4.1075,4.109,4.1075,4.1085,67038,114,0
57,2021-03-19,0 days 12:58:00,4.108,4.1085,4.1065,4.107,66905,93,0
58,2021-03-19,0 days 12:57:00,4.1095,4.1095,4.1075,4.108,66790,70,0
59,2021-03-19,0 days 12:56:00,4.111,4.111,4.107,4.1095,66705,316,0
60,2021-03-18,0 days 13:00:00,4.1055,4.1105,4.105,4.11,54030,447,0
61,2021-03-18,0 days 12:59:00,4.1055,4.106,4.104,4.106,53329,62,0
62,2021-03-18,0 days 12:58:00,4.104,4.106,4.1035,4.1055,53265,97,0
63,2021-03-18,0 days 12:57:00,4.107,4.1075,4.104,4.1045,53168,137,0
64,2021-03-18,0 days 12:56:00,4.108,4.1095,4.107,4.107,53030,92,0
65,2021-03-17,0 days 13:00:00,4.117,4.122,4.116,4.1195,47166,636,0
66,2021-03-17,0 days 12:59:00,4.1175,4.1175,4.1155,4.117,46409,175,0
67,2021-03-17,0 days 12:58:00,4.119,4.119,4.1175,4.1175,46220,73,0
68,2021-03-17,0 days 12:57:00,4.121,4.121,4.119,4.119,46147,31,0
69,2021-03-17,0 days 12:56:00,4.122,4.1225,4.1205,4.121,46116,67,0
70,2021-03-16,0 days 13:00:00,4.069,4.0735,4.067,4.072,62958,703,0
71,2021-03-16,0 days 12:59:00,4.067,4.069,4.067,4.068,62034,105,0
72,2021-03-16,0 days 12:58:00,4.065,4.067,4.0645,4.067,61925,90,0
73,2021-03-16,0 days 12:57:00,4.065,4.065,4.063,4.0645,61835,66,0
74,2021-03-16,0 days 12:56:00,4.065,4.066,4.0645,4.065,61757,64,0
75,2021-03-15,0 days 13:00:00,4.1415,4.144,4.1385,4.1395,53547,917,0
76,2021-03-15,0 days 12:59:00,4.1415,4.1445,4.1405,4.142,52534,340,0
77,2021-03-15,0 days 12:58:00,4.143,4.1435,4.1405,4.141,52167,188,0
78,2021-03-15,0 days 12:57:00,4.1455,4.1455,4.1425,4.1425,51977,173,0
79,2021-03-15,0 days 12:56:00,4.1505,4.1505,4.145,4.1455,51804,136,0
80,2021-03-12,0 days 13:00:00,4.139,4.143,4.1375,4.1425,62650,826,0
