,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,2.455,2.458,2.455,2.457,121905,2203,0
1,2021-04-06,0 days 14:29:00,2.458,2.458,2.453,2.456,117407,1744,0
2,2021-04-06,0 days 14:28:00,2.461,2.461,2.456,2.458,114142,1698,0
3,2021-04-06,0 days 14:27:00,2.463,2.465,2.461,2.462,111294,362,0
4,2021-04-06,0 days 14:26:00,2.464,2.465,2.462,2.464,110831,361,0
5,2021-04-05,0 days 14:30:00,2.512,2.513,2.507,2.509,129355,1430,0
6,2021-04-05,0 days 14:29:00,2.513,2.515,2.511,2.512,126102,954,0
7,2021-04-05,0 days 14:28:00,2.514,2.514,2.512,2.514,123686,248,0
8,2021-04-05,0 days 14:27:00,2.516,2.517,2.513,2.513,122525,289,0
9,2021-04-05,0 days 14:26:00,2.512,2.515,2.511,2.515,121929,269,0
10,2021-04-01,0 days 14:30:00,2.638,2.641,2.637,2.641,102725,1003,0
11,2021-04-01,0 days 14:29:00,2.638,2.64,2.636,2.638,101174,1100,0
12,2021-04-01,0 days 14:28:00,2.638,2.641,2.638,2.638,98576,265,0
13,2021-04-01,0 days 14:27:00,2.635,2.639,2.635,2.639,97775,105,0
14,2021-04-01,0 days 14:26:00,2.636,2.637,2.635,2.636,97548,92,0
15,2021-03-31,0 days 14:30:00,2.607,2.609,2.604,2.605,80992,1183,0
16,2021-03-31,0 days 14:29:00,2.609,2.612,2.607,2.607,79088,929,0
17,2021-03-31,0 days 14:28:00,2.61,2.61,2.609,2.61,76878,75,0
18,2021-03-31,0 days 14:27:00,2.609,2.609,2.608,2.609,76262,104,0
19,2021-03-31,0 days 14:26:00,2.607,2.608,2.607,2.608,76137,81,0
20,2021-03-30,0 days 14:30:00,2.624,2.625,2.62,2.621,90887,1263,0
21,2021-03-30,0 days 14:29:00,2.621,2.625,2.618,2.624,88899,1320,0
22,2021-03-30,0 days 14:28:00,2.626,2.626,2.62,2.621,87020,340,0
23,2021-03-30,0 days 14:27:00,2.627,2.628,2.625,2.626,86644,280,0
24,2021-03-30,0 days 14:26:00,2.626,2.628,2.626,2.626,86312,172,0
25,2021-03-29,0 days 14:30:00,2.655,2.655,2.651,2.652,89848,1565,0
26,2021-03-29,0 days 14:29:00,2.653,2.656,2.65,2.655,87612,1510,0
27,2021-03-29,0 days 14:28:00,2.653,2.655,2.652,2.654,85712,438,0
28,2021-03-29,0 days 14:27:00,2.655,2.656,2.653,2.653,85239,487,0
29,2021-03-29,0 days 14:26:00,2.654,2.655,2.654,2.655,84622,686,0
30,2021-03-26,0 days 14:30:00,2.619,2.623,2.618,2.621,65881,1188,0
31,2021-03-26,0 days 14:29:00,2.615,2.62,2.614,2.619,63631,763,0
32,2021-03-26,0 days 14:28:00,2.612,2.618,2.612,2.615,62148,413,0
33,2021-03-26,0 days 14:27:00,2.611,2.612,2.61,2.611,61600,261,0
34,2021-03-26,0 days 14:26:00,2.613,2.614,2.61,2.61,61302,494,0
35,2021-03-25,0 days 14:30:00,2.617,2.618,2.615,2.615,95163,805,0
36,2021-03-25,0 days 14:29:00,2.614,2.618,2.613,2.617,93831,734,0
37,2021-03-25,0 days 14:28:00,2.613,2.615,2.611,2.614,92466,231,0
38,2021-03-25,0 days 14:27:00,2.612,2.613,2.612,2.612,92160,58,0
39,2021-03-25,0 days 14:26:00,2.613,2.614,2.612,2.612,92071,195,0
40,2021-03-24,0 days 14:30:00,2.517,2.519,2.516,2.519,39536,321,0
41,2021-03-24,0 days 14:29:00,2.517,2.521,2.516,2.517,39096,676,0
42,2021-03-24,0 days 14:28:00,2.517,2.519,2.517,2.517,37767,52,0
43,2021-03-24,0 days 14:27:00,2.517,2.518,2.517,2.518,37653,16,0
44,2021-03-24,0 days 14:26:00,2.519,2.519,2.516,2.517,37626,100,0
45,2021-03-23,0 days 14:30:00,2.507,2.51,2.507,2.509,72422,437,0
46,2021-03-23,0 days 14:29:00,2.512,2.512,2.507,2.508,70368,533,0
47,2021-03-23,0 days 14:28:00,2.51,2.516,2.51,2.512,68839,337,0
48,2021-03-23,0 days 14:27:00,2.508,2.51,2.507,2.51,68372,136,0
49,2021-03-23,0 days 14:26:00,2.508,2.511,2.506,2.508,67315,458,0
50,2021-03-22,0 days 14:30:00,2.581,2.585,2.581,2.581,84739,1227,0
51,2021-03-22,0 days 14:29:00,2.581,2.584,2.58,2.582,81820,647,0
52,2021-03-22,0 days 14:28:00,2.582,2.582,2.579,2.58,80830,209,0
53,2021-03-22,0 days 14:27:00,2.579,2.581,2.578,2.581,80178,173,0
54,2021-03-22,0 days 14:26:00,2.579,2.581,2.577,2.579,79997,176,0
55,2021-03-19,0 days 14:30:00,2.533,2.535,2.531,2.533,61838,461,0
56,2021-03-19,0 days 14:29:00,2.539,2.54,2.533,2.533,61056,647,0
57,2021-03-19,0 days 14:28:00,2.537,2.54,2.537,2.538,60203,221,0
58,2021-03-19,0 days 14:27:00,2.535,2.538,2.535,2.538,59761,167,0
59,2021-03-19,0 days 14:26:00,2.533,2.536,2.532,2.536,59524,126,0
60,2021-03-18,0 days 14:30:00,2.479,2.486,2.478,2.485,129104,717,0
61,2021-03-18,0 days 14:29:00,2.478,2.485,2.477,2.479,128279,935,0
62,2021-03-18,0 days 14:28:00,2.479,2.48,2.477,2.478,125487,176,0
63,2021-03-18,0 days 14:27:00,2.477,2.481,2.477,2.478,125230,323,0
64,2021-03-18,0 days 14:26:00,2.476,2.478,2.476,2.478,124519,107,0
65,2021-03-17,0 days 14:30:00,2.528,2.532,2.526,2.53,77711,812,0
66,2021-03-17,0 days 14:29:00,2.526,2.529,2.526,2.528,76127,577,0
67,2021-03-17,0 days 14:28:00,2.522,2.531,2.522,2.527,75085,269,0
68,2021-03-17,0 days 14:27:00,2.523,2.524,2.522,2.522,73047,204,0
69,2021-03-17,0 days 14:26:00,2.523,2.523,2.521,2.523,72757,100,0
70,2021-03-16,0 days 14:30:00,2.563,2.563,2.556,2.558,78366,948,0
71,2021-03-16,0 days 14:29:00,2.562,2.566,2.56,2.562,77019,823,0
72,2021-03-16,0 days 14:28:00,2.559,2.564,2.558,2.562,74735,585,0
73,2021-03-16,0 days 14:27:00,2.557,2.561,2.556,2.559,73878,722,0
74,2021-03-16,0 days 14:26:00,2.553,2.557,2.553,2.557,72320,327,0
75,2021-03-15,0 days 14:30:00,2.485,2.486,2.483,2.485,117219,1464,0
76,2021-03-15,0 days 14:29:00,2.483,2.486,2.481,2.485,115321,1203,0
77,2021-03-15,0 days 14:28:00,2.489,2.491,2.482,2.483,113428,700,0
78,2021-03-15,0 days 14:27:00,2.49,2.491,2.489,2.489,112502,228,0
79,2021-03-15,0 days 14:26:00,2.489,2.491,2.489,2.49,112204,186,0
80,2021-03-12,0 days 14:30:00,2.602,2.602,2.594,2.597,86615,2038,0
81,2021-03-12,0 days 14:29:00,2.606,2.606,2.6,2.602,83860,1712,0
82,2021-03-12,0 days 14:28:00,2.607,2.608,2.604,2.605,81756,249,0
83,2021-03-12,0 days 14:27:00,2.607,2.609,2.607,2.607,81457,82,0
84,2021-03-12,0 days 14:26:00,2.608,2.609,2.607,2.608,81199,229,0
85,2021-03-11,0 days 14:30:00,2.669,2.672,2.667,2.669,105071,1370,0
86,2021-03-11,0 days 14:29:00,2.666,2.669,2.664,2.669,100866,1002,0
