,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 13:05:00,2690.5,2690.5,2690.5,2690.5,1164,3,0
1,2021-04-06,0 days 13:04:00,2690.0,2690.0,2689.0,2689.0,1161,2,0
2,2021-04-06,0 days 13:01:00,2692.0,2692.0,2692.0,2692.0,1159,1,0
3,2021-04-05,0 days 13:05:00,2655.0,2655.0,2655.0,2655.0,541,1,0
4,2021-04-01,0 days 13:04:00,2654.5,2654.5,2654.5,2654.5,829,2,0
5,2021-04-01,0 days 13:01:00,2657.0,2657.0,2646.0,2653.5,827,13,0
6,2021-03-31,0 days 13:02:00,2617.5,2617.5,2617.5,2617.5,805,1,0
7,2021-03-31,0 days 13:01:00,2618.0,2618.0,2615.5,2615.5,804,3,0
8,2021-03-30,0 days 13:05:00,2567.5,2567.5,2567.5,2567.5,1537,1,0
9,2021-03-30,0 days 13:04:00,2567.5,2567.5,2567.5,2567.5,1536,1,0
10,2021-03-30,0 days 13:01:00,2570.5,2570.5,2570.0,2570.0,1535,3,0
11,2021-03-29,0 days 13:05:00,2530.0,2530.0,2530.0,2530.0,2204,2,0
12,2021-03-29,0 days 13:04:00,2531.5,2531.5,2531.5,2531.5,2202,1,0
13,2021-03-29,0 days 13:03:00,2533.5,2533.5,2530.0,2530.0,2201,10,0
14,2021-03-29,0 days 13:02:00,2533.5,2535.5,2533.5,2535.5,2191,3,0
15,2021-03-29,0 days 13:01:00,2534.0,2534.0,2534.0,2534.0,2188,1,0
16,2021-03-26,0 days 13:05:00,2667.5,2668.0,2667.5,2668.0,1166,2,0
17,2021-03-26,0 days 13:04:00,2664.5,2667.0,2664.5,2667.0,1164,2,0
18,2021-03-26,0 days 13:03:00,2669.0,2669.5,2669.0,2669.5,1162,2,0
19,2021-03-26,0 days 13:02:00,2671.5,2674.5,2668.0,2669.5,1160,5,0
20,2021-03-26,0 days 13:01:00,2668.5,2675.5,2668.0,2674.5,1155,22,0
21,2021-03-25,0 days 13:03:00,2611.5,2611.5,2611.0,2611.0,1004,5,0
22,2021-03-25,0 days 13:02:00,2615.5,2615.5,2612.5,2612.5,999,6,0
23,2021-03-25,0 days 13:01:00,2615.5,2615.5,2613.5,2615.0,993,8,0
24,2021-03-24,0 days 13:04:00,2634.0,2634.0,2634.0,2634.0,1015,1,0
25,2021-03-24,0 days 13:03:00,2634.5,2634.5,2634.5,2634.5,1014,1,0
26,2021-03-24,0 days 13:02:00,2635.5,2635.5,2635.5,2635.5,1013,1,0
27,2021-03-24,0 days 13:01:00,2639.0,2641.0,2638.5,2638.5,1012,5,0
28,2021-03-23,0 days 13:01:00,2614.5,2615.0,2614.5,2615.0,1343,2,0
29,2021-03-22,0 days 13:05:00,2605.5,2606.0,2605.5,2606.0,1392,2,0
30,2021-03-22,0 days 13:02:00,2602.5,2602.5,2602.5,2602.5,1390,3,0
31,2021-03-19,0 days 13:04:00,2632.5,2635.5,2632.5,2635.5,1982,2,0
32,2021-03-19,0 days 13:02:00,2631.0,2631.0,2631.0,2631.0,1980,2,0
33,2021-03-19,0 days 13:01:00,2629.0,2629.0,2628.0,2628.0,1978,2,0
34,2021-03-18,0 days 13:05:00,2669.0,2670.0,2669.0,2670.0,3697,3,0
35,2021-03-18,0 days 13:04:00,2674.5,2674.5,2674.5,2674.5,3694,2,0
36,2021-03-18,0 days 13:03:00,2686.0,2686.0,2678.5,2681.0,3692,6,0
