,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 13:05:00,1239.9,1241.6,1239.5,1241.1,11550,131,0
1,2021-04-06,0 days 13:04:00,1241.2,1241.9,1239.3,1240.0,11414,183,0
2,2021-04-06,0 days 13:03:00,1241.5,1242.1,1240.8,1242.1,11228,54,0
3,2021-04-06,0 days 13:02:00,1242.5,1242.5,1240.4,1240.7,11174,55,0
4,2021-04-06,0 days 13:01:00,1241.3,1242.7,1241.3,1242.7,11119,26,0
5,2021-04-05,0 days 13:05:00,1210.0,1210.7,1209.1,1209.1,6441,81,0
6,2021-04-05,0 days 13:04:00,1208.4,1210.7,1208.4,1210.3,6356,79,0
7,2021-04-05,0 days 13:03:00,1208.0,1208.6,1207.6,1208.0,6274,12,0
8,2021-04-05,0 days 13:02:00,1208.2,1208.8,1207.7,1207.7,6262,17,0
9,2021-04-05,0 days 13:01:00,1207.9,1208.4,1207.4,1208.0,6245,14,0
10,2021-04-01,0 days 13:05:00,1209.0,1210.0,1208.6,1208.6,9441,133,0
11,2021-04-01,0 days 13:04:00,1206.6,1209.1,1206.6,1209.1,9303,123,0
12,2021-04-01,0 days 13:03:00,1206.2,1207.1,1206.1,1206.7,9177,29,0
13,2021-04-01,0 days 13:02:00,1205.7,1206.0,1205.7,1206.0,9148,7,0
14,2021-04-01,0 days 13:01:00,1206.1,1206.1,1205.1,1205.2,9141,12,0
15,2021-03-31,0 days 13:05:00,1191.5,1192.4,1191.1,1192.0,9828,263,0
16,2021-03-31,0 days 13:04:00,1192.4,1192.9,1190.2,1191.2,9562,252,0
17,2021-03-31,0 days 13:03:00,1193.2,1194.4,1192.6,1192.9,9307,115,0
18,2021-03-31,0 days 13:02:00,1192.3,1193.4,1192.3,1193.4,9189,25,0
19,2021-03-31,0 days 13:01:00,1193.1,1193.1,1192.0,1192.4,9156,34,0
20,2021-03-30,0 days 13:05:00,1161.0,1161.7,1160.3,1161.2,13459,184,0
21,2021-03-30,0 days 13:04:00,1161.0,1161.4,1159.2,1160.5,13270,204,0
22,2021-03-30,0 days 13:03:00,1161.3,1161.7,1160.6,1160.6,13062,61,0
23,2021-03-30,0 days 13:02:00,1161.9,1162.1,1161.0,1161.6,13001,47,0
24,2021-03-30,0 days 13:01:00,1162.6,1162.8,1161.8,1162.0,12952,52,0
25,2021-03-29,0 days 13:05:00,1180.5,1180.7,1179.0,1180.7,9839,14,0
26,2021-03-29,0 days 13:04:00,1183.6,1184.1,1181.0,1181.0,9805,25,0
27,2021-03-29,0 days 13:03:00,1185.8,1185.8,1183.9,1183.9,9780,6,0
28,2021-03-29,0 days 13:02:00,1184.8,1184.8,1184.8,1184.8,9774,2,0
29,2021-03-29,0 days 13:01:00,1184.0,1184.5,1184.0,1184.5,9741,4,0
30,2021-03-26,0 days 13:05:00,1178.0,1178.2,1177.6,1177.7,14684,110,0
31,2021-03-26,0 days 13:04:00,1177.8,1178.2,1177.5,1178.1,14546,71,0
32,2021-03-26,0 days 13:03:00,1178.3,1179.1,1178.1,1178.1,14473,56,0
33,2021-03-26,0 days 13:02:00,1178.7,1178.7,1178.1,1178.2,14415,19,0
34,2021-03-26,0 days 13:01:00,1179.1,1179.1,1178.5,1179.1,14396,30,0
35,2021-03-25,0 days 13:05:00,1153.8,1155.1,1153.7,1154.7,21952,221,0
36,2021-03-25,0 days 13:04:00,1154.0,1154.7,1153.2,1153.9,21670,138,0
37,2021-03-25,0 days 13:03:00,1156.3,1156.4,1152.6,1154.4,21498,68,0
38,2021-03-25,0 days 13:02:00,1157.9,1158.3,1156.2,1156.5,21146,27,0
39,2021-03-25,0 days 13:01:00,1158.3,1158.6,1157.6,1158.0,21102,16,0
40,2021-03-24,0 days 13:05:00,1180.4,1180.7,1179.6,1180.2,14712,141,0
41,2021-03-24,0 days 13:04:00,1178.8,1181.0,1178.8,1180.5,14520,104,0
42,2021-03-24,0 days 13:03:00,1179.7,1180.3,1178.6,1178.7,14351,62,0
43,2021-03-24,0 days 13:02:00,1181.2,1181.3,1180.2,1180.3,14270,22,0
44,2021-03-24,0 days 13:01:00,1181.4,1181.6,1181.0,1181.0,14214,9,0
45,2021-03-23,0 days 13:05:00,1174.6,1174.8,1173.8,1174.6,12939,107,0
46,2021-03-23,0 days 13:04:00,1175.1,1175.4,1174.4,1174.8,12826,113,0
47,2021-03-23,0 days 13:03:00,1175.5,1176.0,1175.3,1175.3,12658,27,0
48,2021-03-23,0 days 13:02:00,1175.4,1175.4,1175.1,1175.1,12631,5,0
49,2021-03-23,0 days 13:01:00,1175.5,1176.1,1175.5,1176.0,12617,12,0
50,2021-03-22,0 days 13:05:00,1184.8,1185.8,1183.7,1184.5,17491,139,0
51,2021-03-22,0 days 13:04:00,1183.4,1184.5,1181.7,1184.5,17302,129,0
52,2021-03-22,0 days 13:03:00,1183.9,1184.5,1183.1,1183.3,17164,36,0
53,2021-03-22,0 days 13:02:00,1184.0,1184.0,1183.4,1183.6,17125,7,0
54,2021-03-22,0 days 13:01:00,1185.2,1185.4,1184.1,1184.1,17115,27,0
55,2021-03-19,0 days 13:05:00,1199.7,1201.0,1199.7,1200.7,15764,153,0
56,2021-03-19,0 days 13:04:00,1199.2,1200.3,1199.2,1199.7,15606,131,0
57,2021-03-19,0 days 13:03:00,1199.0,1199.7,1198.8,1199.2,15473,9,0
58,2021-03-19,0 days 13:02:00,1199.1,1199.5,1198.6,1199.2,15464,21,0
59,2021-03-19,0 days 13:01:00,1199.2,1199.7,1198.6,1198.9,15442,42,0
60,2021-03-18,0 days 13:05:00,1216.7,1218.8,1216.4,1218.0,14734,118,0
61,2021-03-18,0 days 13:04:00,1217.1,1217.7,1216.2,1216.6,14614,102,0
62,2021-03-18,0 days 13:03:00,1218.6,1219.1,1217.3,1217.3,14512,83,0
63,2021-03-18,0 days 13:02:00,1217.0,1217.9,1217.0,1217.9,14429,11,0
64,2021-03-18,0 days 13:01:00,1216.9,1217.7,1216.9,1217.7,14418,28,0
65,2021-03-17,0 days 13:05:00,1199.5,1200.0,1198.8,1199.5,10472,145,0
66,2021-03-17,0 days 13:04:00,1200.0,1200.0,1198.8,1199.6,10324,111,0
67,2021-03-17,0 days 13:03:00,1201.0,1201.4,1199.6,1199.6,10213,37,0
68,2021-03-17,0 days 13:02:00,1201.6,1201.7,1200.3,1200.7,10156,35,0
69,2021-03-17,0 days 13:01:00,1200.5,1201.8,1200.1,1201.3,10120,47,0
70,2021-03-16,0 days 13:05:00,1218.6,1221.8,1218.2,1220.3,15811,169,0
71,2021-03-16,0 days 13:04:00,1217.9,1218.7,1217.7,1218.4,15638,65,0
72,2021-03-16,0 days 13:03:00,1218.6,1218.8,1218.1,1218.1,15571,11,0
73,2021-03-16,0 days 13:02:00,1218.0,1219.4,1218.0,1218.6,15560,31,0
74,2021-03-16,0 days 13:01:00,1217.6,1218.4,1217.6,1218.1,15529,27,0
75,2021-03-15,0 days 13:05:00,1209.3,1210.2,1209.1,1209.8,9702,106,0
76,2021-03-15,0 days 13:04:00,1209.7,1209.7,1209.1,1209.4,9590,72,0
77,2021-03-15,0 days 13:03:00,1209.8,1210.0,1209.1,1209.4,9511,33,0
78,2021-03-15,0 days 13:02:00,1208.3,1209.7,1208.2,1209.6,9470,12,0
79,2021-03-15,0 days 13:01:00,1207.7,1208.7,1207.7,1208.7,9374,12,0
80,2021-03-12,0 days 13:05:00,1200.4,1201.1,1199.6,1200.5,12036,141,0
81,2021-03-12,0 days 13:04:00,1199.9,1201.1,1199.7,1200.3,11895,96,0
82,2021-03-12,0 days 13:03:00,1199.9,1201.0,1199.4,1199.5,11799,54,0
83,2021-03-12,0 days 13:02:00,1200.3,1200.3,1199.4,1199.6,11744,19,0
84,2021-03-12,0 days 13:01:00,1200.0,1200.8,1199.8,1200.0,11725,21,0
85,2021-03-11,0 days 13:05:00,1202.6,1203.0,1200.5,1200.5,14979,66,0
86,2021-03-11,0 days 13:04:00,1200.9,1203.5,1200.9,1202.1,14818,100,0
87,2021-03-11,0 days 13:03:00,1196.9,1201.6,1196.7,1201.0,14414,148,0
88,2021-03-11,0 days 13:02:00,1197.1,1197.5,1196.7,1196.8,14223,15,0
89,2021-03-11,0 days 13:01:00,1197.2,1197.3,1196.3,1197.2,13936,15,0
90,2021-03-10,0 days 13:05:00,1201.7,1203.0,1200.3,1201.1,12720,173,0
91,2021-03-10,0 days 13:04:00,1203.3,1203.3,1201.2,1201.5,12111,114,0
92,2021-03-10,0 days 13:03:00,1202.9,1203.1,1201.1,1202.5,11973,19,0
93,2021-03-10,0 days 13:02:00,1204.2,1204.8,1202.0,1202.7,11953,56,0
94,2021-03-10,0 days 13:01:00,1203.8,1204.2,1203.8,1203.8,11896,7,0
95,2021-03-09,0 days 13:05:00,1175.2,1176.4,1174.8,1175.7,12519,145,0
96,2021-03-09,0 days 13:04:00,1174.2,1176.0,1173.7,1175.1,12174,163,0
97,2021-03-09,0 days 13:03:00,1173.3,1174.4,1172.5,1174.0,11713,128,0
98,2021-03-09,0 days 13:02:00,1174.1,1174.1,1172.6,1173.0,11346,27,0
99,2021-03-09,0 days 13:01:00,1174.1,1174.3,1174.0,1174.0,11207,7,0
100,2021-03-08,0 days 13:05:00,1152.7,1152.7,1150.8,1151.7,18940,215,0
101,2021-03-08,0 days 13:04:00,1153.4,1153.9,1152.4,1152.6,18354,167,0
102,2021-03-08,0 days 13:03:00,1152.9,1154.6,1152.9,1153.4,17941,77,0
103,2021-03-08,0 days 13:02:00,1152.1,1153.4,1152.1,1152.9,17715,38,0
104,2021-03-08,0 days 13:01:00,1152.8,1152.8,1152.1,1152.1,17672,19,0
105,2021-03-05,0 days 13:05:00,1128.4,1128.7,1127.5,1128.4,15648,153,0
106,2021-03-05,0 days 13:04:00,1127.7,1129.0,1127.6,1128.5,15120,96,0
107,2021-03-05,0 days 13:03:00,1129.3,1129.7,1127.4,1128.1,14662,60,0
108,2021-03-05,0 days 13:02:00,1131.5,1131.8,1129.2,1129.4,14602,52,0
109,2021-03-05,0 days 13:01:00,1131.1,1131.8,1130.9,1131.8,14550,36,0
110,2021-03-04,0 days 13:05:00,1136.7,1137.2,1124.7,1125.4,17745,394,0
111,2021-03-04,0 days 13:04:00,1137.5,1141.6,1135.9,1136.3,17333,322,0
112,2021-03-04,0 days 13:03:00,1135.5,1137.3,1135.0,1136.8,16992,109,0
113,2021-03-04,0 days 13:02:00,1125.5,1138.0,1125.4,1135.5,16883,153,0
114,2021-03-04,0 days 13:01:00,1130.5,1132.5,1125.5,1126.3,16729,182,0
115,2021-03-03,0 days 13:05:00,1180.5,1182.5,1180.5,1181.4,13978,250,0
116,2021-03-03,0 days 13:04:00,1184.3,1184.7,1180.3,1180.7,13467,293,0
117,2021-03-03,0 days 13:03:00,1186.0,1186.1,1184.4,1184.7,12996,40,0
118,2021-03-03,0 days 13:02:00,1186.8,1186.8,1185.7,1186.3,12956,23,0
119,2021-03-03,0 days 13:01:00,1186.5,1187.0,1186.4,1187.0,12772,17,0
120,2021-03-02,0 days 13:05:00,1214.1,1215.2,1213.8,1215.1,14363,101,0
121,2021-03-02,0 days 13:04:00,1214.5,1214.5,1213.4,1214.0,14246,78,0
122,2021-03-02,0 days 13:03:00,1214.3,1214.3,1213.3,1214.3,14154,22,0
123,2021-03-02,0 days 13:02:00,1213.7,1214.8,1213.3,1214.4,14106,20,0
124,2021-03-02,0 days 13:01:00,1212.6,1213.2,1212.3,1212.7,14082,33,0
125,2021-03-01,0 days 13:05:00,1191.3,1192.9,1190.9,1192.1,15955,132,0
126,2021-03-01,0 days 13:04:00,1190.3,1191.6,1190.2,1191.3,15748,109,0
127,2021-03-01,0 days 13:03:00,1191.6,1191.6,1190.1,1190.2,15565,60,0
128,2021-03-01,0 days 13:02:00,1193.1,1193.1,1191.0,1191.9,15492,30,0
129,2021-03-01,0 days 13:01:00,1192.7,1193.8,1192.7,1193.0,15462,30,0
130,2021-02-26,0 days 13:05:00,1184.5,1186.7,1183.7,1185.7,19897,150,0
131,2021-02-26,0 days 13:04:00,1184.6,1186.8,1184.4,1185.0,19711,100,0
132,2021-02-26,0 days 13:03:00,1185.7,1186.9,1184.3,1185.3,19588,36,0
133,2021-02-26,0 days 13:02:00,1186.9,1186.9,1185.6,1186.1,19551,32,0
134,2021-02-26,0 days 13:01:00,1188.6,1188.7,1187.1,1187.5,19519,28,0
135,2021-02-25,0 days 13:05:00,1233.2,1235.1,1229.2,1229.2,13458,218,0
136,2021-02-25,0 days 13:04:00,1231.7,1234.2,1227.5,1233.9,13053,253,0
