,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:30:00,1.9653,1.9664,1.9635,1.9641,42841,752,0
1,2021-04-06,0 days 14:29:00,1.9657,1.9703,1.965,1.9652,41187,747,0
2,2021-04-06,0 days 14:28:00,1.9699,1.9702,1.9632,1.9657,39850,358,0
3,2021-04-06,0 days 14:27:00,1.9705,1.9715,1.97,1.9703,39211,65,0
4,2021-04-06,0 days 14:26:00,1.9744,1.9744,1.9706,1.9706,38962,39,0
5,2021-04-05,0 days 14:30:00,1.9608,1.9648,1.9604,1.9632,35071,505,0
6,2021-04-05,0 days 14:29:00,1.9577,1.9617,1.9574,1.9611,33983,497,0
7,2021-04-05,0 days 14:28:00,1.9566,1.959,1.9549,1.9587,33050,142,0
8,2021-04-05,0 days 14:27:00,1.9603,1.9611,1.9564,1.9564,32871,85,0
9,2021-04-05,0 days 14:26:00,1.9557,1.9627,1.9556,1.9605,32743,139,0
10,2021-04-01,0 days 14:30:00,2.022,2.024,2.02,2.0208,46153,1118,0
11,2021-04-01,0 days 14:29:00,2.0264,2.0264,2.02,2.022,44743,957,0
12,2021-04-01,0 days 14:28:00,2.0252,2.0269,2.0237,2.0264,43164,415,0
13,2021-04-01,0 days 14:27:00,2.0217,2.0262,2.0207,2.0255,42279,252,0
14,2021-04-01,0 days 14:26:00,2.0244,2.0247,2.0211,2.0214,41523,278,0
15,2021-03-31,0 days 14:30:00,1.9604,1.9623,1.9571,1.9576,42525,1010,0
16,2021-03-31,0 days 14:29:00,1.9513,1.9642,1.9513,1.9598,41090,929,0
17,2021-03-31,0 days 14:28:00,1.9586,1.9587,1.9511,1.952,39750,166,0
18,2021-03-31,0 days 14:27:00,1.9606,1.9606,1.9564,1.9591,39331,51,0
19,2021-03-31,0 days 14:26:00,1.9564,1.9624,1.9554,1.9599,39016,96,0
20,2021-03-30,0 days 14:30:00,1.997,1.9979,1.9963,1.9967,48470,856,0
21,2021-03-30,0 days 14:29:00,1.9924,1.997,1.992,1.997,46930,802,0
22,2021-03-30,0 days 14:28:00,1.9967,1.9975,1.9913,1.992,45695,406,0
23,2021-03-30,0 days 14:27:00,1.996,1.9972,1.9957,1.9968,45125,124,0
24,2021-03-30,0 days 14:26:00,1.9964,1.9972,1.9947,1.9957,44852,57,0
25,2021-03-29,0 days 14:30:00,2.0009,2.0023,2.0007,2.0016,47668,578,0
26,2021-03-29,0 days 14:29:00,1.9999,2.0014,1.9994,2.0009,46750,584,0
27,2021-03-29,0 days 14:28:00,1.9997,2.0,1.9985,1.9998,45753,301,0
28,2021-03-29,0 days 14:27:00,1.9985,2.0,1.9985,1.9995,45366,73,0
29,2021-03-29,0 days 14:26:00,1.9976,1.9987,1.9971,1.9984,45251,226,0
30,2021-03-26,0 days 14:30:00,1.9672,1.9677,1.9658,1.9671,17040,67,0
31,2021-03-26,0 days 14:29:00,1.9691,1.9691,1.9665,1.9672,16685,86,0
32,2021-03-26,0 days 14:28:00,1.9706,1.9706,1.9685,1.9695,16192,26,0
33,2021-03-26,0 days 14:27:00,1.9697,1.9713,1.9695,1.9709,16076,10,0
34,2021-03-26,0 days 14:26:00,1.9716,1.9716,1.969,1.969,15993,21,0
35,2021-03-25,0 days 14:30:00,1.9211,1.9223,1.9195,1.9202,12634,111,0
36,2021-03-25,0 days 14:29:00,1.9237,1.9237,1.9208,1.9212,12443,39,0
37,2021-03-25,0 days 14:28:00,1.9268,1.9268,1.922,1.9237,12274,54,0
38,2021-03-25,0 days 14:27:00,1.9276,1.9276,1.9265,1.9265,11792,3,0
39,2021-03-25,0 days 14:26:00,1.9276,1.9277,1.9265,1.9273,11755,21,0
40,2021-03-24,0 days 14:30:00,1.9895,1.9897,1.9872,1.9882,18116,281,0
41,2021-03-24,0 days 14:29:00,1.9911,1.9911,1.9885,1.9896,17425,328,0
42,2021-03-24,0 days 14:28:00,1.9875,1.9915,1.9873,1.9908,16946,291,0
43,2021-03-24,0 days 14:27:00,1.9866,1.9882,1.986,1.9882,16512,60,0
44,2021-03-24,0 days 14:26:00,1.987,1.9878,1.9862,1.9862,16371,39,0
45,2021-03-23,0 days 14:30:00,1.8971,1.8984,1.8951,1.8957,16536,178,0
46,2021-03-23,0 days 14:29:00,1.8913,1.8981,1.8909,1.8969,16236,247,0
47,2021-03-23,0 days 14:28:00,1.8923,1.8964,1.8904,1.891,15858,184,0
48,2021-03-23,0 days 14:27:00,1.889,1.8923,1.8888,1.8921,15489,54,0
49,2021-03-23,0 days 14:26:00,1.89,1.89,1.8877,1.8895,15350,29,0
50,2021-03-22,0 days 14:30:00,1.9599,1.9606,1.9584,1.9589,18522,240,0
51,2021-03-22,0 days 14:29:00,1.9608,1.9611,1.9591,1.9598,18160,210,0
52,2021-03-22,0 days 14:28:00,1.9612,1.9649,1.9597,1.9609,17819,148,0
53,2021-03-22,0 days 14:27:00,1.9595,1.9622,1.9595,1.9602,17421,158,0
54,2021-03-22,0 days 14:26:00,1.9562,1.9602,1.9562,1.9596,17203,66,0
