,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 13:25:00,25.26,25.26,25.21,25.21,47304,710,0
1,2021-04-06,0 days 13:24:00,25.255,25.265,25.255,25.265,46379,42,0
2,2021-04-06,0 days 13:23:00,25.265,25.265,25.25,25.25,46321,36,0
3,2021-04-06,0 days 13:22:00,25.255,25.265,25.25,25.26,46263,44,0
4,2021-04-06,0 days 13:21:00,25.26,25.26,25.25,25.26,46198,66,0
5,2021-04-05,0 days 13:25:00,24.765,24.805,24.765,24.8,33523,496,0
6,2021-04-05,0 days 13:24:00,24.77,24.77,24.76,24.76,32801,62,0
7,2021-04-05,0 days 13:23:00,24.765,24.775,24.755,24.775,32608,97,0
8,2021-04-05,0 days 13:22:00,24.785,24.785,24.765,24.765,32402,80,0
9,2021-04-05,0 days 13:21:00,24.795,24.8,24.78,24.78,32213,68,0
10,2021-04-01,0 days 13:25:00,24.945,24.955,24.93,24.935,55047,1156,0
11,2021-04-01,0 days 13:24:00,24.915,24.945,24.915,24.945,53833,425,0
12,2021-04-01,0 days 13:23:00,24.915,24.915,24.91,24.915,53408,52,0
13,2021-04-01,0 days 13:22:00,24.905,24.92,24.905,24.915,53352,187,0
14,2021-04-01,0 days 13:21:00,24.885,24.905,24.885,24.905,53164,164,0
15,2021-03-31,0 days 13:25:00,24.52,24.545,24.52,24.535,57145,748,0
16,2021-03-31,0 days 13:24:00,24.505,24.515,24.495,24.515,56345,128,0
17,2021-03-31,0 days 13:23:00,24.525,24.525,24.5,24.5,56217,121,0
18,2021-03-31,0 days 13:22:00,24.475,24.525,24.475,24.525,56096,164,0
19,2021-03-31,0 days 13:21:00,24.48,24.48,24.465,24.48,55931,359,0
20,2021-03-30,0 days 13:25:00,24.125,24.15,24.12,24.14,60923,518,0
21,2021-03-30,0 days 13:24:00,24.125,24.13,24.11,24.12,60105,208,0
22,2021-03-30,0 days 13:23:00,24.125,24.13,24.12,24.125,59891,36,0
23,2021-03-30,0 days 13:22:00,24.115,24.135,24.115,24.13,59855,124,0
24,2021-03-30,0 days 13:21:00,24.115,24.12,24.1,24.12,59731,105,0
25,2021-03-29,0 days 13:25:00,24.77,24.78,24.76,24.765,47558,232,0
26,2021-03-29,0 days 13:24:00,24.78,24.785,24.765,24.77,46851,103,0
27,2021-03-29,0 days 13:23:00,24.78,24.785,24.775,24.78,46748,47,0
28,2021-03-29,0 days 13:22:00,24.78,24.795,24.78,24.785,46701,50,0
29,2021-03-29,0 days 13:21:00,24.78,24.78,24.78,24.78,46625,20,0
30,2021-03-26,0 days 13:25:00,25.12,25.125,25.11,25.12,36548,238,0
31,2021-03-26,0 days 13:24:00,25.11,25.125,25.11,25.115,35811,71,0
32,2021-03-26,0 days 13:23:00,25.11,25.11,25.105,25.11,35740,31,0
33,2021-03-26,0 days 13:22:00,25.105,25.11,25.105,25.105,35709,25,0
34,2021-03-26,0 days 13:21:00,25.115,25.115,25.105,25.11,35684,22,0
35,2021-03-25,0 days 13:25:00,25.055,25.06,25.035,25.045,79347,448,0
36,2021-03-25,0 days 13:24:00,25.075,25.08,25.055,25.06,78462,126,0
37,2021-03-25,0 days 13:23:00,25.07,25.085,25.07,25.07,78336,74,0
38,2021-03-25,0 days 13:22:00,25.06,25.07,25.055,25.07,78262,68,0
39,2021-03-25,0 days 13:21:00,25.06,25.07,25.055,25.06,78194,112,0
40,2021-03-24,0 days 13:25:00,25.245,25.25,25.205,25.215,37765,428,0
41,2021-03-24,0 days 13:24:00,25.24,25.25,25.24,25.25,37155,85,0
42,2021-03-24,0 days 13:23:00,25.235,25.245,25.23,25.24,37070,60,0
43,2021-03-24,0 days 13:22:00,25.24,25.24,25.235,25.235,37010,32,0
44,2021-03-24,0 days 13:21:00,25.23,25.24,25.225,25.235,36978,44,0
45,2021-03-23,0 days 13:25:00,25.26,25.26,25.21,25.23,53326,590,0
46,2021-03-23,0 days 13:24:00,25.25,25.27,25.25,25.255,52692,75,0
47,2021-03-23,0 days 13:23:00,25.24,25.255,25.24,25.25,52617,107,0
48,2021-03-23,0 days 13:22:00,25.235,25.24,25.23,25.24,52510,72,0
49,2021-03-23,0 days 13:21:00,25.24,25.24,25.23,25.235,52438,104,0
50,2021-03-22,0 days 13:25:00,25.78,25.78,25.76,25.765,56265,566,0
51,2021-03-22,0 days 13:24:00,25.79,25.79,25.775,25.78,55587,123,0
52,2021-03-22,0 days 13:23:00,25.79,25.795,25.785,25.79,55464,69,0
53,2021-03-22,0 days 13:22:00,25.8,25.8,25.785,25.785,55395,81,0
54,2021-03-22,0 days 13:21:00,25.8,25.805,25.795,25.795,55314,54,0
55,2021-03-19,0 days 13:25:00,26.31,26.33,26.305,26.33,47171,257,0
56,2021-03-19,0 days 13:24:00,26.31,26.31,26.3,26.305,46892,45,0
57,2021-03-19,0 days 13:23:00,26.31,26.325,26.31,26.315,46847,65,0
58,2021-03-19,0 days 13:22:00,26.315,26.315,26.31,26.31,46782,39,0
59,2021-03-19,0 days 13:21:00,26.31,26.315,26.31,26.315,46743,35,0
60,2021-03-18,0 days 13:25:00,26.34,26.37,26.34,26.36,67148,530,0
61,2021-03-18,0 days 13:24:00,26.31,26.335,26.3,26.335,66601,147,0
62,2021-03-18,0 days 13:23:00,26.3,26.315,26.295,26.305,66454,102,0
63,2021-03-18,0 days 13:22:00,26.275,26.3,26.275,26.295,66352,138,0
64,2021-03-18,0 days 13:21:00,26.27,26.275,26.265,26.275,66212,53,0
65,2021-03-17,0 days 13:25:00,26.035,26.07,26.035,26.07,30888,478,0
66,2021-03-17,0 days 13:24:00,26.04,26.04,26.03,26.035,30372,61,0
67,2021-03-17,0 days 13:23:00,26.035,26.04,26.035,26.04,30310,18,0
68,2021-03-17,0 days 13:22:00,26.025,26.03,26.015,26.03,30287,42,0
69,2021-03-17,0 days 13:21:00,26.03,26.03,26.025,26.025,30236,33,0
70,2021-03-16,0 days 13:25:00,25.99,26.01,25.99,26.01,43180,338,0
71,2021-03-16,0 days 13:24:00,26.005,26.01,25.985,25.99,42703,81,0
72,2021-03-16,0 days 13:23:00,26.005,26.01,26.005,26.01,42622,33,0
73,2021-03-16,0 days 13:22:00,26.005,26.01,25.995,26.005,42589,58,0
74,2021-03-16,0 days 13:21:00,25.99,26.01,25.99,26.01,42531,68,0
75,2021-03-15,0 days 13:25:00,26.28,26.3,26.28,26.3,43060,395,0
76,2021-03-15,0 days 13:24:00,26.265,26.28,26.265,26.275,42627,92,0
77,2021-03-15,0 days 13:23:00,26.255,26.265,26.255,26.26,42535,52,0
78,2021-03-15,0 days 13:22:00,26.265,26.265,26.245,26.255,42483,80,0
79,2021-03-15,0 days 13:21:00,26.265,26.265,26.26,26.26,42361,29,0
80,2021-03-12,0 days 13:25:00,25.9,25.925,25.9,25.92,50747,385,0
81,2021-03-12,0 days 13:24:00,25.885,25.9,25.88,25.9,50302,56,0
82,2021-03-12,0 days 13:23:00,25.895,25.895,25.88,25.885,50241,57,0
83,2021-03-12,0 days 13:22:00,25.88,25.895,25.88,25.895,50174,38,0
84,2021-03-12,0 days 13:21:00,25.86,25.885,25.86,25.88,50134,50,0
85,2021-03-11,0 days 13:25:00,26.17,26.21,26.17,26.21,50619,215,0
86,2021-03-11,0 days 13:24:00,26.18,26.185,26.155,26.165,49999,102,0
87,2021-03-11,0 days 13:23:00,26.17,26.18,26.17,26.18,49860,31,0
88,2021-03-11,0 days 13:22:00,26.18,26.185,26.17,26.175,49829,57,0
89,2021-03-11,0 days 13:21:00,26.175,26.185,26.175,26.18,49772,36,0
90,2021-03-10,0 days 13:25:00,26.155,26.155,26.11,26.115,46735,451,0
91,2021-03-10,0 days 13:24:00,26.155,26.155,26.14,26.145,45904,104,0
92,2021-03-10,0 days 13:23:00,26.15,26.165,26.14,26.155,45796,103,0
93,2021-03-10,0 days 13:22:00,26.135,26.155,26.13,26.155,45689,150,0
94,2021-03-10,0 days 13:21:00,26.125,26.14,26.125,26.135,45536,88,0
95,2021-03-09,0 days 13:25:00,26.18,26.2,26.165,26.18,60605,741,0
96,2021-03-09,0 days 13:24:00,26.17,26.175,26.16,26.175,59557,159,0
97,2021-03-09,0 days 13:23:00,26.19,26.195,26.17,26.17,59385,126,0
98,2021-03-09,0 days 13:22:00,26.16,26.185,26.16,26.185,59254,158,0
99,2021-03-09,0 days 13:21:00,26.14,26.165,26.13,26.16,59096,165,0
100,2021-03-08,0 days 13:25:00,25.27,25.28,25.26,25.265,56886,257,0
101,2021-03-08,0 days 13:24:00,25.265,25.275,25.265,25.275,56035,83,0
