Product,Settlement,Name,Symbol,Single point value,Opening Time,Ticks
WTI Crude,14:30:00,WTI Crude,QCL#,1000.0,18:00:00,10.0
WBS,14:30:00,WBS,CRD#,1000.0,20:00:00,10.0
BZ,14:30:00,BZ,QBZ#,1000.0,18:00:00,10.0
Heating Oil,14:30:00,Heating Oil,QHO#,42000.0,18:00:00,4.2
UHO,14:30:00,UHO,IHO#,42000.0,20:00:00,4.2
Gasoline,14:30:00,Gasoline,QRB#,42000.0,18:00:00,4.2
UHU,14:30:00,UHU,IRB#,42000.0,20:00:00,4.2
Natural Gas,14:30:00,Natural Gas,QNG#,10000.0,18:00:00,10.0
Brent Crude,14:30:00,Brent Crude,EB#,1000.0,20:00:00,10.0
Gasoil,11:30:00,Gasoil,GAS#,100.0,20:00:00,25.0
Platinum,13:05:00,Platinum,QPL#,100.0,18:00:00,5.0
Palladium,13:05:00,Palladium,QPA#,50.0,18:00:00,10.0
Gold,13:30:00,Gold,QGC#,100.0,18:00:00,10.0
Silver,13:25:00,Silver,QSI#,5000.0,18:00:00,25.0
Copper,13:00:00,Copper,QHG#,25000.0,18:00:00,12.5
Soybeans,14:15:00,Soybeans,@S#,50.0,20:00:00,12.5
Soy Meal,14:15:00,Soy Meal,@SM#,100.0,20:00:00,10.0
Soy Oil,14:15:00,Soy Oil,@BO#,600.0,20:00:00,6.0
Wheat,14:15:00,Wheat,@W#,50.0,20:00:00,12.5
Corn,14:15:00,Corn,@C#,50.0,20:00:00,12.5
Cotton,14:15:00,Cotton,@CT#,500.0,21:00:00,5.0
Sugar,12:55:00,Sugar,@SB#,1120.0,03:30:00,11.2
Coffee,12:25:00,Coffee,@KC#,375.0,04:15:00,18.75
Cocoa,11:50:00,Cocoa,@CC#,10.0,04:45:00,10.0
Wheat (HRW),14:15:00,Wheat (HRW),@KW#,50.0,20:00:00,12.5
Lean Hogs,14:00:00,Lean Hogs,@HE#,400.0,09:30:00,10.0
Live Cattle,14:00:00,Live Cattle,@LE#,400.0,09:30:00,10.0
Feeder Cattle,14:00:00,Feeder Cattle,@GF#,500.0,09:30:00,12.5
Japanese Yen,15:00:00,Japanese Yen,@JY#,12500000.0,18:00:00,6.25
Euro,15:00:00,Euro,@EU#,125000.0,18:00:00,6.25
British Pound,15:00:00,British Pound,@BP#,62500.0,18:00:00,6.25
Australian Dollar,15:00:00,Australian Dollar,@AD#,100000.0,18:00:00,5.0
Canadian Dollar,15:00:00,Canadian Dollar,@CD#,100000.0,18:00:00,5.0
Mexican Peso,15:00:00,Mexican Peso,@PX#,500000.0,18:00:00,5.0
Swiss Franc,15:00:00,Swiss Franc,@SF#,125000.0,18:00:00,12.5
US Dollar Index,15:00:00,US Dollar Index,@DX#,1000.0,20:00:00,5.0
E-mini S&P,16:00:00,E-mini S&P,@ES#,50.0,18:00:00,12.5
E-mini Dow,16:00:00,E-mini Dow,@YM#,5.0,18:00:00,5.0
Ultra T-Bond,16:00:00,Ultra T-Bond,@UB#,1000.0,18:00:00,31.25
T-Bond,16:00:00,T-Bond,@US#,1000.0,18:00:00,31.25
MSCI,16:00:00,MSCI,@MME#,50.0,20:00:00,5.0
MSCI EAFE,16:00:00,MSCI EAFE,@MFS#,50.0,20:00:00,5.0
E-mini Nasdaq,16:00:00,E-mini Nasdaq,@NQ#,20.0,18:00:00,5.0
E-mini Russell,16:00:00,E-mini Russell,@RTY#,100.0,18:00:00,5.0
